target_date,decision_rule,sample_period,event_count,raw_market_probability_mass,gp_probability_mass,market_normalised_probability_mass,realised_yes_count,gp_binary_brier_mean,market_binary_brier_raw_mean,market_binary_brier_normalised_mean,gp_binary_log_mean,market_binary_log_raw_mean,market_binary_log_normalised_mean,gp_multiclass_brier,market_multiclass_brier,gp_categorical_log,market_categorical_log,binary_brier_raw_difference_gp_minus_market,binary_log_raw_difference_gp_minus_market,categorical_log_difference_gp_minus_market,multiclass_brier_difference_gp_minus_market,binary_brier_normalised_difference_gp_minus_market,binary_log_normalised_difference_gp_minus_market
2026-03-18,12h_prior,weather_plus_market_training,11,1.3,0.9999999999999998,1.0,1.0,0.09165497238091456,0.06827727272727274,0.07025551371705217,0.30317703613307284,0.24106396263874813,0.23906853363036829,1.0082046961900601,0.7728106508875738,2.3159512578344015,1.754019141245208,0.023377699653641823,0.06211307349432471,0.5619321165891935,0.2353940453024863,0.021399458663862392,0.06410850250270456
2026-03-18,6h_prior,weather_plus_market_training,11,0.999,0.9999999999999997,1.0,1.0,0.08008626369320643,0.08400550000000001,0.08401171213984028,0.2515648081091763,0.2882805277393489,0.28828503436300945,0.8809489006252708,0.924128833538243,1.8218216515665073,2.2062744128561373,-0.003919236306793583,-0.036715719630172616,-0.38445276128963,-0.043179932912972285,-0.003925448446633853,-0.036720226253833144
2026-03-21,12h_prior,weather_plus_market_training,11,1.0985,0.9999999999999996,1.0,1.0,0.08256585886450296,0.1053573409090909,0.10183611047080059,0.25992057850693023,0.3522772739294759,0.3489690616737367,0.9082244475095326,1.1201972151788064,1.89678321991338,2.7460881820064422,-0.022791482044587932,-0.09235669542254565,-0.8493049620930622,-0.21197276766927386,-0.019270251606297625,-0.08904848316680647
2026-03-22,12h_prior,weather_plus_market_training,11,1.154,0.9999999999999996,1.0,1.0,0.05957445848992495,0.06244786363636365,0.06291421266723808,0.19007836879695736,0.19457206068976723,0.19363876828985724,0.6553190433891745,0.6920563393396189,1.2900224765459554,1.2984168082424117,-0.002873405146438697,-0.004493691892809876,-0.008394331696456314,-0.03673729595044439,-0.00333975417731313,-0.0035603994928998794
2026-03-22,event_day_open,weather_plus_market_training,11,1.152,0.9999999999999997,1.0,1.0,0.05535046650557027,0.08076622727272727,0.07878895426706299,0.17756163803975442,0.24152818679283386,0.23847812937286453,0.6088551315612729,0.8666784969376929,1.1850137038954087,1.6786168131281738,-0.025415760767157,-0.06396654875307944,-0.49360310923276507,-0.25782336537642003,-0.023438487761492724,-0.06091649133311011
2026-03-23,12h_prior,weather_plus_market_training,11,1.223,0.9999999999999997,1.0,1.0,0.07853495905056965,0.05821222727272728,0.05996793050564155,0.2468852069015749,0.1913664371722249,0.19089187231358676,0.8638845495562661,0.6596472355620571,1.7810784802760866,1.294931603862106,0.02032273177784237,0.05551876972934999,0.4861468764139807,0.20423731399420908,0.018567028544928095,0.055993334587988136
2026-03-23,24h_prior,weather_plus_market_training,11,1.171,0.9999999999999994,1.0,1.0,0.07313103519683496,0.0698335909090909,0.06987104779870602,0.23114765722377892,0.22118789799708696,0.21994356681193078,0.8044413871651847,0.7685815257857663,1.6458188814665722,1.544152445735471,0.0032974442877440613,0.009959759226691955,0.10166643573110123,0.03585986137941832,0.0032599873981289385,0.011204090411848139
2026-03-23,event_day_open,weather_plus_market_training,11,1.2955,0.9999999999999998,1.0,1.0,0.06093273709897873,0.05759238636363637,0.05793273471983779,0.18750676491070692,0.1788077889546439,0.17625910466556502,0.670260108088766,0.6372600819182157,1.251820620090327,1.1504948403038113,0.0033403507353423553,0.008698975956063032,0.10132577978651569,0.03300002617055031,0.0030000023791409355,0.0112476602451419
2026-03-24,24h_prior,weather_plus_market_training,11,1.055,0.9999999999999996,1.0,1.0,0.06182906607972065,0.07763577272727272,0.0773215091550259,0.19797274504368997,0.24308208828597938,0.24263343913128727,0.6801197268769271,0.850536600705285,1.3612294393850657,1.740940220831842,-0.01580670664755207,-0.04510934324228941,-0.3797107814467764,-0.1704168738283579,-0.015492443075305257,-0.04466069408759729
2026-03-24,event_day_open,weather_plus_market_training,11,1.0494999999999999,0.9999999999999997,1.0,1.0,0.0564810890337567,0.06806393181818184,0.06783936162180891,0.18108283768401454,0.1985396324233467,0.19801797972595586,0.6212919793713236,0.746232977839898,1.2150503929558119,1.3035799589920372,-0.011582842784425139,-0.017456794739332177,-0.0885295660362253,-0.12494099846857432,-0.011358272588052214,-0.016935142041941326
2026-03-25,24h_prior,weather_plus_market_training,11,1.1505,0.9999999999999998,1.0,1.0,0.01320529383955486,0.026335022727272724,0.030650811681903544,0.06599841728457993,0.11244212595083743,0.11686700916238767,0.14525823223510345,0.337158928500939,0.38301730320424265,0.7289837957289861,-0.013129728887717865,-0.046443708666257494,-0.34596649252474343,-0.19190069626583553,-0.017445517842348685,-0.050868591877807734
2026-03-26,event_day_open,weather_plus_market_training,11,0.9815,0.9999999999999994,1.0,1.0,0.08246010223432515,0.12336125,0.1247131111408319,0.2568631483421963,0.42732216442639415,0.42899624901064826,0.9070611245775766,1.371844222549151,1.863915843003419,3.377536574885495,-0.040901147765674856,-0.17045901608419783,-1.5136207318820758,-0.46478309797157435,-0.04225300890650675,-0.17213310066845194
