sample_period,decision_rule,model,event_rows,dates,mean_probability,outcome_rate,calibration_bias,expected_calibration_error,maximum_calibration_error,brier_score,brier_reliability,brier_resolution,brier_uncertainty,brier_decomposition,logistic_calibration_intercept,logistic_calibration_slope,logistic_calibration_fit_passed
weather_plus_market_training,24h_prior,gp,605,55,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17,0.022185018219102272,0.31819889815979396,0.0665631776605346,0.001382332446830113,0.016812201155332277,0.08264462809917356,0.0672147593906714,1.0053251794017235,1.6740364591497323,True
weather_plus_market_training,24h_prior,market_raw,605,55,0.09702644628099172,0.09090909090909091,0.006117355371900807,0.019499173553719,0.44499999999999995,0.06739672892561983,0.0016573828239041866,0.015732375511166206,0.08264462809917356,0.06856963541191154,-0.013351982835301032,1.0596993114062556,True
weather_plus_market_training,24h_prior,market_normalised,605,55,0.09090909090909091,0.09090909090909091,0.0,0.010003927445273206,0.32850877762063546,0.06745326285884883,0.0006765461644575665,0.014359318017587457,0.08264462809917356,0.06896185624604366,0.0922354248972659,1.0677875408166155,True
weather_plus_market_training,12h_prior,gp,660,60,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17,0.012200598017220534,0.4815754118353597,0.06724078040025203,0.0015216038679186146,0.015939221190152186,0.08264462809917356,0.06822701077693999,0.822946246777778,1.5509059290063412,True
weather_plus_market_training,12h_prior,market_raw,660,60,0.09645303030303029,0.09090909090909091,0.005543939393939379,0.012892424242424243,0.31999999999999995,0.06560211363636363,0.0009784576208750587,0.0176508955341019,0.08264462809917356,0.06597219018594672,-0.054748989562127315,1.0224652940327177,True
weather_plus_market_training,12h_prior,market_normalised,660,60,0.09090909090909091,0.09090909090909091,0.0,0.012930115516310979,0.3391642371234207,0.06550730583144741,0.0007952923855972198,0.01830154892953936,0.08264462809917356,0.06513837155523142,0.03456606844156055,1.0260102613638566,True
weather_plus_market_training,6h_prior,gp,638,58,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17,0.02660957717040006,0.5819827764500157,0.06601865912153472,0.0030601649717260874,0.019093750995490776,0.08264462809917356,0.06661104207540887,1.062683092962905,1.730971483780559,True
weather_plus_market_training,6h_prior,market_raw,638,58,0.09447178683385579,0.09090909090909091,0.0035626959247648804,0.019793103448275867,0.2899999999999999,0.06424193652037617,0.0015463705846045974,0.01887763558365795,0.08264462809917356,0.0653133631001202,-0.15181647106214932,0.9187134612187432,True
weather_plus_market_training,6h_prior,market_normalised,638,58,0.09090909090909091,0.09090909090909091,0.0,0.01521186633384092,0.3883639980109399,0.06421403823205322,0.0010392789502123652,0.01877173410534368,0.08264462809917356,0.06491217294404224,-0.09355668487466064,0.9237206485510967,True
weather_plus_market_training,event_day_open,gp,693,63,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17,0.019294129824832203,0.42060653788497526,0.06378822128543903,0.0010314107094995353,0.01794488228423402,0.08264462809917356,0.06573115652443907,1.2412669575786948,1.9089842463420161,True
weather_plus_market_training,event_day_open,market_raw,693,63,0.09486507936507935,0.09090909090909091,0.003955988455988435,0.03206421356421356,0.26228571428571434,0.06594871464646465,0.003927387239750715,0.01995502571752669,0.08264462809917356,0.06661698962139759,-0.2773864462549443,0.8105446052046025,True
weather_plus_market_training,event_day_open,market_normalised,693,63,0.09090909090909091,0.09090909090909091,0.0,0.027913416402574293,0.39650405780952297,0.06559114599793132,0.003681025823920384,0.020593926016021707,0.08264462809917356,0.06573172790707224,-0.21252278222613272,0.820323641683588,True
weather_plus_market_training,all_rules,gp,2596,67,0.09090909090909088,0.09090909090909091,-2.7755575615628914e-17,0.015452436225105103,0.35120424829648533,0.06586085493803473,0.0005993280173613365,0.01635806645995603,0.08264462809917356,0.06688588965657886,1.0225489922617472,1.7051466155927282,True
weather_plus_market_training,all_rules,market_raw,2596,67,0.09567584745762711,0.09090909090909091,0.0047667565485362,0.014489791987673339,0.2552,0.06577859427966103,0.0010409721591387647,0.017079031459808346,0.08264462809917356,0.06660656879850398,-0.15438632757228546,0.9332148480903184,True
weather_plus_market_training,all_rules,market_normalised,2596,67,0.09090909090909091,0.09090909090909091,0.0,0.01447117465722853,0.29874109079755107,0.06566535687479784,0.0011163898978980462,0.017622476135540938,0.08264462809917356,0.06613854186153066,-0.07693495288377034,0.93989810982773,True
out_of_sample_validation,24h_prior,gp,297,27,0.09090909090909086,0.09090909090909091,-5.551115123125783e-17,0.033278929509069945,0.3400920278708316,0.06886312244922715,0.002418144790847637,0.017013434087141736,0.08264462809917356,0.06804933880287946,1.2435986815738183,1.7996220963701448,True
out_of_sample_validation,24h_prior,market_raw,297,27,0.09408754208754208,0.09090909090909091,0.0031784511784511693,0.06846464646464646,0.41000000000000003,0.05871549494949495,0.0161282517861641,0.040626332608655835,0.08264462809917356,0.05814654727668182,0.9750747442312522,1.9168991484350213,True
out_of_sample_validation,24h_prior,market_normalised,297,27,0.09090909090909091,0.09090909090909091,0.0,0.05097217037857721,0.4269062651772706,0.058915839153471594,0.009619788885719559,0.03377934314517892,0.08264462809917356,0.05848507383971419,1.1140682563998188,1.9601506849711083,True
out_of_sample_validation,12h_prior,gp,308,28,0.09090909090909086,0.09090909090909091,-5.551115123125783e-17,0.044713377460201306,0.5314108847828545,0.06570010590029737,0.0036944094199839786,0.019724789317265807,0.08264462809917356,0.06661424820189173,3.6037846067397563,3.545118382141575,True
out_of_sample_validation,12h_prior,market_raw,308,28,0.09313149350649351,0.09090909090909091,0.002222402597402598,0.04770941558441559,0.385,0.05873688555194805,0.00796074098328506,0.03372293726690349,0.08264462809917356,0.05688243181555513,0.7107248722969455,1.6653718419800927,True
out_of_sample_validation,12h_prior,market_normalised,308,28,0.09090909090909091,0.09090909090909091,0.0,0.04666465468914704,0.4046466602129719,0.05894906455082421,0.00889607146138589,0.03319548801460521,0.08264462809917356,0.058345211545954234,0.7892814191458063,1.68509392723255,True
out_of_sample_validation,6h_prior,gp,319,29,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17,0.02561806203227276,0.35743503467393545,0.06823960784308655,0.0013399881593721544,0.014720492671076694,0.08264462809917356,0.06926412358746901,1.4574627351734273,1.947169432385545,True
out_of_sample_validation,6h_prior,market_raw,319,29,0.09357993730407523,0.09090909090909091,0.0026708463949843136,0.03865830721003135,0.45999999999999996,0.056012054858934165,0.0053244320483907615,0.033249195945120706,0.08264462809917356,0.05471986420244361,0.7038833197189407,1.7047575899714311,True
out_of_sample_validation,6h_prior,market_normalised,319,29,0.09090909090909091,0.09090909090909091,0.0,0.036707570543568616,0.4607109079445145,0.056166373679614905,0.004229660745213958,0.03237410679416949,0.08264462809917356,0.054500182050218025,0.8002873442663588,1.7300564822704756,True
out_of_sample_validation,event_day_open,gp,330,30,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17,0.022802933644639575,0.3028000237763673,0.06670221310061748,0.001006218920375021,0.015615482693531184,0.08264462809917356,0.0680353643260174,0.7568317836600041,1.5021417005246078,True
out_of_sample_validation,event_day_open,market_raw,330,30,0.09402424242424241,0.09090909090909091,0.0031151515151515013,0.028872727272727272,0.20499999999999996,0.05575073333333334,0.0022350347148685805,0.028220522352199823,0.08264462809917356,0.05665914046184231,0.47933806924788674,1.5191889193052408,True
out_of_sample_validation,event_day_open,market_normalised,330,30,0.09090909090909091,0.09090909090909091,0.0,0.03182227749324236,0.2250752380591986,0.055748955460650784,0.0032083155375982136,0.029951759427264992,0.08264462809917356,0.05590118420950678,0.566180419483761,1.5303346912386209,True
out_of_sample_validation,all_rules,gp,1254,30,0.09090909090909087,0.09090909090909091,-4.163336342344337e-17,0.03138173222724231,0.5314108847828545,0.06735896747197802,0.0019779772294982985,0.016646493423766125,0.08264462809917356,0.06797611190490573,1.460169586125268,1.9663091746126435,True
out_of_sample_validation,all_rules,market_raw,1254,30,0.09370693779904306,0.09090909090909091,0.0027978468899521464,0.04348365231259968,0.385,0.05725283114035088,0.005848427110323543,0.0320444022341343,0.08264462809917356,0.05644865297536279,0.6923464000600398,1.6819303181640108,True
out_of_sample_validation,all_rules,market_normalised,1254,30,0.09090909090909091,0.09090909090909091,0.0,0.037140921146279884,0.33165946168950833,0.057391183904343564,0.004762591193916472,0.03064912953384725,0.08264462809917356,0.05675808975924278,0.7889239968197611,1.7042296974036228,True
all_period,24h_prior,gp,902,82,0.09090909090909088,0.09090909090909091,-2.7755575615628914e-17,0.025083807129721712,0.32852748923747965,0.0673204765543724,0.0014483747174415893,0.016624392630335244,0.08264462809917356,0.0674686101862799,1.079232483495639,1.7128056706499375,True
all_period,24h_prior,market_raw,902,82,0.09605875831485586,0.09090909090909091,0.005149667405764946,0.016790465631929045,0.4275,0.06453827383592017,0.001579208314621375,0.019385575366774314,0.08264462809917356,0.06483826104702062,0.2239007530401901,1.2446504287902809,True
all_period,24h_prior,market_normalised,902,82,0.09090909090909091,0.09090909090909091,0.0,0.015419867464591092,0.4269062651772706,0.06464215993146852,0.0013237004192767864,0.01844727725818935,0.08264462809917356,0.06552105126026099,0.33466830932032626,1.2572542341062674,True
all_period,12h_prior,gp,968,88,0.09090909090909088,0.09090909090909091,-2.7755575615628914e-17,0.020068673152924273,0.4815754118353597,0.06675056578663009,0.0012369699852302044,0.01616337261221655,0.08264462809917356,0.06771822547218721,1.319671719041014,1.8900509535143142,True
all_period,12h_prior,market_raw,968,88,0.0953961776859504,0.09090909090909091,0.004487086776859495,0.016935433884297527,0.35250000000000004,0.06341772288223141,0.0009392663659697917,0.020625697908468327,0.08264462809917356,0.06295819655667502,0.1330699244296374,1.1654643564009963,True
all_period,12h_prior,market_normalised,968,88,0.09090909090909091,0.09090909090909091,0.0,0.012338058656314406,0.4046466602129719,0.06342059269670366,0.0006782921198085144,0.02039630558404688,0.08264462809917356,0.0629266146349352,0.21798711832360237,1.1704258690595637,True
all_period,6h_prior,gp,957,87,0.09090909090909088,0.09090909090909091,-2.7755575615628914e-17,0.022956351732470223,0.5819827764500157,0.066758975362052,0.002385222972287497,0.01753282051079804,0.08264462809917356,0.06749703056066302,1.1746786778787708,1.79098397277994,True
all_period,6h_prior,market_raw,957,87,0.09417450365726228,0.09090909090909091,0.0032654127481713674,0.012469174503657263,0.265,0.061498642633228844,0.0008271477951398371,0.02179552278720352,0.08264462809917356,0.06167625310710988,0.03383942508308069,1.0748111447181432,True
