sample_period,decision_rule,model,probability_column,bin_index,bin_lower,bin_upper,observations,mean_probability,empirical_frequency,absolute_calibration_gap
weather_plus_market_training,12h_prior,market_raw,market_probability_raw,5,0.5,0.6,0,,,
weather_plus_market_training,12h_prior,market_raw,market_probability_raw,6,0.6,0.7,1,0.68,1.0,0.31999999999999995
weather_plus_market_training,12h_prior,market_raw,market_probability_raw,7,0.7,0.8,1,0.75,1.0,0.25
weather_plus_market_training,12h_prior,market_raw,market_probability_raw,8,0.8,0.9,1,0.82,1.0,0.18000000000000005
weather_plus_market_training,12h_prior,market_raw,market_probability_raw,9,0.9,1.0,0,,,
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,0,0.0,0.1,456,0.015727726765336094,0.013157894736842105,0.0025698320284939895
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,1,0.1,0.2,77,0.14767269227442317,0.15584415584415584,0.008171463569732668
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,2,0.2,0.3,56,0.25915505396540073,0.30357142857142855,0.04441637460602782
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,3,0.3,0.4,55,0.34718354027980664,0.2909090909090909,0.05627444937071574
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,4,0.4,0.5,13,0.4342428680273685,0.46153846153846156,0.027295593511093064
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,5,0.5,0.6,0,,,
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,6,0.6,0.7,1,0.6608357628765793,1.0,0.3391642371234207
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,7,0.7,0.8,1,0.7317073170731708,1.0,0.2682926829268292
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,8,0.8,0.9,1,0.8118811881188118,1.0,0.18811881188118817
weather_plus_market_training,12h_prior,market_normalised,market_probability_normalised,9,0.9,1.0,0,,,
weather_plus_market_training,6h_prior,gp,gp_event_probability,0,0.0,0.1,398,0.018702519893353586,0.002512562814070352,0.016189957079283234
weather_plus_market_training,6h_prior,gp,gp_event_probability,1,0.1,0.2,112,0.15094350829845368,0.16964285714285715,0.01869934884440347
weather_plus_market_training,6h_prior,gp,gp_event_probability,2,0.2,0.3,118,0.24003683285370872,0.2796610169491525,0.0396241840954438
weather_plus_market_training,6h_prior,gp,gp_event_probability,3,0.3,0.4,4,0.3657173558382165,0.0,0.3657173558382165
weather_plus_market_training,6h_prior,gp,gp_event_probability,4,0.4,0.5,2,0.4413858251062862,1.0,0.5586141748937138
weather_plus_market_training,6h_prior,gp,gp_event_probability,5,0.5,0.6,1,0.5819827764500157,0.0,0.5819827764500157
weather_plus_market_training,6h_prior,gp,gp_event_probability,6,0.6,0.7,0,,,
weather_plus_market_training,6h_prior,gp,gp_event_probability,7,0.7,0.8,2,0.769771670388555,1.0,0.23022832961144502
weather_plus_market_training,6h_prior,gp,gp_event_probability,8,0.8,0.9,1,0.8592106854882431,1.0,0.1407893145117569
weather_plus_market_training,6h_prior,gp,gp_event_probability,9,0.9,1.0,0,,,
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,0,0.0,0.1,453,0.012850993377483442,0.017660044150110375,0.004809050772626933
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,1,0.1,0.2,50,0.13584000000000002,0.18,0.04415999999999998
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,2,0.2,0.3,46,0.24185869565217394,0.17391304347826086,0.06794565217391307
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,3,0.3,0.4,54,0.35490740740740745,0.2962962962962963,0.05861111111111117
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,4,0.4,0.5,25,0.4396,0.44,0.00040000000000001146
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,5,0.5,0.6,4,0.5399999999999999,0.25,0.2899999999999999
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,6,0.6,0.7,3,0.618,0.6666666666666666,0.048666666666666636
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,7,0.7,0.8,1,0.745,1.0,0.255
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,8,0.8,0.9,2,0.81,1.0,0.18999999999999995
weather_plus_market_training,6h_prior,market_raw,market_probability_raw,9,0.9,1.0,0,,,
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,0,0.0,0.1,457,0.013085379018320267,0.0175054704595186,0.004420091441198332
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,1,0.1,0.2,52,0.13914735124230854,0.17307692307692307,0.033929571834614536
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,2,0.2,0.3,45,0.24302751233880235,0.2222222222222222,0.02080529011658014
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,3,0.3,0.4,56,0.3511386620682167,0.30357142857142855,0.04756723349678815
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,4,0.4,0.5,19,0.44437987076447677,0.42105263157894735,0.023327239185529425
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,5,0.5,0.6,5,0.5618729369807908,0.4,0.16187293698079075
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,6,0.6,0.7,1,0.6116360019890601,1.0,0.3883639980109399
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,7,0.7,0.8,2,0.7559836370433315,1.0,0.2440163629566685
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,8,0.8,0.9,1,0.8081308874566188,1.0,0.19186911254338124
weather_plus_market_training,6h_prior,market_normalised,market_probability_normalised,9,0.9,1.0,0,,,
weather_plus_market_training,event_day_open,gp,gp_event_probability,0,0.0,0.1,439,0.016788596155322827,0.009111617312072893,0.007676978843249934
weather_plus_market_training,event_day_open,gp,gp_event_probability,1,0.1,0.2,103,0.14869147837007402,0.11650485436893204,0.03218662400114197
weather_plus_market_training,event_day_open,gp,gp_event_probability,2,0.2,0.3,140,0.24925235458560716,0.2857142857142857,0.03646193112867854
weather_plus_market_training,event_day_open,gp,gp_event_probability,3,0.3,0.4,5,0.3279887956525033,0.4,0.07201120434749675
weather_plus_market_training,event_day_open,gp,gp_event_probability,4,0.4,0.5,2,0.4348848494380078,0.5,0.06511515056199219
weather_plus_market_training,event_day_open,gp,gp_event_probability,5,0.5,0.6,1,0.5793934621150247,1.0,0.42060653788497526
weather_plus_market_training,event_day_open,gp,gp_event_probability,6,0.6,0.7,1,0.6235768207324445,1.0,0.37642317926755553
weather_plus_market_training,event_day_open,gp,gp_event_probability,7,0.7,0.8,0,,,
weather_plus_market_training,event_day_open,gp,gp_event_probability,8,0.8,0.9,2,0.8532852068623115,1.0,0.14671479313768854
weather_plus_market_training,event_day_open,gp,gp_event_probability,9,0.9,1.0,0,,,
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,0,0.0,0.1,501,0.011135728542914173,0.013972055888223553,0.0028363273453093796
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,1,0.1,0.2,54,0.1403240740740741,0.2222222222222222,0.08189814814814811
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,2,0.2,0.3,42,0.24178571428571427,0.30952380952380953,0.06773809523809526
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,3,0.3,0.4,37,0.3577027027027027,0.21621621621621623,0.14148648648648648
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,4,0.4,0.5,42,0.43416666666666665,0.3333333333333333,0.10083333333333333
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,5,0.5,0.6,7,0.548,0.2857142857142857,0.26228571428571434
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,6,0.6,0.7,5,0.635,0.4,0.235
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,7,0.7,0.8,3,0.743,1.0,0.257
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,8,0.8,0.9,2,0.86,1.0,0.14
weather_plus_market_training,event_day_open,market_raw,market_probability_raw,9,0.9,1.0,0,,,
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,0,0.0,0.1,504,0.011249243158014687,0.013888888888888888,0.002639645730874201
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,1,0.1,0.2,58,0.14332227910932674,0.22413793103448276,0.08081565192515602
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,2,0.2,0.3,39,0.243851993771136,0.3076923076923077,0.0638403139211717
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,3,0.3,0.4,49,0.35693470998425475,0.2653061224489796,0.09162858753527514
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,4,0.4,0.5,27,0.43835067237029796,0.37037037037037035,0.0679803019999276
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,5,0.5,0.6,7,0.5393612006666658,0.14285714285714285,0.39650405780952297
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,6,0.6,0.7,4,0.6428003588997012,0.5,0.14280035889970122
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,7,0.7,0.8,3,0.7151846286552358,1.0,0.2848153713447642
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,8,0.8,0.9,2,0.8449544167438214,1.0,0.15504558325617857
weather_plus_market_training,event_day_open,market_normalised,market_probability_normalised,9,0.9,1.0,0,,,
weather_plus_market_training,all_rules,gp,gp_event_probability,0,0.0,0.1,1619,0.018515660411543546,0.0074119827053736875,0.011103677706169858
weather_plus_market_training,all_rules,gp,gp_event_probability,1,0.1,0.2,445,0.1507424899188705,0.14606741573033707,0.004675074188533412
weather_plus_market_training,all_rules,gp,gp_event_probability,2,0.2,0.3,494,0.24105937364535007,0.2732793522267207,0.0322199785813706
weather_plus_market_training,all_rules,gp,gp_event_probability,3,0.3,0.4,14,0.33887279060865516,0.35714285714285715,0.01827006653420199
weather_plus_market_training,all_rules,gp,gp_event_probability,4,0.4,0.5,8,0.4277689650937957,0.625,0.1972310349062043
weather_plus_market_training,all_rules,gp,gp_event_probability,5,0.5,0.6,3,0.5599336089098935,0.6666666666666666,0.10673305775677311
weather_plus_market_training,all_rules,gp,gp_event_probability,6,0.6,0.7,3,0.6487957517035147,1.0,0.35120424829648533
