path,price_column,date_column,rule_column,format,matching_strategy,candidate_valid_rows,matched_rows,matched_date_rule_books,complete_books,complete_dates,path_bonus,selected,status
data/interim/notebook02_sources/daily_max_forecasts/07_18s_expanded_exact_common_support_panel.csv,p_market,event_date,decision_rule,long,normalised_event_label,3889,3889,355.0,350,97,35,True,selected
data/interim/notebook02_sources/daily_max_forecasts/07_18s_expanded_exact_common_support_panel.csv,p_market,event_date,decision_rule,long,canonical_event_bounds,3889,3889,355.0,350,97,35,False,evaluated
data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv,p_market,event_date,decision_rule,long,normalised_event_label,4186,3889,355.0,350,97,35,False,evaluated
data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv,p_market,event_date,decision_rule,long,canonical_event_bounds,4186,3889,355.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_exact_common_support_panel.csv,p_market,event_date,decision_rule,long,normalised_event_label,3889,3889,355.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_exact_common_support_panel.csv,p_market,event_date,decision_rule,long,canonical_event_bounds,3889,3889,355.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_market_scoring_panel.csv,p_market,event_date,decision_rule,long,normalised_event_label,4186,3889,355.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_market_scoring_panel.csv,p_market,event_date,decision_rule,long,canonical_event_bounds,4186,3889,355.0,350,97,35,False,evaluated
data/interim/notebook02_sources/daily_max_forecasts/08_18s_expanded_complete_book_contract_panel.csv,p_market,event_date,decision_rule,long,normalised_event_label,3850,3850,350.0,350,97,35,False,evaluated
data/interim/notebook02_sources/daily_max_forecasts/08_18s_expanded_complete_book_contract_panel.csv,p_market,event_date,decision_rule,long,canonical_event_bounds,3850,3850,350.0,350,97,35,False,evaluated
data/interim/notebook02_sources/daily_max_forecasts/08_18s_expanded_complete_book_contract_panel.csv,p_market_normalised,event_date,decision_rule,long,normalised_event_label,3850,3850,350.0,350,97,35,False,evaluated
data/interim/notebook02_sources/daily_max_forecasts/08_18s_expanded_complete_book_contract_panel.csv,p_market_normalised,event_date,decision_rule,long,canonical_event_bounds,3850,3850,350.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_contract_panel.csv,p_market,event_date,decision_rule,long,normalised_event_label,3850,3850,350.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_contract_panel.csv,p_market,event_date,decision_rule,long,canonical_event_bounds,3850,3850,350.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_contract_panel.csv,p_market_normalised,event_date,decision_rule,long,normalised_event_label,3850,3850,350.0,350,97,35,False,evaluated
data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_complete_book_contract_panel.csv,p_market_normalised,event_date,decision_rule,long,canonical_event_bounds,3850,3850,350.0,350,97,35,False,evaluated
data/interim/notebook02_sources/daily_max_forecasts/07_18s_expanded_exact_common_support_panel.csv,price_staleness_hours,event_date,decision_rule,long,normalised_event_label,3300,3300,352.0,267,76,35,False,evaluated
data/interim/notebook02_sources/daily_max_forecasts/07_18s_expanded_exact_common_support_panel.csv,price_staleness_hours,event_date,decision_rule,long,canonical_event_bounds,3300,3300,352.0,267,76,35,False,evaluated
data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv,price_staleness_hours,event_date,decision_rule,long,normalised_event_label,3588,3300,352.0,267,76,35,False,evaluated
data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv,price_staleness_hours,event_date,decision_rule,long,canonical_event_bounds,3588,3300,352.0,267,76,35,False,evaluated
