sample_period,decision_rule,metric,metric_label,primary_metric,dates,mean_rules_per_date,mean_gp_score,mean_market_score,mean_difference_gp_minus_market,median_difference_gp_minus_market,standard_deviation_difference,standard_error_difference,bootstrap_ci_lower,bootstrap_ci_upper,t_ci_lower,t_ci_upper,paired_t_pvalue,gp_lower_score_fraction,market_lower_score_fraction,tie_fraction,bootstrap_interpretation
weather_plus_market_training,24h_prior,binary_brier_raw,Mean binary Brier,True,55,1.0,0.06656317766053459,0.06739672892561985,-0.0008335512650852354,0.00220440546400813,0.019204136007800954,0.0025894851710369596,-0.00589150510938765,0.004080069358131304,-0.006025156451567344,0.0043580539213968735,0.7487724546095011,0.4727272727272727,0.5272727272727272,0.0,interval_includes_zero
weather_plus_market_training,24h_prior,binary_log_raw,Mean binary log,True,55,1.0,0.2144822370095374,0.2143581509350827,0.0001240860744546541,0.010765262739309805,0.06614666148944477,0.008919214015717259,-0.017362324186228868,0.01755765611793545,-0.017757861372573507,0.018006033521482813,0.9889512856503428,0.4,0.6,0.0,interval_includes_zero
weather_plus_market_training,24h_prior,categorical_log,Categorical log,True,55,1.0,1.5151222847773294,1.503969269464252,0.011153015313077119,0.13602371987891715,0.5898681732641223,0.07953780825722302,-0.1486189742232476,0.1623504042062218,-0.14831068908970232,0.17061671971585654,0.8890056801873034,0.4,0.6,0.0,interval_includes_zero
weather_plus_market_training,24h_prior,multiclass_brier,Multiclass Brier,True,55,1.0,0.7321949542658807,0.7419858914473374,-0.009790937181456648,0.020623217474819322,0.2049712898775778,0.027638323088875254,-0.06310628847620361,0.04373882560445672,-0.0652024387025924,0.04562056433967911,0.7245294906216297,0.4727272727272727,0.5272727272727272,0.0,interval_includes_zero
weather_plus_market_training,24h_prior,binary_brier_normalised,"Mean binary Brier, normalised market",False,55,1.0,0.06656317766053459,0.06745326285884883,-0.0008900851983142404,0.001874837952256292,0.01863375362523435,0.0025125748262613875,-0.005803719627801628,0.004009455646044015,-0.005927494427508401,0.00414732403087992,0.72452949062163,0.4727272727272727,0.5272727272727272,0.0,interval_includes_zero
weather_plus_market_training,24h_prior,binary_log_normalised,"Mean binary log, normalised market",False,55,1.0,0.2144822370095374,0.21414124020462078,0.0003409968049165937,0.011358951117780597,0.06574401210664525,0.00886492078401639,-0.01761308232662255,0.017183346905699653,-0.017432099266385698,0.018114092876218887,0.9694581081996303,0.4,0.6,0.0,interval_includes_zero
weather_plus_market_training,12h_prior,binary_brier_raw,Mean binary Brier,True,60,1.0,0.06724078040025201,0.06560211363636365,0.001638666763888388,0.004309300368640807,0.020348906833872075,0.002627032576037095,-0.0036920066776942135,0.006622249914583857,-0.0036180132788491536,0.006895346806625929,0.5351822955294263,0.38333333333333336,0.6166666666666667,0.0,interval_includes_zero
weather_plus_market_training,12h_prior,binary_log_raw,Mean binary log,True,60,1.0,0.21798687938605424,0.21112081572555166,0.006866063660502562,0.02226884353461372,0.07206281508473901,0.009303269423467294,-0.011849546479275745,0.024405040557643354,-0.011749735456965393,0.025481862777970515,0.4634235449132532,0.36666666666666664,0.6333333333333333,0.0,interval_includes_zero
weather_plus_market_training,12h_prior,categorical_log,Categorical log,True,60,1.0,1.5539933018175287,1.4851794352199534,0.06881386659757548,0.18341322865509674,0.6559916767519745,0.0846881613103692,-0.09938569412647486,0.22932715573602042,-0.10064675276326691,0.23827448595841788,0.41973936392316435,0.3333333333333333,0.6666666666666666,0.0,interval_includes_zero
weather_plus_market_training,12h_prior,multiclass_brier,Multiclass Brier,True,60,1.0,0.7396485844027723,0.7205803641459216,0.01906822025685066,0.04440012583047859,0.2143900048839889,0.02767763061696719,-0.036130292818015004,0.07211430008471431,-0.036314590684135006,0.07445103119783633,0.4935616186146139,0.38333333333333336,0.6166666666666667,0.0,interval_includes_zero
weather_plus_market_training,12h_prior,binary_brier_normalised,"Mean binary Brier, normalised market",False,60,1.0,0.06724078040025201,0.06550730583144741,0.001733474568804605,0.004036375075498056,0.01949000044399899,0.002516148237906108,-0.0032144081690887263,0.00658881131116774,-0.003301326425830456,0.006768275563439665,0.4935616186146139,0.38333333333333336,0.6166666666666667,0.0,interval_includes_zero
weather_plus_market_training,12h_prior,binary_log_normalised,"Mean binary log, normalised market",False,60,1.0,0.21798687938605424,0.2107734252749568,0.007213454111097442,0.021681686735334514,0.0714334835687737,0.009222023074114722,-0.011323925921029217,0.024658669999567652,-0.011239771436829474,0.025666679659024357,0.4372258799401929,0.36666666666666664,0.6333333333333333,0.0,interval_includes_zero
weather_plus_market_training,6h_prior,binary_brier_raw,Mean binary Brier,True,58,1.0,0.06601865912153472,0.06424193652037617,0.0017767226011585447,0.003981650188854036,0.02581270552503071,0.0033893742849502345,-0.00488520377379662,0.008249778694060798,-0.005010382333063455,0.008563827535380545,0.6021694484811693,0.43103448275862066,0.5689655172413793,0.0,interval_includes_zero
weather_plus_market_training,6h_prior,binary_log_raw,Mean binary log,True,58,1.0,0.21089804029652584,0.2048596245284052,0.006038415768120607,0.019030338857125365,0.08333835576925618,0.010942862216455507,-0.015155116669116873,0.02668964612765036,-0.015874287846112178,0.027951119382353392,0.5832334147411904,0.3620689655172414,0.6379310344827587,0.0,interval_includes_zero
weather_plus_market_training,6h_prior,categorical_log,Categorical log,True,58,1.0,1.483685969702717,1.429373629662664,0.05431234004005293,0.22221770440989497,0.7268974504082901,0.09544631126793965,-0.13859499376106565,0.23484469272994157,-0.13681560149073427,0.2454402815708401,0.5715675616600349,0.3620689655172414,0.6379310344827587,0.0,interval_includes_zero
