target_date,decision_rule,decision_rule_order,decision_offset_hours,target_midnight_hkt,decision_time_hkt,decision_time_utc,selected_run_init_utc,selected_cycle_utc,selection_tier,selected_candidate_rank,run_age_hours_at_decision,issued_before_decision,hourly_rows,unique_local_hours,nonmissing_temperature_rows,hours_00_to_23,complete_local_day,forecast_daily_max_c,forecast_daily_min_c,forecast_daily_mean_c,support_available,cache_path,raw_source_origin,selection_rule,unsupported_reason
2024-03-18,6h_prior,3,-6,2024-03-18T00:00:00+08:00,2024-03-17T18:00:00+08:00,2024-03-17T10:00:00+00:00,2024-03-17T00:00:00+00:00,0,core,1,10.000000,True,24,24,24,True,True,21.9000000000,19.4000000000,20.4625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240317_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-18,event_day_open,4,0,2024-03-18T00:00:00+08:00,2024-03-18T00:00:00+08:00,2024-03-17T16:00:00+00:00,2024-03-17T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,21.9000000000,19.4000000000,20.4625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240317_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-19,24h_prior,1,-24,2024-03-19T00:00:00+08:00,2024-03-18T00:00:00+08:00,2024-03-17T16:00:00+00:00,2024-03-17T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,19.8000000000,16.3000000000,18.3791666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240317_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-19,12h_prior,2,-12,2024-03-19T00:00:00+08:00,2024-03-18T12:00:00+08:00,2024-03-18T04:00:00+00:00,2024-03-17T12:00:00+00:00,12,core,1,16.000000,True,24,24,24,True,True,20.9000000000,16.5000000000,18.4875000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240317_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-19,6h_prior,3,-6,2024-03-19T00:00:00+08:00,2024-03-18T18:00:00+08:00,2024-03-18T10:00:00+00:00,2024-03-18T00:00:00+00:00,0,core,1,10.000000,True,24,24,24,True,True,22.0000000000,16.2000000000,18.7416666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240318_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-19,event_day_open,4,0,2024-03-19T00:00:00+08:00,2024-03-19T00:00:00+08:00,2024-03-18T16:00:00+00:00,2024-03-18T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,22.0000000000,16.2000000000,18.7416666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240318_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-20,24h_prior,1,-24,2024-03-20T00:00:00+08:00,2024-03-19T00:00:00+08:00,2024-03-18T16:00:00+00:00,2024-03-18T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,21.6000000000,15.4000000000,18.0791666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240318_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-20,12h_prior,2,-12,2024-03-20T00:00:00+08:00,2024-03-19T12:00:00+08:00,2024-03-19T04:00:00+00:00,2024-03-18T12:00:00+00:00,12,core,1,16.000000,True,24,24,24,True,True,21.1000000000,14.6000000000,17.9375000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240318_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-20,6h_prior,3,-6,2024-03-20T00:00:00+08:00,2024-03-19T18:00:00+08:00,2024-03-19T10:00:00+00:00,2024-03-19T00:00:00+00:00,0,core,1,10.000000,True,24,24,24,True,True,21.4000000000,14.3000000000,17.9125000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240319_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-20,event_day_open,4,0,2024-03-20T00:00:00+08:00,2024-03-20T00:00:00+08:00,2024-03-19T16:00:00+00:00,2024-03-19T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,21.4000000000,14.3000000000,17.9125000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240319_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-21,24h_prior,1,-24,2024-03-21T00:00:00+08:00,2024-03-20T00:00:00+08:00,2024-03-19T16:00:00+00:00,2024-03-19T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,21.3000000000,16.0000000000,18.5625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240319_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
