model,mbb_observed_total,mbb_ci95_total_lower,mbb_ci95_total_upper,holm_p_two_sided,holm_reject_5pct,dependence_sensitive_5pct
raw,-6.658000000000001,-9.971525,-3.3444750000000014,0.0007999200079992,True,False
static,-7.6305,-12.37265,-2.888350000000001,0.003999600039996,True,False
rbf,-8.314499999999999,-12.970024999999998,-3.6589750000000008,0.0032996700329967,True,False
matern32,-7.806,-12.187074999999998,-3.4249250000000013,0.003999600039996,True,False
