family,strategy,model,comparison,mbb_n_dates,mbb_observed_mean,mbb_observed_total,mbb_ci95_mean_lower,mbb_ci95_mean_upper,mbb_ci95_total_lower,mbb_ci95_total_upper,mbb_p_two_sided,mbb_p_one_sided_positive,mbb_p_one_sided_negative,ordinary_n_dates,ordinary_observed_mean,ordinary_observed_total,ordinary_ci95_mean_lower,ordinary_ci95_mean_upper,ordinary_ci95_total_lower,ordinary_ci95_total_upper,ordinary_p_two_sided,ordinary_p_one_sided_positive,ordinary_p_one_sided_negative,holm_p_two_sided,holm_reject_5pct,dependence_sensitive_5pct
portfolio_profitability,fixed_settlement,raw,fixed_settlement:raw vs 0,61,0.0065081967213114,0.3970000000000009,-0.0658204918032786,0.0788368852459016,-4.01505,4.809050000000001,0.8729127087291271,0.2676732326767323,0.7325267473252675,61,0.0065081967213114,0.3970000000000009,-0.0754770491803278,0.0884934426229508,-4.604099999999997,5.3981,0.8809119088091191,0.4252574742525747,0.5749425057494251,0.8729127087291271,False,False
portfolio_profitability,fixed_settlement,static,fixed_settlement:static vs 0,61,0.0373934426229508,2.2810000000000006,-0.0066729508196721,0.0814598360655737,-0.4070499999999984,4.969049999999999,0.0857914208579142,0.0698930106989301,0.9302069793020696,61,0.0373934426229508,2.2810000000000006,-0.0117229508196721,0.0865098360655737,-0.7150999999999983,5.277099999999999,0.1246875312468753,0.0776922307769223,0.9224077592240776,0.315968403159684,False,False
portfolio_profitability,fixed_settlement,rbf,fixed_settlement:rbf vs 0,61,0.0373934426229508,2.2810000000000006,-0.0064598360655737,0.0812467213114754,-0.3940499999999988,4.95605,0.0818918108189181,0.0651934806519348,0.934906509349065,61,0.0373934426229508,2.2810000000000006,-0.0115590163934425,0.0863459016393442,-0.7050999999999984,5.267099999999999,0.1223877612238776,0.0743925607439256,0.9257074292570744,0.315968403159684,False,False
portfolio_profitability,fixed_settlement,matern32,fixed_settlement:matern32 vs 0,61,0.0401803278688524,2.4510000000000005,-0.0039344262295081,0.0842950819672131,-0.239999999999999,5.142,0.078992100789921,0.0636936306369363,0.9364063593640636,61,0.0401803278688524,2.4510000000000005,-0.0085987704918032,0.0889594262295082,-0.524524999999999,5.426525,0.124987501249875,0.0792920707929207,0.9208079192080793,0.315968403159684,False,False
