family,model,comparison,mbb_observed_sharpe_difference,mbb_ci95_lower,mbb_ci95_upper,mbb_p_two_sided,ordinary_observed_sharpe_difference,ordinary_ci95_lower,ordinary_ci95_upper,ordinary_p_two_sided,holm_p_two_sided,holm_reject_5pct,dependence_sensitive_5pct
risk_adjusted_sharpe_difference,raw,"Sharpe(TAEC) - Sharpe(Fixed), raw",-0.5092618118519898,-0.8166484231671765,-0.2708006062707115,0.0005999400059994,-0.5092618118519898,-0.8424161645751084,-0.1739585571322602,0.005999400059994,0.0023997600239976,True,False
risk_adjusted_sharpe_difference,static,"Sharpe(TAEC) - Sharpe(Fixed), static",-0.5021613593655843,-0.7705510420266717,-0.1293662909197893,0.0195980401959804,-0.5021613593655843,-0.7875117892114036,0.0166510916836332,0.0537946205379462,0.0497950204979502,True,True
risk_adjusted_sharpe_difference,rbf,"Sharpe(TAEC) - Sharpe(Fixed), rbf",-0.5551154229104318,-0.81876659124645,-0.1663859685411275,0.0197980201979802,-0.5551154229104318,-0.8535804380378254,-0.0613900624160133,0.0383961603839616,0.0497950204979502,True,False
risk_adjusted_sharpe_difference,matern32,"Sharpe(TAEC) - Sharpe(Fixed), matern32",-0.537050087310835,-0.809347453456798,-0.1672537278355265,0.0165983401659834,-0.537050087310835,-0.8459930758732092,-0.0562329520479834,0.0383961603839616,0.0497950204979502,True,False
