decision_rule,common_all_rule_dates,h_best,best_mean_daily_pnl,se_at_h_best,one_se_cutoff,h_star,h_star_mean_daily_pnl,h_star_se,h_star_conservative_score,h_star_trade_count,development_dates
24h_prior,90,0.1300000000,0.0385055556,0.0256268533,0.0128787022,0.1500000000,0.0274611111,0.0210931000,0.0063680112,15,90
12h_prior,90,0.0900000000,0.0477277778,0.0285486325,0.0191791453,0.1100000000,0.0377888889,0.0247680992,0.0130207897,43,90
6h_prior,90,0.0400000000,0.0321666667,0.0318015008,0.0003651658,0.1800000000,0.0171444444,0.0158256974,0.0013187470,15,90
event_day_open,90,0.0400000000,0.0456333333,0.0313897838,0.0142435495,0.0700000000,0.0251000000,0.0281921092,-0.0030921092,82,90
