analysis_period,probability_source,eligible_settled_dates,trade_count,trade_rate,winning_contract_count,contract_hit_rate,net_win_rate,total_gross_pnl,total_reference_cost,total_net_pnl,mean_daily_net_pnl,sample_sd_daily_net_pnl,settlement_date_sharpe,sqrt365_descriptive_sharpe,downside_deviation_zero_target,expected_shortfall_5pct,average_trade_pnl,average_win,average_loss,largest_gain,largest_loss,profit_factor,maximum_drawdown,aggregate_entry_cash,return_on_entry_cash,break_even_cost_per_trade,top1_absolute_pnl_concentration,top2_absolute_pnl_concentration
external_validation,raw,60,60,1.0000000000,7,0.1166666667,0.1166666667,0.3020000000,0.6000000000,-0.2980000000,-0.0049666667,0.3192821910,-0.0155557272,-0.2971917510,0.1410027186,-0.3466666667,-0.0049666667,0.8271428571,-0.1148679245,0.9300000000,-0.3650000000,0.9510512484,2.5430000000,7.2980000000,-0.0408331050,0.0050333333,0.0782960094,0.1523825560
external_validation,selected_gp,60,12,0.2000000000,3,0.2500000000,0.2500000000,2.5710000000,0.1200000000,2.4510000000,0.0408500000,0.2107214464,0.1938578189,3.7036484305,0.0191770262,-0.0703333333,0.2042500000,0.9480000000,-0.0436666667,0.9790000000,-0.0760000000,7.2366412214,0.2540000000,0.5490000000,4.4644808743,0.2142500000,0.3024405314,0.5943775100
external_validation,static,60,14,0.2333333333,3,0.2142857143,0.2142857143,2.4210000000,0.1400000000,2.2810000000,0.0380166667,0.2118388212,0.1794603390,3.4285849629,0.0246696507,-0.0820000000,0.1629285714,0.9480000000,-0.0511818182,0.9790000000,-0.0850000000,5.0515097691,0.3390000000,0.7190000000,3.1724617524,0.1729285714,0.2873495744,0.5647196947
market_development,raw,90,90,1.0000000000,5,0.0555555556,0.0555555556,-7.3065000000,0.9000000000,-8.2065000000,-0.0911833333,0.2346788201,-0.3885452181,-7.4231459690,0.1652780065,-0.3370000000,-0.0911833333,0.7896000000,-0.1429941176,0.9225000000,-0.3850000000,0.3248179687,9.5845000000,13.2065000000,-0.6213985537,-0.0811833333,0.0572892408,0.1132122341
market_development,selected_gp,90,15,0.1666666667,4,0.2666666667,0.2666666667,2.6215000000,0.1500000000,2.4715000000,0.0274611111,0.2001067163,0.1372323309,2.6218200009,0.0575386826,-0.1832000000,0.1647666667,0.9128750000,-0.1072727273,0.9225000000,-0.4750000000,3.0944915254,0.4750000000,1.5285000000,1.6169447170,0.1747666667,0.1909344924,0.3813515471
market_development,static,90,14,0.1555555556,4,0.2857142857,0.2857142857,2.1460000000,0.1400000000,2.0060000000,0.0222888889,0.1802858682,0.1236308154,2.3619634121,0.0578841755,-0.1897000000,0.1432857143,0.7860000000,-0.1138000000,0.9200000000,-0.4750000000,2.7627416520,0.4750000000,1.9940000000,1.0060180542,0.1532857143,0.2148528725,0.4248014946
