source,grouping_definition,target_date,decision_rule,request_id,run_id,forecast_issue_time_utc,decision_time_utc,source_rows,target_day_rows,unique_local_hours,conflicting_hours,earliest_valid_hour_hkt,latest_valid_hour_hkt,forecast_daily_max_c,source_preference,status,reason,selection_rule,daily_table_forecast_c,daily_source,absolute_difference_c,reconciliation_status
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,12h_prior,,,2026-05-30 18:00:00+00:00,2026-05-31 04:00:00+00:00,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,30.0,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,30.0,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,24h_prior,,,2026-05-30 06:00:00+00:00,2026-05-30 16:00:00+00:00,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,29.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,29.2,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,6h_prior,,,2026-05-31 00:00:00+00:00,2026-05-31 10:00:00+00:00,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,29.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,29.4,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-01,event_day_open,,,2026-05-31 06:00:00+00:00,2026-05-31 16:00:00+00:00,24,24,24,0,2026-06-01 00:00:00+08:00,2026-06-01 23:00:00+08:00,29.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,29.5,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,12h_prior,,,2026-05-31 18:00:00+00:00,2026-06-01 04:00:00+00:00,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,30.7,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,30.7,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,24h_prior,,,2026-05-31 06:00:00+00:00,2026-05-31 16:00:00+00:00,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,31.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,31.2,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,6h_prior,,,2026-06-01 00:00:00+00:00,2026-06-01 10:00:00+00:00,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,30.9,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,30.9,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-02,event_day_open,,,2026-06-01 06:00:00+00:00,2026-06-01 16:00:00+00:00,24,24,24,0,2026-06-02 00:00:00+08:00,2026-06-02 23:00:00+08:00,31.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,31.6,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-03,12h_prior,,,2026-06-01 18:00:00+00:00,2026-06-02 04:00:00+00:00,24,24,24,0,2026-06-03 00:00:00+08:00,2026-06-03 23:00:00+08:00,31.5,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,31.5,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-03,24h_prior,,,2026-06-01 06:00:00+00:00,2026-06-01 16:00:00+00:00,24,24,24,0,2026-06-03 00:00:00+08:00,2026-06-03 23:00:00+08:00,31.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference,31.1,data/interim/notebook02_sources/daily_max_forecasts/31_18q_june_2026_contract_event_membership.csv,0.0,AGREES_WITHIN_0_15C
