role,source,date_column,rule_column,request_column,issue_column,decision_column
request_plan,data/interim/notebook02_sources/request_plan/01_19a_hko_ecmwf_single_run_request_plan.csv,event_date,decision_rule,,selected_run_init_utc,decision_cutoff_utc
request_plan,data/interim/notebook02_sources/request_plan/02_18q_june_2026_weather_request_plan.csv,event_date,decision_rule,,selected_run_initialisation_utc,decision_cutoff_utc
