check,passed,value
model_selection_locked,True,pooled_empirical_residual
continuous_calibration_locked,True,1.25
event_probability_construction_locked,True,LOCKED_EVENT_PROBABILITY_CONSTRUCTION_COMPLETE
development_dates_equal_38,True,38
development_forecasts_equal_152,True,152
development_probability_rows_equal_1672,True,1672
candidate_lambda_count_equal_101,True,101
selected_lambda_in_unit_interval,True,0.01
selected_lambda_is_smallest_one_se_candidate,True,0.01
development_books_sum_to_one,True,1.1102230246251565e-16
locked_prediction_books_equal_159,True,159
locked_probability_rows_equal_1749,True,1749
locked_dates_equal_40,True,40
locked_books_sum_to_one,True,2.220446049250313e-16
holdout_and_external_outcomes_not_accessed,True,False
holdout_and_external_scores_not_calculated,True,False
market_prices_not_accessed,True,False
trading_returns_not_calculated,True,False
