source,role,rows,columns,best_date_column,distinct_dates,start_date,end_date,datetime_columns,temperature_columns,decision_rule_columns,all_columns
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tA_hko_publication_availability/18tA_operational_calendar.csv,availability,109,7,calendar_date,109,2026-03-16,2026-07-02,analytical_operational_definition,,,calendar_date; weekday_name; is_weekend; is_gazetted_holiday; holiday_name; is_operational_working_day; analytical_operational_definition
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tA_hko_publication_availability/18tA_verified_publication_timestamp_template.csv,availability,103,6,event_date,103,2026-03-16,2026-06-30,verified_publication_timestamp_hkt,,,event_date; sample_block; verified_publication_timestamp_hkt; verified; evidence_reference; evidence_note
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tA_hko_publication_availability/18tA_hko_publication_availability_panel.csv,availability,103,25,event_date,103,2026-03-16,2026-06-30,fallback_publication_timestamp_hkt; observed_publication_timestamp_hkt; exact_publication_timestamp_claim; fallback_is_exact_timestamp_claim,hko_daily_max_c,,event_date; sample_block; hko_daily_max_c; certified_contracts; realised_winners; event_weekday; fallback_operational_date; fallback_publication_timestamp_hkt; calendar_days_to_fallback; weekend_dates_crossed; holiday_dates_crossed; observed_publication_timestamp_hkt; evidence_reference; evidence_note; source_file; availability_source; exact_publication_timestamp_claim; hko_publication_available_hkt; hko_publication_available_utc; availability_lag_hours_after_event_end; availability_calendar_days_after_event; fallback_is_exact_timestamp_claim; fallback_convention; hko_service_update_statement; final_modelling_split
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tA_hko_publication_availability/18tA_gazetted_holiday_calendar.csv,availability,8,2,calendar_date,8,2026-04-03,2026-07-01,,,,calendar_date; holiday_name
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tA_hko_publication_availability/18tA_sha256_manifest.csv,availability,11,3,,0,,,,,,path; size_bytes; sha256
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tA_hko_publication_availability/18tA_source_inventory.csv,availability,5,4,,0,,,,,,input_role; path; rows; sha256
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,daily_max_forecasts,292,22,event_date,73,2026-03-16,2026-05-31,selected_run_init_utc; run_init_utc_str; run_init_utc; forecast_valid_date_hkt; first_forecast_valid_time_local; last_forecast_valid_time_local; min_lead_hours_from_run_init; max_lead_hours_from_run_init,forecast_hko_daily_max_c; target_hko_tmax_c; temperature_error_c; abs_temperature_error_c,decision_rule,event_date; decision_rule; decision_cutoff_utc; availability_delay_hours_assumed; selected_run_init_utc; selected_run_available_utc_assumed; selected_run_before_cutoff; model; run_init_utc_str; run_init_utc; forecast_valid_date_hkt; model_forecast; forecast_hko_daily_max_c; forecast_hko_daily_mean_c; n_hourly_values_for_event_day; first_forecast_valid_time_local; last_forecast_valid_time_local; min_lead_hours_from_run_init; max_lead_hours_from_run_init; target_hko_tmax_c; temperature_error_c; abs_temperature_error_c
git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,daily_max_forecasts,292,22,event_date,73,2026-03-16,2026-05-31,selected_run_init_utc; run_init_utc_str; run_init_utc; forecast_valid_date_hkt; first_forecast_valid_time_local; last_forecast_valid_time_local; min_lead_hours_from_run_init; max_lead_hours_from_run_init,forecast_hko_daily_max_c; target_hko_tmax_c; temperature_error_c; abs_temperature_error_c,decision_rule,event_date; decision_rule; decision_cutoff_utc; availability_delay_hours_assumed; selected_run_init_utc; selected_run_available_utc_assumed; selected_run_before_cutoff; model; run_init_utc_str; run_init_utc; forecast_valid_date_hkt; model_forecast; forecast_hko_daily_max_c; forecast_hko_daily_mean_c; n_hourly_values_for_event_day; first_forecast_valid_time_local; last_forecast_valid_time_local; min_lead_hours_from_run_init; max_lead_hours_from_run_init; target_hko_tmax_c; temperature_error_c; abs_temperature_error_c
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18q_june_2026_ecmwf_single_run_forecasts/18q_june_2026_daily_max_forecasts.csv,daily_max_forecasts,120,25,event_date,30,2026-06-01,2026-06-30,selected_run_initialisation_utc; forecast_max_time_hkt; forecast_max_time_utc,n_nonmissing_temperature_rows; forecast_daily_max_c; hko_daily_max_c,decision_rule; decision_rule_order,event_date; decision_rule; decision_rule_order; decision_cutoff_utc; decision_cutoff_hkt; selected_run_initialisation_utc; selected_run_available_utc; selected_run_key; selected_run_parameter; lead_hours_to_event_start; lead_hours_to_event_end; n_hourly_rows; n_nonmissing_temperature_rows; n_unique_local_hours; forecast_path_ready; forecast_daily_max_c; forecast_daily_min_c; forecast_daily_mean_c; forecast_max_time_hkt; forecast_max_time_utc; hko_daily_max_c; forecast_error_c; absolute_error_c; squared_error_c2; underforecast_indicator
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18p_june_2026_clob_market_price_recovery/18p_june_2026_clob_fetch_inventory.csv,fetch_inventory,330,20,event_date,30,2026-06-01,2026-06-30,,attempt; attempt_label,,selected_yes_token_id; requested_at_utc; request_url; start_ts; end_ts; fidelity_minutes; attempt; status_code; error; has_history; history_points_returned; event_date; market_id; market_slug; group_item_title; attempt_label; fetch_source; raw_response_path; raw_response_size_bytes; raw_response_sha256
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_single_run_fetch_inventory.csv,fetch_inventory,224,10,,0,,,run_init_utc,,,run_init_utc; model; cache_path; request_url; fetched_at_utc; used_cache; status_code; success; error; n_hourly_rows
git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_single_run_fetch_inventory.csv,fetch_inventory,224,10,,0,,,run_init_utc,,,run_init_utc; model; cache_path; request_url; fetched_at_utc; used_cache; status_code; success; error; n_hourly_rows
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18q_june_2026_ecmwf_single_run_forecasts/18q_june_2026_unique_run_fetch_inventory.csv,fetch_inventory,91,33,,0,,,selected_run_initialisation_utc; timezone_requested; returned_timezone; returned_timezone_abbreviation; generationtime_ms; first_valid_time_utc; last_valid_time_utc,attempt; hourly_units_temperature; parsed_nonmissing_temperature_rows,,selected_run_initialisation_utc; selected_run_key; selected_run_parameter; model; latitude_requested; longitude_requested; forecast_days; hourly_variable; timezone_requested; availability_lag_hours; requested_at_utc; request_url; attempt; status_code; success; error; parse_success; parse_error; returned_latitude; returned_longitude; returned_elevation; returned_timezone; returned_timezone_abbreviation; returned_utc_offset_seconds; generationtime_ms; hourly_units_temperature; parsed_hourly_rows; parsed_nonmissing_temperature_rows; first_valid_time_utc; last_valid_time_utc; raw_response_path; raw_response_size_bytes; raw_response_sha256
