source_name,path,rows,date_column,block_column,block_source,rule_column,distinct_dates,blocks,decision_rules,resolved_metric_1,resolved_metric_2,resolved_metric_3,resolved_metric_4
continuous,outputs/diagnostics/07_continuous_prediction_and_outcome_panel.csv,477,target_date,chronology_block,chronology_block,decision_rule,40,"['external_test', 'holdout']","['12h_prior', '24h_prior', '6h_prior', 'event_day_open']",raw_crps_derived,model_crps_99q_derived,,
categorical_model,outputs/diagnostics/10_locked_categorical_score_panel.csv,159,target_date,chronology_block,chronology_block,decision_rule,40,"['external_test', 'holdout']","['12h_prior', '24h_prior', '6h_prior', 'event_day_open']",raw_log_score_finite,regularised_categorical_log_score,raw_multiclass_brier_score,regularised_multiclass_brier_score
model_market,outputs/diagnostics/11_common_support_book_score_panel.csv,154,target_date,chronology_block,chronology_block,decision_rule,40,"['external_test', 'holdout']","['12h_prior', '24h_prior', '6h_prior', 'event_day_open']",market_categorical_log_score,model_categorical_log_score,market_multiclass_brier_score,model_multiclass_brier_score
trading,outputs/diagnostics/12_locked_trading_date_panel.csv,40,target_date,chronology_block,chronology_block,selected_rule,40,"['external_test', 'holdout']",['24h_prior'],net_payoff,,,
