chronology_block,target_date,decision_rule_count,raw_zero_probability_books,mean_raw_log_score,mean_regularised_log_score,mean_raw_brier_score,mean_regularised_brier_score,mean_brier_difference_regularised_minus_raw
external_test,2026-06-01,4,0,1.5897026195016164,1.5952488734741865,0.8019079685746352,0.8017909090909091,-0.00011705948372608965
external_test,2026-06-02,4,0,1.3910353270864104,1.3973856198321954,0.7307417610447915,0.7311409090909092,0.00039914804611776433
external_test,2026-06-03,4,0,1.3442468502049512,1.3507541236687395,0.708499132741557,0.7090909090909091,0.0005917763493521189
external_test,2026-06-04,4,0,0.34325302676428715,0.3519886992474239,0.1300887664524028,0.13314090909090912,0.003052142638506311
external_test,2026-06-05,4,0,1.3492296065036224,1.355620723183039,0.7090092847668605,0.7094909090909092,0.0004816243240485796
external_test,2026-06-06,4,0,2.356451442895487,2.356736751553764,1.0167840016324865,1.014540909090909,-0.0022430925415776737
external_test,2026-06-07,4,1,inf,3.730167779102196,1.099887766554433,1.0967909090909091,-0.003096857463524172
external_test,2026-06-08,4,0,1.5563197713454857,1.5620007598942085,0.7869605142332415,0.786990909090909,3.0394857667481734e-05
external_test,2026-06-09,4,0,1.8371081207415425,1.8387649124393466,0.8095092337516581,0.8092909090909091,-0.00021832466074900303
external_test,2026-06-10,4,0,2.114297305176513,2.116416378228721,0.9574533210896847,0.955790909090909,-0.0016624119987756758
external_test,2026-06-11,4,0,1.3891682534345289,1.395498078385371,0.7083971023364962,0.7091909090909091,0.0007938067544128735
external_test,2026-06-12,4,0,1.4848336582071757,1.4908256393879653,0.7553821038669524,0.7557409090909091,0.00035880522395662084
external_test,2026-06-13,4,0,1.3014530099162007,1.3080934631876877,0.6584532190592797,0.6597909090909089,0.0013376900316292295
external_test,2026-06-14,4,0,1.2839073500105656,1.2906036037396746,0.6508009386797267,0.652190909090909,0.0013899704111823286
external_test,2026-06-15,4,0,1.3297851812429515,1.3363285659828368,0.6736047342107948,0.674790909090909,0.0011861748801142158
external_test,2026-06-16,4,0,1.5152695174252957,1.520630358571331,0.7290072441587593,0.729640909090909,0.0006336649321496968
external_test,2026-06-17,4,0,1.2244818149738754,1.23139589466609,0.6174880114274054,0.619240909090909,0.0017528976635036442
external_test,2026-06-18,4,0,1.3595500212469485,1.3659417729942844,0.6846240179573514,0.6856909090909091,0.001066891133557707
external_test,2026-06-19,4,0,1.2199240064762655,1.2268669573994884,0.6193755739210286,0.6210909090909089,0.001715335169880372
external_test,2026-06-20,4,0,1.1627667954909942,1.1698790968620534,0.5842260993776146,0.586290909090909,0.0020648097132944243
external_test,2026-06-21,4,0,1.580147316296567,1.5857254453499074,0.7942046729925518,0.7941909090909091,-1.3763901642677157e-05
external_test,2026-06-22,4,0,1.5055845603463132,1.5114989556216147,0.7646668707274767,0.7649409090909091,0.00027403836343226073
external_test,2026-06-23,4,0,1.2281214621820133,1.235040047820874,0.6234567901234569,0.625140909090909,0.0016841189674520474
external_test,2026-06-24,3,0,1.2561811041868796,1.2629953922703983,0.6368057681188996,0.6383575757575757,0.0015518076386761652
external_test,2026-06-25,4,0,1.7032664375710156,1.7079055609012501,0.8181308029792879,0.817840909090909,-0.0002898938883788005
external_test,2026-06-26,4,0,1.4818866692691652,1.487348663562443,0.7083971023364963,0.7092409090909091,0.0008438067544128125
external_test,2026-06-27,4,0,1.2732249835607539,1.2798882099053666,0.6370778491990614,0.6385909090909091,0.0015130598918477178
external_test,2026-06-28,4,0,1.276007336338715,1.282726098146473,0.6454953576165697,0.646940909090909,0.001445551474339224
external_test,2026-06-29,4,0,1.2244818149738754,1.23139589466609,0.6178961330476482,0.6196409090909091,0.0017447760432608428
external_test,2026-06-30,4,0,1.827867213512874,1.8320815790597789,0.8848586878889909,0.883890909090909,-0.0009677787980819919
holdout,2026-05-22,4,0,0.8077483912353571,0.8157359039211727,0.4336292215080095,0.4360409090909091,0.002411687582899641
holdout,2026-05-23,4,0,1.2714948728496105,1.2782105059919326,0.6418732782369146,0.643340909090909,0.0014676308539944283
holdout,2026-05-24,4,0,1.1619311401168217,1.1690484971057196,0.6546270788695032,0.6552909090909091,0.000663830221405981
holdout,2026-05-25,4,0,1.4712116118861582,1.4772687138649983,0.7590041832466075,0.7592409090909091,0.00023672584430159405
holdout,2026-05-26,4,0,1.4401607110213317,1.446334304257613,0.7539026629935721,0.7540909090909091,0.00018824609733703035
holdout,2026-05-27,4,0,1.4388188640340518,1.4450027284616587,0.7417610447913477,0.7421909090909091,0.00042986429956137773
holdout,2026-05-28,4,0,0.5671918202579449,0.5756066076671656,0.27048260381593714,0.2736409090909091,0.003158305274971955
holdout,2026-05-29,4,0,0.17497437934078888,0.18392608401147495,0.04545454545454546,0.04774090909090911,0.0022863636363636497
holdout,2026-05-30,4,0,1.4894209428742249,1.4953730129248621,0.7664013876135088,0.7665409090909092,0.00013952147740031728
holdout,2026-05-31,4,0,1.5152695174252957,1.5206303585713308,0.7650239771451892,0.7649409090909091,-8.306805428009989e-05
