check,passed,value
locked_prediction_rows_equal_159,True,159
locked_prediction_dates_equal_40,True,40
event_probability_rows_equal_1749,True,1749
each_prediction_has_11_events,True,11
each_prediction_has_one_lower_tail,True,1
each_prediction_has_one_upper_tail,True,1
each_probability_book_sums_to_one,True,0.0
each_probability_book_assigns_99_particles,True,99
probabilities_equal_particle_counts_divided_by_99,True,0.0
probabilities_are_finite,True,True
probabilities_are_between_zero_and_one,True,True
no_duplicate_row_event_keys,True,True
no_prohibited_outcome_score_or_price_columns,True,
probability_regularisation_not_applied,True,False
market_prices_not_accessed,True,False
outcomes_not_accessed,True,False
scores_not_calculated,True,False
