declaring_manifest,hash_group,declared_path,verifiable_repository_path,exists,expected_sha256,actual_sha256,hash_matches
data/manifests/09_probability_calibration_manifest.json,input_hashes,data/manifests/08_event_probability_manifest.json,True,True,4948c0e1183a7882085ed2588a7217c11672623b98091622efd5484394d72ab3,4948c0e1183a7882085ed2588a7217c11672623b98091622efd5484394d72ab3,True
data/manifests/09_probability_calibration_manifest.json,input_hashes,data/processed/02_chronological_design_panel.csv,True,True,da654f47c3c12caaa031f832c61308df32f96f0caa411923f21ab95852ea5653,da654f47c3c12caaa031f832c61308df32f96f0caa411923f21ab95852ea5653,True
data/manifests/09_probability_calibration_manifest.json,input_hashes,data/processed/certified_event_books.csv,True,True,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1,True
data/manifests/09_probability_calibration_manifest.json,input_hashes,outputs/diagnostics/05_selected_oof_calibrated_predictions.csv,True,True,f6de4d1c9194d733a574bdc5265ebef5948212baaa44cc240b7eccfb69abdae5,f6de4d1c9194d733a574bdc5265ebef5948212baaa44cc240b7eccfb69abdae5,True
data/manifests/09_probability_calibration_manifest.json,input_hashes,outputs/diagnostics/08_locked_event_probability_panel.csv,True,True,8815e44a074e3631a9f3d3d50d932243271170adc4e2ff60e32aca1a897d0fb6,8815e44a074e3631a9f3d3d50d932243271170adc4e2ff60e32aca1a897d0fb6,True
data/manifests/09_probability_calibration_manifest.json,output_hashes,outputs/diagnostics/09_locked_regularised_event_probability_panel.csv,True,True,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23,True
data/manifests/09_probability_calibration_manifest.json,output_hashes,outputs/diagnostics/09_probability_calibration_integrity_checks.csv,True,True,210f097671285ed9af4c7c2f72fa0c97e4051ef65e585f41da016e411bb94a4c,210f097671285ed9af4c7c2f72fa0c97e4051ef65e585f41da016e411bb94a4c,True
data/manifests/09_probability_calibration_manifest.json,output_hashes,outputs/diagnostics/09_probability_mixing_grid_scores.csv,True,True,4c188b4fd7285027bb0e41bd7abe9e314e001c0454a9eba313a03f9e297fbaf4,4c188b4fd7285027bb0e41bd7abe9e314e001c0454a9eba313a03f9e297fbaf4,True
data/manifests/10_categorical_evaluation_manifest.json,input_hashes,config/categorical_evaluation_spec.yaml,True,True,3b1cccc16964f02da11f7e81d28cac8abceec0ded30f114df20f4666505cc357,3b1cccc16964f02da11f7e81d28cac8abceec0ded30f114df20f4666505cc357,True
data/manifests/10_categorical_evaluation_manifest.json,input_hashes,data/manifests/09_probability_calibration_manifest.json,True,True,cfe6dbdedfdd675774201c70669adb0b6170702947aedce01eedf139b5592645,cfe6dbdedfdd675774201c70669adb0b6170702947aedce01eedf139b5592645,True
