dispersion_scale,target_date,date_crps,date_rows,date_50_coverage,date_80_coverage,date_90_coverage
1.0,2026-04-17,0.5455789898989903,4,0.0,0.75,1.0
1.0,2026-04-18,1.1026395959595965,4,0.0,0.25,0.75
1.0,2026-04-19,0.8939325252525252,4,0.0,0.25,0.25
1.0,2026-04-20,0.18911939393939384,4,1.0,1.0,1.0
1.0,2026-04-21,0.9903921212121201,4,0.0,0.25,0.5
1.0,2026-04-22,0.23441757575757521,4,1.0,1.0,1.0
1.0,2026-04-23,0.8056953535353535,4,0.0,0.75,0.75
1.0,2026-04-24,0.7487913131313124,4,0.25,0.75,0.75
1.0,2026-04-25,0.30456404040404045,4,0.75,1.0,1.0
1.0,2026-04-26,1.1292711111111113,4,0.0,0.0,0.25
1.0,2026-04-27,0.23884181818181782,4,1.0,1.0,1.0
1.0,2026-04-28,1.076301414141413,4,0.0,0.5,0.75
1.0,2026-04-29,0.7546701010101002,4,0.25,0.75,0.75
1.0,2026-04-30,0.3241751515151514,4,0.5,1.0,1.0
1.0,2026-05-01,1.1924983838383825,4,0.0,0.25,0.25
1.0,2026-05-02,1.370813131313131,4,0.0,0.0,0.5
1.0,2026-05-03,0.6060505050505044,4,0.25,0.5,1.0
1.0,2026-05-04,0.2787121212121213,4,1.0,1.0,1.0
1.0,2026-05-05,0.7710707070707075,4,0.25,0.5,0.75
1.0,2026-05-06,1.6803888888888876,4,0.0,0.0,0.0
1.0,2026-05-07,1.0122525252525258,4,0.0,0.5,0.5
1.0,2026-05-08,0.3293383838383839,4,1.0,1.0,1.0
1.0,2026-05-09,0.36701515151515174,4,0.75,1.0,1.0
1.0,2026-05-10,0.45170202020201955,4,0.0,1.0,1.0
1.0,2026-05-11,0.37348989898989915,4,1.0,1.0,1.0
1.0,2026-05-12,0.6987676767676773,4,0.0,1.0,1.0
1.0,2026-05-13,0.6133585858585863,4,0.25,1.0,1.0
1.0,2026-05-14,0.2272575757575757,4,1.0,1.0,1.0
1.0,2026-05-15,1.547702020202022,4,0.0,0.0,0.5
1.0,2026-05-16,0.7588383838383828,4,0.25,1.0,1.0
1.0,2026-05-19,1.7963686868686883,4,0.0,0.0,0.0
1.0,2026-05-20,0.5156565656565651,4,0.5,1.0,1.0
1.0,2026-05-21,1.7256515151515153,4,0.0,0.25,0.25
1.25,2026-04-12,0.19856464646464664,4,1.0,1.0,1.0
1.25,2026-04-13,0.8386909090909077,4,0.0,0.5,1.0
1.25,2026-04-14,0.2580974747474747,4,0.75,1.0,1.0
1.25,2026-04-15,0.27040176767676716,4,0.75,1.0,1.0
1.25,2026-04-16,1.3923651515151503,4,0.0,0.0,0.0
1.25,2026-04-17,0.5186214646464646,4,0.25,0.75,1.0
1.25,2026-04-18,1.0346820707070714,4,0.0,0.25,0.75
1.25,2026-04-19,0.8588424242424233,4,0.0,0.25,0.75
1.25,2026-04-20,0.22186010101010098,4,1.0,1.0,1.0
1.25,2026-04-21,0.9580280303030289,4,0.25,0.5,0.5
1.25,2026-04-22,0.26866590909090865,4,1.0,1.0,1.0
1.25,2026-04-23,0.7691204545454541,4,0.0,0.75,1.0
1.25,2026-04-24,0.7218982323232315,4,0.25,0.75,0.75
1.25,2026-04-25,0.3329651515151514,4,0.75,1.0,1.0
1.25,2026-04-26,1.0457871212121217,4,0.0,0.5,1.0
1.25,2026-04-27,0.27293989898989873,4,1.0,1.0,1.0
1.25,2026-04-28,1.0211532828282817,4,0.0,0.75,0.75
1.25,2026-04-29,0.7282997474747468,4,0.25,0.75,0.75
1.25,2026-04-30,0.3481482323232321,4,0.75,1.0,1.0
1.25,2026-05-01,1.108867929292928,4,0.0,0.25,0.75
1.25,2026-05-02,1.3167613636363635,4,0.0,0.0,1.0
1.25,2026-05-03,0.605075757575757,4,0.25,1.0,1.0
1.25,2026-05-04,0.32087752525252533,4,1.0,1.0,1.0
1.25,2026-05-05,0.7622727272727278,4,0.25,0.75,1.0
1.25,2026-05-06,1.6121212121212107,4,0.0,0.0,0.75
1.25,2026-05-07,0.9427651515151524,4,0.25,0.75,0.75
1.25,2026-05-08,0.3633522727272728,4,1.0,1.0,1.0
1.25,2026-05-09,0.391868686868687,4,0.75,1.0,1.0
1.25,2026-05-10,0.4670265151515147,4,0.0,1.0,1.0
1.25,2026-05-11,0.4100694444444448,4,1.0,1.0,1.0
1.25,2026-05-12,0.6775441919191925,4,0.25,1.0,1.0
1.25,2026-05-13,0.6077714646464651,4,0.5,1.0,1.0
1.25,2026-05-14,0.2827462121212121,4,1.0,1.0,1.0
1.25,2026-05-15,1.474393939393941,4,0.0,0.5,0.75
1.25,2026-05-16,0.7476893939393922,4,0.25,1.0,1.0
1.25,2026-05-19,1.6911868686868698,4,0.0,0.0,0.25
1.25,2026-05-20,0.5240467171717168,4,0.5,1.0,1.0
1.25,2026-05-21,1.6179545454545454,4,0.25,0.25,0.25
1.5,2026-04-12,0.2363280808080809,4,1.0,1.0,1.0
1.5,2026-04-13,0.8269543434343427,4,0.0,1.0,1.0
1.5,2026-04-14,0.29045434343434345,4,0.75,1.0,1.0
1.5,2026-04-15,0.29970434343434316,4,0.75,1.0,1.0
1.5,2026-04-16,1.3367346464646455,4,0.0,0.0,0.25
1.5,2026-04-17,0.5054316161616162,4,0.25,1.0,1.0
1.5,2026-04-18,0.9809644444444449,4,0.0,0.5,1.0
1.5,2026-04-19,0.8373230303030299,4,0.0,0.75,1.0
1.5,2026-04-20,0.25541393939393936,4,1.0,1.0,1.0
1.5,2026-04-21,0.9363179797979783,4,0.25,0.5,0.75
1.5,2026-04-22,0.30613646464646416,4,1.0,1.0,1.0
1.5,2026-04-23,0.7536566666666662,4,0.25,1.0,1.0
1.5,2026-04-24,0.7089369696969687,4,0.5,0.75,1.0
1.5,2026-04-25,0.3646970707070707,4,1.0,1.0,1.0
1.5,2026-04-26,0.998745050505051,4,0.0,1.0,1.0
1.5,2026-04-27,0.3108309090909087,4,1.0,1.0,1.0
1.5,2026-04-28,0.9847223232323223,4,0.0,0.75,0.75
1.5,2026-04-29,0.7185278787878779,4,0.25,0.75,1.0
1.5,2026-04-30,0.37600767676767655,4,1.0,1.0,1.0
1.5,2026-05-01,1.0529975757575745,4,0.0,0.75,1.0
1.5,2026-05-02,1.2757171717171718,4,0.0,0.25,1.0
1.5,2026-05-03,0.6160075757575754,4,0.25,1.0,1.0
1.5,2026-05-04,0.3662146464646465,4,1.0,1.0,1.0
1.5,2026-05-05,0.7631287878787882,4,0.25,0.75,1.0
1.5,2026-05-06,1.559520202020201,4,0.0,0.0,0.75
1.5,2026-05-07,0.9018787878787882,4,0.25,0.75,1.0
1.5,2026-05-08,0.40253787878787894,4,1.0,1.0,1.0
1.5,2026-05-09,0.4251136363636364,4,0.75,1.0,1.0
1.5,2026-05-10,0.49111363636363586,4,0.5,1.0,1.0
1.5,2026-05-11,0.44978030303030314,4,1.0,1.0,1.0
1.5,2026-05-12,0.6842247474747482,4,0.75,1.0,1.0
1.5,2026-05-13,0.6255126262626268,4,1.0,1.0,1.0
1.5,2026-05-14,0.3382348484848485,4,1.0,1.0,1.0
1.5,2026-05-15,1.4204469696969708,4,0.0,0.75,0.75
1.5,2026-05-16,0.7472752525252512,4,0.25,1.0,1.0
1.5,2026-05-19,1.6284924242424257,4,0.0,0.25,1.0
1.5,2026-05-20,0.548416666666666,4,1.0,1.0,1.0
1.5,2026-05-21,1.5329772727272726,4,0.25,0.25,0.5
1.75,2026-04-12,0.27411676767676785,4,1.0,1.0,1.0
1.75,2026-04-13,0.8257329292929285,4,0.0,1.0,1.0
1.75,2026-04-14,0.3235031313131311,4,1.0,1.0,1.0
1.75,2026-04-15,0.33258772727272695,4,0.75,1.0,1.0
1.75,2026-04-16,1.2954096969696958,4,0.0,0.0,0.75
1.75,2026-04-17,0.5035788888888891,4,0.75,1.0,1.0
1.75,2026-04-18,0.9437367171717177,4,0.0,0.75,1.0
1.75,2026-04-19,0.8359349494949488,4,0.0,1.0,1.0
1.75,2026-04-20,0.2915435353535353,4,1.0,1.0,1.0
1.75,2026-04-21,0.9249172727272706,4,0.25,0.75,0.75
1.75,2026-04-22,0.34548833333333284,4,1.0,1.0,1.0
1.75,2026-04-23,0.7522724242424239,4,0.25,1.0,1.0
1.75,2026-04-24,0.7081448989898982,4,0.75,1.0,1.0
1.75,2026-04-25,0.39959818181818185,4,1.0,1.0,1.0
1.75,2026-04-26,0.9783292424242425,4,0.0,1.0,1.0
1.75,2026-04-27,0.3494693939393936,4,1.0,1.0,1.0
1.75,2026-04-28,0.9639416161616149,4,0.25,0.75,1.0
1.75,2026-04-29,0.7204176262626252,4,0.5,1.0,1.0
1.75,2026-04-30,0.406947929292929,4,1.0,1.0,1.0
1.75,2026-05-01,1.0236120707070695,4,0.0,1.0,1.0
1.75,2026-05-02,1.244130050505051,4,0.0,0.5,1.0
1.75,2026-05-03,0.6362297979797977,4,0.5,1.0,1.0
1.75,2026-05-04,0.4127575757575757,4,1.0,1.0,1.0
1.75,2026-05-05,0.7716957070707076,4,0.5,0.75,1.0
1.75,2026-05-06,1.517169191919191,4,0.0,0.0,1.0
1.75,2026-05-07,0.8858686868686872,4,0.5,1.0,1.0
1.75,2026-05-08,0.44516540404040406,4,1.0,1.0,1.0
1.75,2026-05-09,0.46484848484848484,4,1.0,1.0,1.0
1.75,2026-05-10,0.5236603535353535,4,1.0,1.0,1.0
1.75,2026-05-11,0.49254671717171716,4,1.0,1.0,1.0
1.75,2026-05-12,0.7059431818181829,4,1.0,1.0,1.0
1.75,2026-05-13,0.6536704545454555,4,1.0,1.0,1.0
1.75,2026-05-14,0.39372348484848463,4,1.0,1.0,1.0
1.75,2026-05-15,1.386398989898991,4,0.0,0.75,1.0
1.75,2026-05-16,0.7586237373737363,4,0.5,1.0,1.0
1.75,2026-05-19,1.5897083333333348,4,0.0,1.0,1.0
1.75,2026-05-20,0.582369949494949,4,1.0,1.0,1.0
1.75,2026-05-21,1.46882196969697,4,0.25,0.5,0.75
2.0,2026-04-12,0.31196606060606086,4,1.0,1.0,1.0
2.0,2026-04-13,0.829258989898989,4,0.0,1.0,1.0
2.0,2026-04-14,0.3571276767676766,4,1.0,1.0,1.0
2.0,2026-04-15,0.36587515151515126,4,1.0,1.0,1.0
2.0,2026-04-16,1.2695014141414132,4,0.0,0.75,1.0
2.0,2026-04-17,0.5066832323232325,4,0.75,1.0,1.0
2.0,2026-04-18,0.9155519191919201,4,0.25,0.75,1.0
2.0,2026-04-19,0.8406933333333331,4,0.25,1.0,1.0
2.0,2026-04-20,0.32792565656565653,4,1.0,1.0,1.0
2.0,2026-04-21,0.9216933333333315,4,0.25,0.75,1.0
2.0,2026-04-22,0.3858250505050502,4,1.0,1.0,1.0
2.0,2026-04-23,0.7584311111111104,4,0.5,1.0,1.0
2.0,2026-04-24,0.7162492929292922,4,0.75,1.0,1.0
2.0,2026-04-25,0.43491595959595963,4,1.0,1.0,1.0
2.0,2026-04-26,0.973158383838384,4,0.0,1.0,1.0
2.0,2026-04-27,0.38889575757575734,4,1.0,1.0,1.0
2.0,2026-04-28,0.9514109090909082,4,0.5,1.0,1.0
2.0,2026-04-29,0.7307442424242414,4,0.75,1.0,1.0
2.0,2026-04-30,0.4412492929292927,4,1.0,1.0,1.0
2.0,2026-05-01,1.0119058585858574,4,0.25,1.0,1.0
2.0,2026-05-02,1.2242525252525251,4,0.0,1.0,1.0
2.0,2026-05-03,0.6637979797979794,4,0.5,1.0,1.0
2.0,2026-05-04,0.4600303030303031,4,1.0,1.0,1.0
2.0,2026-05-05,0.7879797979797986,4,0.5,1.0,1.0
2.0,2026-05-06,1.4848989898989888,4,0.0,0.75,1.0
2.0,2026-05-07,0.8839393939393944,4,0.5,1.0,1.0
2.0,2026-05-08,0.48988888888888904,4,1.0,1.0,1.0
2.0,2026-05-09,0.5075454545454545,4,1.0,1.0,1.0
2.0,2026-05-10,0.5618888888888887,4,1.0,1.0,1.0
2.0,2026-05-11,0.5382626262626262,4,1.0,1.0,1.0
2.0,2026-05-12,0.7371313131313139,4,1.0,1.0,1.0
2.0,2026-05-13,0.6888989898989906,4,1.0,1.0,1.0
2.0,2026-05-14,0.4492121212121212,4,1.0,1.0,1.0
2.0,2026-05-15,1.3651717171717184,4,0.0,1.0,1.0
2.0,2026-05-16,0.7778181818181806,4,0.5,1.0,1.0
2.0,2026-05-19,1.5558989898989914,4,0.0,1.0,1.0
2.0,2026-05-20,0.6228888888888886,4,1.0,1.0,1.0
2.0,2026-05-21,1.4230808080808084,4,0.25,0.75,0.75
