role,source,status,rows,columns,date_column,rule_column,issue_columns,decision_columns,distinct_dates,start_date,end_date,pre_june_dates,june_dates,post_june_dates,rules
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/01_17k_hko_daily_max_latest_parsed.csv,INSPECTED,49459,2,date,,,,516,2025-01-01,2026-05-31,516,0,0,
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/02_18e_hko_daily_max_targets_to_20260531.csv,INSPECTED,49459,5,event_date,,,,516,2025-01-01,2026-05-31,516,0,0,
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/03_hko_daily_max.csv,INSPECTED,103,6,event_date,,,,103,2026-03-16,2026-06-30,73,30,0,
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/04_18s_expanded_deterministic_weather_panel.csv,INSPECTED,4125,42,event_date,decision_rule,selected_run_initialisation_utc;selected_run_available_utc;selected_run_key;source_run_initialisation_column,decision_rule;decision_cutoff_utc;source_cutoff_column;decision_rule_order,102,2026-03-16,2026-06-30,72,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/05_18sA_canonical_weather_panel.csv,INSPECTED,4125,42,event_date,decision_rule,selected_run_initialisation_utc;selected_run_available_utc;selected_run_key;source_run_initialisation_column,decision_rule;decision_cutoff_utc;source_cutoff_column;decision_rule_order,102,2026-03-16,2026-06-30,72,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/06_18tB_residual_observation_panel.csv,INSPECTED,375,26,event_date,decision_rule,selected_run_initialisation_utc;selected_run_available_utc;selected_run_key;source_run_initialisation_column;residual_definition,decision_rule;decision_rule_order;decision_cutoff_utc;historical_weather_admissible_at_own_decision,102,2026-03-16,2026-06-30,72,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/07_18s_expanded_exact_common_support_panel.csv,INSPECTED,3889,49,event_date,decision_rule,selected_run_initialisation_utc;selected_run_available_utc;selected_run_key;source_run_initialisation_column,decision_rule;decision_rule_order;decision_cutoff_hkt;decision_cutoff_utc;source_cutoff_column,97,2026-03-18,2026-06-30,67,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/08_18s_expanded_complete_book_contract_panel.csv,INSPECTED,3850,51,event_date,decision_rule,selected_run_initialisation_utc;selected_run_available_utc;selected_run_key;source_run_initialisation_column,decision_rule;decision_rule_order;decision_cutoff_hkt;decision_cutoff_utc;source_cutoff_column,97,2026-03-18,2026-06-30,67,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/09_18s_expanded_complete_book_panel.csv,INSPECTED,350,30,event_date,decision_rule,,decision_rule;decision_rule_order;decision_cutoff_utc,97,2026-03-18,2026-06-30,67,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/10_19a_hko_ecmwf_single_run_daily_max_forecasts.csv,INSPECTED,292,22,event_date,decision_rule,selected_run_init_utc;selected_run_available_utc_assumed;selected_run_before_cutoff;run_init_utc_str;run_init_utc;min_lead_hours_from_run_init;max_lead_hours_from_run_init,decision_rule;decision_cutoff_utc;selected_run_before_cutoff,73,2026-03-16,2026-05-31,73,0,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/11_18uB_final_fit_membership.csv,INSPECTED,418,31,event_date,decision_rule,selected_run_initialisation_utc;selected_run_available_utc;selected_run_key;source_run_initialisation_column;residual_definition,decision_rule;decision_rule_order;decision_cutoff_utc;historical_weather_admissible_at_own_decision,61,2026-03-16,2026-05-20,61,0,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/12_18uB_fold_training_membership.csv,INSPECTED,924,32,event_date,decision_rule,selected_run_initialisation_utc;selected_run_available_utc;selected_run_key;source_run_initialisation_column;residual_definition,decision_rule;decision_rule_order;decision_cutoff_utc;historical_weather_admissible_at_own_decision,50,2026-03-16,2026-05-07,50,0,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/13_18wC_blind_probability_release.csv,INSPECTED,10494,45,event_date,decision_rule,,decision_cutoff_utc;decision_rule;decision_rule_order,40,2026-05-22,2026-06-30,10,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/14_18wD_model_probability_outcome_panel.csv,INSPECTED,10494,52,event_date,decision_rule,,decision_cutoff_utc;decision_rule;decision_rule_order,40,2026-05-22,2026-06-30,10,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/15_18wD_exact_common_market_model_contract_panel.csv,INSPECTED,10164,63,event_date,decision_rule,,decision_cutoff_utc;decision_rule;decision_rule_order,40,2026-05-22,2026-06-30,10,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/16_18wC_blind_calibrated_probability_panel.csv,INSPECTED,5247,38,event_date,decision_rule,,decision_rule;decision_rule_order;decision_cutoff_utc,40,2026-05-22,2026-06-30,10,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/17_18wA_blind_uncalibrated_probability_panel.csv,INSPECTED,5247,38,event_date,decision_rule,,decision_rule;decision_rule_order;decision_cutoff_utc,40,2026-05-22,2026-06-30,10,30,0,12h_prior;24h_prior;6h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/18_18xB_blind_trade_opportunity_panel.csv,INSPECTED,1265,56,event_date,decision_rule,,decision_cutoff_utc_x;decision_rule;decision_rule_order;decision_cutoff_utc_y,40,2026-05-22,2026-06-30,10,30,0,12h_prior;24h_prior;event_day_open
daily_max_forecasts,data/interim/notebook02_sources/daily_max_forecasts/19_18xC_cost_sensitivity_trade_panel.csv,INSPECTED,575,71,event_date,decision_rule,,decision_cutoff_utc_x;decision_rule;decision_rule_order;decision_cutoff_utc_y,40,2026-05-22,2026-06-30,10,30,0,12h_prior;24h_prior;event_day_open
