mixing_lambda,settlement_dates,date_rule_rows,mean_date_log_score,standard_error_date_log_score,mean_date_brier_score,standard_error_date_brier_score,zero_realised_probability_rows,minimum_event_probability,maximum_event_probability,strict_log_score_winner,within_one_standard_error,selected_lambda
0.0,38,152,inf,inf,0.754226206778041,0.05052178361329413,1,0.0,0.9393939393939394,False,False,False
0.01,38,152,1.5914174136586134,0.13187631320332327,0.7535514354066986,0.05011491847648083,0,0.0009090909090909091,0.9309090909090909,False,True,True
0.02,38,152,1.5903688662077229,0.1292858018652862,0.7529215815786787,0.049706746196433546,0,0.0018181818181818182,0.9224242424242425,True,True,False
0.03,38,152,1.5913004163673834,0.1274370380022957,0.7523366452939818,0.04929724199020696,0,0.002727272727272727,0.9139393939393939,False,True,False
0.04,38,152,1.5930901673720783,0.12588370898961937,0.7517966265526073,0.04888638124282101,0,0.0036363636363636364,0.9054545454545455,False,True,False
0.05,38,152,1.5953844475421253,0.12449136368968092,0.7513015253545556,0.04847413950753023,0,0.004545454545454546,0.896969696969697,False,True,False
0.06,38,152,1.598024449860869,0.12320134643601896,0.7508513416998265,0.048060492506052654,0,0.005454545454545454,0.8884848484848485,False,True,False
0.07,38,152,1.6009246495422018,0.12198266813921824,0.75044607558842,0.04764541612875945,0,0.006363636363636364,0.88,False,True,False
0.08,38,152,1.6040334658113777,0.12081685812390444,0.7500857270203363,0.04722888643482572,0,0.007272727272727273,0.8715151515151517,False,True,False
0.09,38,152,1.6073172801570477,0.11969194323410752,0.749770295995575,0.046810879652343367,0,0.00818181818181818,0.8630303030303031,False,True,False
0.1,38,152,1.6107529125929296,0.11859966451036137,0.7494997825141368,0.046391372178396714,0,0.009090909090909092,0.8545454545454546,False,True,False
0.11,38,152,1.6143236890068515,0.11753404470141682,0.7492741865760207,0.045970340579101564,0,0.01,0.8460606060606062,False,True,False
0.12,38,152,1.6180172172931893,0.11649058891650843,0.7490935081812274,0.045547761589608715,0,0.010909090909090908,0.8375757575757576,False,True,False
0.13,38,152,1.6218240499400742,0.11546580938839404,0.7489577473297571,0.045123612114072155,0,0.011818181818181818,0.8290909090909091,False,True,False
0.14,38,152,1.6257368388464617,0.11445692809334256,0.7488669040216088,0.04469786922558336,0,0.012727272727272728,0.8206060606060606,False,True,False
0.15,38,152,1.6297497789554383,0.11346168263070218,0.7488209782567835,0.04427051016607178,0,0.013636363636363636,0.8121212121212121,False,True,False
0.16,38,152,1.6338582292710955,0.11247819492121468,0.7488199700352811,0.043841512346172846,0,0.014545454545454545,0.8036363636363636,False,True,False
0.17,38,152,1.638058447098867,0.11150487965884984,0.748863879357101,0.04341085334506375,0,0.015454545454545455,0.7951515151515152,False,True,False
0.18,38,152,1.6423473969784863,0.11054037878332632,0.7489527062222437,0.04297851091026807,0,0.01636363636363636,0.7866666666666667,False,True,False
0.19,38,152,1.6467226103188173,0.10958351348947652,0.749086450630709,0.04254446295742984,0,0.017272727272727273,0.7781818181818183,False,True,False
0.2,38,152,1.6511820803211306,0.1086332483614906,0.7492651125824968,0.042108687570057896,0,0.018181818181818184,0.7696969696969698,False,True,False
0.21,38,152,1.655724182012151,0.10768866408110145,0.7494886920776075,0.04167116299924106,0,0.01909090909090909,0.7612121212121212,False,True,False
0.22,38,152,1.6603476104998054,0.10674893632104678,0.7497571891160408,0.04123186766333507,0,0.02,0.7527272727272728,False,True,False
0.23,38,152,1.6650513326899299,0.10581331918087392,0.7500706036977965,0.04079078014762197,0,0.02090909090909091,0.7442424242424243,False,True,False
0.24,38,152,1.669834549107264,0.104881132012283,0.7504289358228753,0.040347879203942436,0,0.021818181818181816,0.7357575757575758,False,True,False
0.25,38,152,1.674696663412973,0.10395174881039669,0.7508321854912763,0.03990314375030219,0,0.022727272727272728,0.7272727272727273,False,True,False
0.26,38,152,1.6796372578641525,0.1030245895728096,0.7512803527030001,0.03945655287045278,0,0.023636363636363636,0.7187878787878789,False,True,False
0.27,38,152,1.6846560734184346,0.10209911318546143,0.7517734374580467,0.03900808581344773,0,0.024545454545454547,0.7103030303030303,False,True,False
0.28,38,152,1.6897529935125584,0.10117481150575652,0.7523114397564159,0.03855772199317453,0,0.025454545454545455,0.7018181818181819,False,True,False
0.29,38,152,1.694928030779087,0.10025120439344849,0.7528943595981077,0.03810544098786343,0,0.026363636363636363,0.6933333333333334,False,True,False
0.3,38,152,1.7001813161377555,0.09932783549819577,0.753522196983122,0.037651222539573426,0,0.02727272727272727,0.6848484848484848,False,True,False
0.31,38,152,1.7055130898256856,0.09840426865578956,0.754194951911459,0.037195046553656366,0,0.028181818181818183,0.6763636363636364,False,True,False
0.32,38,152,1.7109236940265387,0.09748008477723324,0.7549126243831189,0.03673689309819963,0,0.02909090909090909,0.6678787878787878,False,True,False
0.33,38,152,1.7164135668313616,0.09655487913912972,0.755675214398101,0.03627674240344832,0,0.030000000000000002,0.6593939393939394,False,True,False
0.34,38,152,1.7219832373196287,0.09562825900233225,0.7564827219564062,0.03581457486120723,0,0.03090909090909091,0.6509090909090909,False,False,False
0.35,38,152,1.727633321592063,0.09469984150003005,0.7573351470580337,0.03535037102422373,0,0.031818181818181815,0.6424242424242426,False,False,False
0.36,38,152,1.7333645196205831,0.09376925174745643,0.7582324897029842,0.03488411160555171,0,0.03272727272727272,0.633939393939394,False,False,False
0.37,38,152,1.7391776128072707,0.09283612113400337,0.759174749891257,0.034415777477897605,0,0.03363636363636364,0.6254545454545456,False,False,False
0.38,38,152,1.7450734621654733,0.09190008576527478,0.7601619276228526,0.0339453496729489,0,0.034545454545454546,0.616969696969697,False,False,False
0.39,38,152,1.7510530070531636,0.09096078502793822,0.7611940228977708,0.03347280938068579,0,0.035454545454545454,0.6084848484848484,False,False,False
0.4,38,152,1.7571172644025044,0.09001786025445599,0.762271035716012,0.03299813794867668,0,0.03636363636363637,0.6,False,False,False
0.41,38,152,1.7632673284009281,0.08907095346812911,0.7633929660775753,0.03252131688135796,0,0.03727272727272727,0.5915151515151515,False,False,False
0.42,38,152,1.7695043705884201,0.08811970619155332,0.7645598139824614,0.03204232783929879,0,0.03818181818181818,0.5830303030303031,False,False,False
0.43,38,152,1.7758296403436147,0.0871637583037001,0.7657715794306703,0.03156115263845139,0,0.03909090909090909,0.5745454545454546,False,False,False
0.44,38,152,1.78224446573803,0.08620274693250544,0.7670282624222018,0.031077773249387486,0,0.04,0.5660606060606062,False,False,False
0.45,38,152,1.788750254743559,0.08523630537115011,0.7683298629570561,0.030592171796521336,0,0.04090909090909091,0.5575757575757576,False,False,False
0.46,38,152,1.795348496783448,0.08426406200721669,0.7696763810352326,0.030104330557320036,0,0.04181818181818182,0.5490909090909092,False,False,False
0.47,38,152,1.8020407646215464,0.08328563925464828,0.771067816656732,0.029614231961501553,0,0.042727272727272725,0.5406060606060606,False,False,False
0.48,38,152,1.808828716588763,0.08230065247895606,0.7725041698215541,0.029121858590221046,0,0.04363636363636363,0.5321212121212121,False,False,False
0.49,38,152,1.8157140991495442,0.08130870890644741,0.773985440529699,0.02862719317524602,0,0.04454545454545455,0.5236363636363637,False,False,False
0.5,38,152,1.8226987498148814,0.08030940650839652,0.7755116287811663,0.02813021859812074,0,0.045454545454545456,0.5151515151515151,False,False,False
0.51,38,152,1.8297846004119358,0.07930233285106464,0.7770827345759563,0.02763091788932058,0,0.046363636363636364,0.5066666666666667,False,False,False
0.52,38,152,1.8369736807239523,0.07828706390230743,0.7786987579140688,0.027129274227396583,0,0.04727272727272727,0.49818181818181817,False,False,False
0.53,38,152,1.8442681225177466,0.0772631627851832,0.7803596987955043,0.026625270938110863,0,0.04818181818181819,0.48969696969696974,False,False,False
0.54,38,152,1.8516701639798263,0.07623017846849588,0.7820655572202622,0.026118891493563362,0,0.049090909090909095,0.4812121212121212,False,False,False
0.55,38,152,1.859182154586126,0.07518764438356486,0.7838163331883429,0.025610119511310193,0,0.05,0.4727272727272727,False,False,False
0.56,38,152,1.8668065604345812,0.07413507695570087,0.785612026699746,0.025098938753474336,0,0.05090909090909091,0.46424242424242423,False,False,False
0.57,38,152,1.874545970074315,0.07307197403786254,0.7874526377544718,0.024585333125848912,0,0.05181818181818181,0.4557575757575758,False,False,False
0.58,38,152,1.8824031008702307,0.07199781323275858,0.7893381663525204,0.024069286676993516,0,0.05272727272727273,0.4472727272727273,False,False,False
0.59,38,152,1.8903808059473048,0.07091205008821373,0.7912686124938916,0.02355078359732412,0,0.053636363636363635,0.43878787878787884,False,False,False
0.6,38,152,1.8984820817650518,0.06981411614890211,0.7932439761785854,0.0230298082181969,0,0.05454545454545454,0.43030303030303035,False,False,False
0.61,38,152,1.9067100763795377,0.06870341684552923,0.7952642574066019,0.022506345010986313,0,0.05545454545454545,0.42181818181818187,False,False,False
0.62,38,152,1.9150680984581248,0.06757932920016257,0.7973294561779412,0.02198037858615805,0,0.056363636363636366,0.41333333333333333,False,False,False
0.63,38,152,1.9235596271210003,0.06644119932360888,0.7994395724926029,0.021451893692336986,0,0.057272727272727274,0.40484848484848485,False,False,False
0.64,38,152,1.9321883226936654,0.06528833967744146,0.8015946063505872,0.02092087521537072,0,0.05818181818181818,0.39636363636363636,False,False,False
0.65,38,152,1.9409580384661806,0.06412002606939832,0.8037945577518942,0.020387308177388985,0,0.05909090909090909,0.3878787878787879,False,False,False
0.66,38,152,1.9498728335683309,0.06293549434629199,0.806039426696524,0.019851177735859253,0,0.060000000000000005,0.3793939393939394,False,False,False
0.67,38,152,1.9589369870853606,0.06173393674315633,0.8083292131844764,0.019312469182638993,0,0.06090909090909091,0.3709090909090909,False,False,False
0.68,38,152,1.9681550135569235,0.06051449784093168,0.8106639172157514,0.01877116794302487,0,0.06181818181818182,0.3624242424242424,False,False,False
0.69,38,152,1.9775316800228537,0.059276270077352866,0.813043538790349,0.01822725957479917,0,0.06272727272727273,0.353939393939394,False,False,False
0.7,38,152,1.987072024803964,0.058018288746586065,0.8154680779082694,0.01768072976727388,0,0.06363636363636363,0.34545454545454546,False,False,False
0.71,38,152,1.9967813782349693,0.0567395264122413,0.8179375345695122,0.017131564340332726,0,0.06454545454545454,0.33696969696969703,False,False,False
0.72,38,152,2.006665385600834,0.0554388866452527,0.8204519087740779,0.01657974924347135,0,0.06545454545454545,0.3284848484848485,False,False,False
0.73,38,152,2.0167300325683257,0.05411519698225606,0.8230112005219662,0.016025270554836137,0,0.06636363636363636,0.32,False,False,False
0.74,38,152,2.0269816734529615,0.05276720098084871,0.8256154098131768,0.01546811448026182,0,0.06727272727272728,0.3115151515151515,False,False,False
0.75,38,152,2.0374270627193756,0.05139354922465377,0.8282645366477105,0.014908267352308208,0,0.06818181818181818,0.30303030303030304,False,False,False
0.76,38,152,2.04807339018292,0.049992789102365535,0.8309585810255667,0.01434571562929635,0,0.06909090909090909,0.29454545454545455,False,False,False
0.77,38,152,2.0589283204646502,0.04856335314954004,0.8336975429467455,0.013780445894344344,0,0.07,0.28606060606060607,False,False,False
0.78,38,152,2.070000037354638,0.04710354569802462,0.8364814224112469,0.01321244485440309,0,0.07090909090909091,0.2775757575757576,False,False,False
0.79,38,152,2.0812972938643184,0.04561152752324363,0.8393102194190711,0.012641699339292229,0,0.07181818181818182,0.26909090909090905,False,False,False
0.8,38,152,2.092829468903557,0.04408529811097926,0.842183933970218,0.012068196300736562,0,0.07272727272727274,0.26060606060606056,False,False,False
0.81,38,152,2.1046066317104266,0.04252267507869094,0.8451025660646873,0.011491922811403082,0,0.07363636363636364,0.2521212121212121,False,False,False
0.82,38,152,2.116639615401734,0.04092127017628832,0.8480661157024793,0.010912866063938955,0,0.07454545454545454,0.2436363636363637,False,False,False
0.83,38,152,2.128940101314607,0.03927846115014944,0.851074582883594,0.01033101337001067,0,0.07545454545454545,0.23515151515151522,False,False,False
