candidate_model,target_date,date_crps,date_rows,date_80_coverage,date_80_width_c
pooled_catboost_quantile,2026-04-12,0.426333842089972,2,0.0,0.04938230549575806
pooled_catboost_quantile,2026-04-13,1.6415085382370895,2,0.0,0.018130096588075517
pooled_catboost_quantile,2026-04-14,0.7263338420899726,2,0.0,0.04938230549575806
pooled_catboost_quantile,2026-04-15,0.8915085382370898,2,0.0,0.018130096588077294
pooled_catboost_quantile,2026-04-16,2.4277511192369574,2,0.0,0.06751240208383535
pooled_catboost_quantile,2026-04-17,0.3599087389098958,2,0.0,0.0
pooled_catboost_quantile,2026-04-18,0.4658163450988803,2,0.0,0.14796703544602785
pooled_catboost_quantile,2026-04-19,1.4140430937523414,2,0.0,0.05477831414142642
pooled_catboost_quantile,2026-04-20,0.507570852035585,2,0.0,0.024321243430028616
pooled_catboost_quantile,2026-04-21,1.354051847241972,2,0.0,0.018130096588075517
pooled_catboost_quantile,2026-04-22,0.24520571325938775,4,1.0,1.333093032853709
pooled_catboost_quantile,2026-04-23,0.21605061649396487,4,1.0,1.2420131195090987
pooled_catboost_quantile,2026-04-24,0.6186498384093723,4,0.0,0.9069873155913175
pooled_catboost_quantile,2026-04-25,1.0761141267676022,4,0.0,0.9135853231692828
pooled_catboost_quantile,2026-04-26,0.22578119504425878,4,1.0,1.034777090269558
pooled_catboost_quantile,2026-04-27,0.6713705776655717,4,0.0,1.1780437954850616
pooled_catboost_quantile,2026-04-28,0.41952054006099737,4,0.75,1.3192120140069727
pooled_catboost_quantile,2026-04-29,0.292126454868306,4,0.5,1.187392359171656
pooled_catboost_quantile,2026-04-30,0.7056282743370769,4,0.0,0.8862738388929641
pooled_catboost_quantile,2026-05-01,0.1734341389908487,4,1.0,0.8508840759783993
pooled_catboost_quantile,2026-05-02,2.2559126610355986,4,0.0,0.92203182596365
pooled_catboost_quantile,2026-05-03,0.13774840950288725,4,0.5,0.12834193946391004
pooled_catboost_quantile,2026-05-04,0.5939305037521128,4,0.25,1.23894514189581
pooled_catboost_quantile,2026-05-05,2.078534993749034,4,0.0,1.140842458565606
pooled_catboost_quantile,2026-05-06,2.7630247257311424,4,0.0,1.3791951896967332
pooled_catboost_quantile,2026-05-07,0.4539511851905424,4,0.5,1.1890915405138651
pooled_catboost_quantile,2026-05-08,0.518752549568438,4,0.0,0.27359528653061727
pooled_catboost_quantile,2026-05-09,0.6677091331932653,4,0.25,1.214326497827968
pooled_catboost_quantile,2026-05-10,1.3079461721518832,4,0.0,1.4301846124422157
pooled_catboost_quantile,2026-05-11,0.8846364247357302,4,0.0,0.21169312766823367
pooled_catboost_quantile,2026-05-12,1.3954600711304876,4,0.0,0.15995664463879677
pooled_catboost_quantile,2026-05-13,1.0964316227438247,4,0.0,0.04579950417632084
pooled_catboost_quantile,2026-05-14,0.059585750061271536,4,0.75,0.17716422361632667
pooled_catboost_quantile,2026-05-15,2.017471038348593,4,0.0,0.15888170104962196
