chronology_block,decision_rule,dates,probability_books,raw_zero_probability_books,mean_regularised_log_score,mean_raw_brier_score,mean_regularised_brier_score,mean_brier_difference_regularised_minus_raw
external_test,12h_prior,30,30,0,1.4072474542251039,0.6988130462877938,0.6996575757575757,0.0008445294697819516
external_test,24h_prior,30,30,0,1.5365617309910875,0.7460667278849098,0.7463442424242424,0.0002775145393326281
external_test,6h_prior,29,29,0,1.5214155314345612,0.7296018351399752,0.7300702194357366,0.0004683842957614085
external_test,event_day_open,30,30,1,1.5977564745353594,0.7037037037037037,0.7043842424242424,0.0006805387205386338
holdout,12h_prior,10,10,0,1.1087785683344709,0.5651668197122742,0.5663309090909091,0.0011640893786348683
holdout,24h_prior,10,10,0,1.2666147843249278,0.646383022140598,0.6468309090909091,0.0004478869503112
holdout,6h_prior,10,10,0,1.1153118431811508,0.5734516886032037,0.5746709090909091,0.0012192204877053477
holdout,event_day_open,10,10,0,1.072149490870622,0.5478624630139782,0.5493909090909092,0.0015284460769309338
