path,status,reason,date_column,lower_column,upper_column,label_column,identifier_column,matching_prediction_dates,rows_on_prediction_dates,dates_with_exactly_11_events,priority_score,selected
data/interim/canonical_contract_definitions.csv,ADMISSIBLE,complete_certified_partition_candidate,event_date,lower_bound_c,upper_bound_c,event_label,event_label,40,440,40,1000,False
data/interim/hko_daily_max.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/interim/june_hko_daily_max_recovered.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/interim/notebook02_sources/fetch_inventory/01_18p_june_2026_clob_fetch_inventory.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,group_item_title,market_slug,0,0,0,0,False
data/interim/notebook02_sources/fetch_inventory/02_18q_june_2026_unique_run_fetch_inventory.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/interim/notebook02_sources/fetch_inventory/03_19a_hko_ecmwf_single_run_fetch_inventory.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/interim/notebook02_sources/request_plan/01_19a_hko_ecmwf_single_run_request_plan.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/interim/notebook02_sources/request_plan/02_18q_june_2026_weather_request_plan.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/manual/18w_outcome_free_contract_definitions/18w_outcome_free_contract_definition_panel.csv,ADMISSIBLE,complete_certified_partition_candidate,event_date,lower_bound_c,upper_bound_c,event_slug,event_slug,40,440,40,1090,False
data/processed/02_chronological_design_panel.csv,REJECTED,required_date_or_boundary_columns_missing,target_date,,,,,0,0,0,0,False
data/processed/02_standardised_request_plan.csv,REJECTED,required_date_or_boundary_columns_missing,target_date,,,,,0,0,0,0,False
data/processed/02_weather_training_panel.csv,REJECTED,required_date_or_boundary_columns_missing,target_date,,,,,0,0,0,0,False
data/processed/17b_hko_daily_extract_month_audit.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/processed/17b_hko_realised_daily_max.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/processed/17j_hko_polymarket_hko_tail_admissibility_decision.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,event_slug,event_slug,0,0,0,0,False
data/processed/17j_hko_polymarket_hko_upper_tail_boundary_brackets.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/processed/17k_hko_daily_max_latest_parsed.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/processed/17k_hko_historical_archive_value_reconciliation.csv,REJECTED,required_date_or_boundary_columns_missing,,,,market_slug,market_slug,0,0,0,0,False
data/processed/17k_hko_upper_tail_certification_decision.csv,REJECTED,required_date_or_boundary_columns_missing,,,,market_slug,market_slug,0,0,0,0,False
data/processed/17k_hko_upper_tail_certification_dossier.csv,REJECTED,required_date_or_boundary_columns_missing,,,,event_slug,event_slug,0,0,0,0,False
data/processed/17k_polymarket_raw_metadata_boundary_audit.csv,REJECTED,required_date_or_boundary_columns_missing,,,,market_slug,market_slug,0,0,0,0,False
data/processed/17l_all_formally_certified_rows_for_manual_inspection.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/17l_hko_contract_rule_text_certification_decision.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/17l_hko_contract_rule_text_evidence.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,event_slug,event_slug,0,0,0,0,False
data/processed/17l_hko_highest_upper_tail_formally_certified_subset.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/17l_hko_highest_upper_tail_formally_certified_subset_deduped.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/17l_hko_upper_tail_final_compact_decision.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,event_slug,event_slug,0,0,0,0,False
data/processed/18b_hko_certified_upper_tail_decision_panel.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18b_hko_certified_upper_tail_outcome_status.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,event_slug,event_slug,0,0,0,0,False
data/processed/18b_hko_certified_upper_tail_scoring_ready_market_panel.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18b_hko_certified_upper_tail_scoring_ready_market_panel_provisional.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18b_hko_certified_upper_tail_scoring_ready_market_panel_strict.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18c_hko_daily_extract_event_outcomes.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,event_slug,event_slug,0,0,0,0,False
data/processed/18c_hko_daily_extract_reconciled_decision_panel.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18c_hko_daily_extract_scoring_ready_panel.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18d_hko_current_year_maxt_all_parsed_debug.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/processed/18d_hko_current_year_maxt_target_matches_debug.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/processed/18d_hko_daily_extract_event_outcomes.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18d_hko_daily_extract_fetch_attempts.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/processed/18d_hko_daily_extract_html_all_parsed_debug.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/processed/18d_hko_daily_extract_html_target_matches_debug.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/processed/18d_hko_daily_extract_reconciled_decision_panel.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18d_hko_daily_extract_scoring_ready_panel.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18d_hko_daily_extract_source_discovery_results.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/processed/18d_hko_event_outcome_candidates.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
data/processed/18d_hko_source_discovery_candidate_urls.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/processed/18e0_hko_historical_seed_file_inventory.csv,REJECTED,required_date_or_boundary_columns_missing,,,,,,0,0,0,0,False
data/processed/18e0_hko_historical_seed_rows_from_local_artifacts.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,market_question,event_slug,0,0,0,0,False
data/processed/18e_hko_daily_max_targets_to_20260531.csv,REJECTED,required_date_or_boundary_columns_missing,event_date,,,,,0,0,0,0,False
