chronology_block,forecast_variant,forecast_variant_display,target_date,date_crps,date_median_mae_c,date_median_bias_c,date_50_coverage,date_50_width_c,date_80_coverage,date_80_width_c,date_90_coverage,date_90_width_c,date_rule_rows
external_test,raw_deterministic,Raw deterministic,2026-06-01,2.7749999999999977,2.7749999999999977,-2.7749999999999977,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-02,2.1999999999999975,2.1999999999999975,-2.1999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-03,2.974999999999997,2.974999999999997,-2.974999999999997,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-04,1.200000000000003,1.2000000000000028,-1.2000000000000028,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-05,1.2250000000000014,1.2250000000000014,-1.2250000000000014,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-06,0.42499999999999893,0.42499999999999893,0.12500000000000178,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-07,3.9000000000000004,3.9000000000000004,-3.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-08,3.2749999999999986,3.2749999999999986,-3.2749999999999986,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-09,1.424999999999999,1.424999999999999,-0.7249999999999979,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-10,0.6000000000000004,0.6000000000000005,-0.20000000000000195,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-11,1.3999999999999997,1.3999999999999995,-1.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-12,2.524999999999998,2.5249999999999986,-2.5249999999999986,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-13,1.2500000000000009,1.2500000000000009,-1.2500000000000009,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-14,1.5999999999999988,1.5999999999999988,-1.5999999999999988,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-15,1.8499999999999988,1.8499999999999988,-1.8499999999999988,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-16,0.6750000000000016,0.6750000000000016,-0.4250000000000016,0.0,0.0,0.0,0.0,0.0,0.0,4
external_test,raw_deterministic,Raw deterministic,2026-06-17,1.6499999999999986,1.6499999999999986,-1.6499999999999986,0.0,0.0,0.0,0.0,0.0,0.0,4
