component,version
python,3.12.4
platform,macOS-26.5-x86_64-i386-64bit
numpy,1.26.4
pandas,2.2.2
scipy,1.13.1
scikit-learn,1.4.2
catboost,1.2.10
jupyter,1.0.0
nbformat,5.9.2
PyYAML,6.0.1
