source,date_column,temperature_column,rows,valid_temperature_rows,distinct_dates,start_date,end_date,pre_june_dates,june_dates,post_june_dates,post_june_date_list
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_contract_outcomes.csv,event_date,hko_daily_max_c,330,330,30,2026-06-01,2026-06-30,0,30,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_winning_contracts.csv,event_date,hko_daily_max_c,30,30,30,2026-06-01,2026-06-30,0,30,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_date_outcome_checks.csv,event_date,hko_daily_max_c,30,30,30,2026-06-01,2026-06-30,0,30,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18q_june_2026_ecmwf_single_run_forecasts/18q_june_2026_daily_max_forecasts.csv,event_date,hko_daily_max_c,120,120,30,2026-06-01,2026-06-30,0,30,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_single_run_hourly_forecasts.csv,forecast_valid_date_hkt,temperature_2m,48480,33875,88,2026-03-14,2026-06-09,79,9,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_single_run_hourly_forecasts.csv,forecast_valid_date_hkt,temperature_2m,48480,33875,88,2026-03-14,2026-06-09,79,9,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18d_hko_daily_extract_source_discovery_results.csv,event_date,hko_tmax_c,50496,1550,516,2025-01-01,2026-05-31,516,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17k_hko_daily_max_latest_parsed.csv,date,hko_tmax_c,49459,516,516,2025-01-01,2026-05-31,516,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/hko_daily_max_temperature_targets.csv,date,hko_tmax_c,49459,516,516,2025-01-01,2026-05-31,516,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,event_date,hko_tmax_c,49459,516,516,2025-01-01,2026-05-31,516,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/baseline_classifier/hko_historical_threshold_training_dataset.csv,date,official_daily_max_temp_c,59950,5160,516,2025-01-01,2026-05-31,516,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18d_hko_current_year_maxt_all_parsed_debug.csv,event_date,hko_tmax_c,397,397,151,2026-01-01,2026-05-31,151,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18d_hko_current_year_maxt_all_parsed_debug.csv,event_date,hko_tmax_c,397,397,151,2026-01-01,2026-05-31,151,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18k_hko_realised_outcomes_used.csv,event_date,hko_tmax_c,92,92,92,2026-03-01,2026-05-31,92,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,event_date,hko_tmax_c,92,92,92,2026-03-01,2026-05-31,92,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,event_date,hko_tmax_c,92,92,92,2026-03-01,2026-05-31,92,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18k_hko_realised_outcomes_used.csv,event_date,hko_tmax_c,92,92,92,2026-03-01,2026-05-31,92,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_historical_contract_universe_to_20260531.csv,event_date,hko_tmax_c,821,821,75,2026-03-13,2026-05-31,75,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv,event_date,hko_tmax_c,75,75,75,2026-03-13,2026-05-31,75,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv,event_date,hko_tmax_c,821,821,75,2026-03-13,2026-05-31,75,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv,event_date,hko_tmax_c,821,821,75,2026-03-13,2026-05-31,75,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv,event_date,hko_tmax_c,75,75,75,2026-03-13,2026-05-31,75,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18k_full_hko_contract_event_target_panel.csv,event_date,hko_tmax_c,803,803,73,2026-03-16,2026-05-31,73,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_historical_price_coverage_summary_to_20260531.csv,event_date,hko_tmax_c,73,73,73,2026-03-16,2026-05-31,73,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,event_date,target_hko_tmax_c,292,292,73,2026-03-16,2026-05-31,73,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18k_hko_contract_event_date_resolution_summary.csv,event_date,hko_tmax_c,73,73,73,2026-03-16,2026-05-31,73,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_historical_threshold_candidate_panel_to_20260531.csv,event_date,hko_tmax_c,73,73,73,2026-03-16,2026-05-31,73,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18k_full_hko_contract_event_target_panel.csv,event_date,hko_tmax_c,803,803,73,2026-03-16,2026-05-31,73,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18k_hko_contract_event_date_resolution_summary.csv,event_date,hko_tmax_c,73,73,73,2026-03-16,2026-05-31,73,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_single_run_daily_max_forecasts.csv,event_date,target_hko_tmax_c,292,292,73,2026-03-16,2026-05-31,73,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv,event_date,hko_tmax_c,273,273,70,2026-03-13,2026-05-31,70,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18h_hko_upper_tail_no_lookahead_decision_panel_20260313_20260531.csv,event_date,hko_tmax_c,273,273,70,2026-03-13,2026-05-31,70,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18h_hko_upper_tail_narrow_window_price_observations_20260313_20260531.csv,event_date,hko_tmax_c,753,753,70,2026-03-13,2026-05-31,70,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18h_hko_upper_tail_narrow_window_price_observations_20260313_20260531.csv,event_date,hko_tmax_c,753,753,70,2026-03-13,2026-05-31,70,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18h_hko_upper_tail_no_lookahead_decision_panel_20260313_20260531.csv,event_date,hko_tmax_c,273,273,70,2026-03-13,2026-05-31,70,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv,event_date,hko_tmax_c,273,273,70,2026-03-13,2026-05-31,70,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18i_hko_main_scoring_panel_formally_certified.csv,event_date,hko_tmax_c,265,265,68,2026-03-18,2026-05-31,68,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18l_full_hko_contract_event_price_history_panel.csv,event_date,hko_tmax_c,28326,28326,68,2026-03-18,2026-05-31,68,0,0,
git:archive/17j-plus-18n-18y-20260726:data/processed/18i_hko_main_scoring_panel_formally_certified.csv,event_date,hko_tmax_c,265,265,68,2026-03-18,2026-05-31,68,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/hko/hko_official_settlement_temperature.csv,settlement_date_local,official_realised_temperature_c,1,1,1,2026-05-30,2026-05-30,1,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17j_hko_polymarket_hko_upper_tail_boundary_brackets.csv,event_dates,max_hko_value_with_tail_no,2,2,2,2026-04-24,2026-05-26,2,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17k_hko_historical_archive_value_reconciliation.csv,market_date,hko_latest_value,7,2,2,2026-04-24,2026-05-26,2,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17j_hko_polymarket_hko_interior_floor_summary.csv,event_date,hko_tmax_c,5,2,2,2026-04-24,2026-05-26,2,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17j_hko_polymarket_hko_upper_tail_summary.csv,event_date,hko_tmax_c,7,2,2,2026-04-24,2026-05-26,2,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17j_hko_polymarket_hko_tail_admissibility_decision.csv,event_date,hko_tmax_c,7,2,2,2026-04-24,2026-05-26,2,0,0,
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket_local_archive_20260726_084542/root_backups/2026MScWeatherForecastingPolymarket_local_backup_20260709_125508/data/interim/17j_strict_hko_child_markets_with_hko_parity_20260709T110249Z.csv,event_date,hko_tmax_c,77,22,2,2026-04-24,2026-05-26,2,0,0,
