stage,status,status_is_recorded,status_contains_failure_token,selected_model,selected_family,selection_locked
04_model_selection,DEVELOPMENT_MODEL_SELECTION_COMPLETE,True,False,pooled_empirical_residual,empirical_residual,True
05_continuous_calibration,DEVELOPMENT_CONTINUOUS_CALIBRATION_COMPLETE,True,False,pooled_empirical_residual,empirical_residual,True
08_event_probability,LOCKED_EVENT_PROBABILITY_CONSTRUCTION_COMPLETE,True,False,pooled_empirical_residual,empirical_residual,True
09_probability_calibration,PROBABILITY_CALIBRATION_LOCKED,True,False,pooled_empirical_residual,empirical_residual,
10_categorical_evaluation,LOCKED_CATEGORICAL_EVALUATION_COMPLETE,True,False,pooled_empirical_residual,empirical_residual,
11_market_comparison,COMMON_SUPPORT_MARKET_COMPARISON_COMPLETE,True,False,pooled_empirical_residual,,
12_trading_strategy,TRADING_STRATEGY_LOCKED_AND_EVALUATED,True,False,,,
13_uncertainty_analysis,DATE_LEVEL_UNCERTAINTY_ANALYSIS_COMPLETE,True,False,,,
