candidate_model,fold,scope,training_rows,training_dates,training_start,training_end,validation_rows,validation_dates,validation_start,validation_end,status,warning_count,learned_kernel,message,component,covariance
raw_deterministic,1,pooled,64,24,2026-03-16,2026-04-11,40,10,2026-04-12,2026-04-21,OK,0,,,,
pooled_mean_residual,1,pooled,64,24,2026-03-16,2026-04-11,40,10,2026-04-12,2026-04-21,OK,0,,mean_residual=1.3875000000,,
rule_mean_residual,1,12h_prior,15,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 15.,,
rule_mean_residual,1,24h_prior,18,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,0,,mean_residual=1.4944444444,,
rule_mean_residual,1,6h_prior,14,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 14.,,
rule_mean_residual,1,event_day_open,17,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,0,,mean_residual=1.3882352941,,
pooled_empirical_residual,1,pooled,64,24,2026-03-16,2026-04-11,40,10,2026-04-12,2026-04-21,OK,0,,,,
rule_empirical_residual,1,12h_prior,15,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 15.,,
rule_empirical_residual,1,24h_prior,18,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,0,,,,
rule_empirical_residual,1,6h_prior,14,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 14.,,
rule_empirical_residual,1,event_day_open,17,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,0,,,,
rule_gp_rbf,1,12h_prior,15,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 15.,gaussian_process,rbf
rule_gp_rbf,1,24h_prior,18,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,0,0.701**2 * RBF(length_scale=0.0559) + WhiteKernel(noise_level=0.509),,gaussian_process,rbf
rule_gp_rbf,1,6h_prior,14,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 14.,gaussian_process,rbf
rule_gp_rbf,1,event_day_open,17,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,2,0.1**2 * RBF(length_scale=0.05) + WhiteKernel(noise_level=0.99),,gaussian_process,rbf
rule_gp_matern32,1,12h_prior,15,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 15.,gaussian_process,matern32
rule_gp_matern32,1,24h_prior,18,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,1,"0.109**2 * Matern(length_scale=0.05, nu=1.5) + WhiteKernel(noise_level=0.988)",,gaussian_process,matern32
rule_gp_matern32,1,6h_prior,14,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 14.,gaussian_process,matern32
rule_gp_matern32,1,event_day_open,17,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,2,"0.1**2 * Matern(length_scale=0.05, nu=1.5) + WhiteKernel(noise_level=0.99)",,gaussian_process,matern32
pooled_catboost_quantile,1,pooled,64,24,2026-03-16,2026-04-11,40,10,2026-04-12,2026-04-21,OK,0,,,catboost_quantile,
rule_catboost_quantile,1,12h_prior,15,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 15.,catboost_quantile,
rule_catboost_quantile,1,24h_prior,18,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,0,,,catboost_quantile,
rule_catboost_quantile,1,6h_prior,14,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,INSUFFICIENT_RULE_TRAINING_ROWS,0,,Required 16; found 14.,catboost_quantile,
rule_catboost_quantile,1,event_day_open,17,24,2026-03-16,2026-04-11,10,10,2026-04-12,2026-04-21,OK,0,,,catboost_quantile,
raw_deterministic,2,pooled,104,34,2026-03-16,2026-04-21,40,10,2026-04-22,2026-05-01,OK,0,,,,
pooled_mean_residual,2,pooled,104,34,2026-03-16,2026-04-21,40,10,2026-04-22,2026-05-01,OK,0,,mean_residual=1.5500000000,,
rule_mean_residual,2,12h_prior,25,34,2026-03-16,2026-04-21,10,10,2026-04-22,2026-05-01,OK,0,,mean_residual=1.6080000000,,
rule_mean_residual,2,24h_prior,28,34,2026-03-16,2026-04-21,10,10,2026-04-22,2026-05-01,OK,0,,mean_residual=1.6714285714,,
rule_mean_residual,2,6h_prior,24,34,2026-03-16,2026-04-21,10,10,2026-04-22,2026-05-01,OK,0,,mean_residual=1.3791666667,,
rule_mean_residual,2,event_day_open,27,34,2026-03-16,2026-04-21,10,10,2026-04-22,2026-05-01,OK,0,,mean_residual=1.5222222222,,
pooled_empirical_residual,2,pooled,104,34,2026-03-16,2026-04-21,40,10,2026-04-22,2026-05-01,OK,0,,,,
