stage,source_path,metric,numeric_value,text_value
04_model_selection,data/manifests/04_model_selection_manifest.json,candidate_count,9,9
04_model_selection,data/manifests/04_model_selection_manifest.json,candidate_support,,"[{""available_dates"": 38, ""available_rows"": 152, ""candidate_model"": ""pooled_catboost_quantile""}, {""available_dates"": 38, ""available_rows"": 152, ""candidate_model"": ""pooled_empirical_residual""}, {""available_dates"": 38, ""available_rows"": 152, ""candidate_model"": ""pooled_mean_residual""}, {""available_dates"": 38, ""available_rows"": 152, ""candidate_model"": ""raw_deterministic""}, {""available_dates"": 38, ""available_rows"": 132, ""candidate_model"": ""rule_catboost_quantile""}, {""available_dates"": 38, ""available_rows"": 132, ""candidate_model"": ""rule_empirical_residual""}, {""available_dates"": 38, ""available_rows"": 132, ""candidate_model"": ""rule_gp_matern32""}, {""available_dates"": 38, ""available_rows"": 132, ""candidate_model"": ""rule_gp_rbf""}, {""available_dates"": 38, ""available_rows"": 132, ""candidate_model"": ""rule_mean_residual""}]"
04_model_selection,data/manifests/04_model_selection_manifest.json,common_support_dates,38,38
04_model_selection,data/manifests/04_model_selection_manifest.json,common_support_rows,132,132
04_model_selection,data/manifests/04_model_selection_manifest.json,created_utc,,2026-07-27T00:04:36.306123+00:00
04_model_selection,data/manifests/04_model_selection_manifest.json,development_fold_count,4,4
04_model_selection,data/manifests/04_model_selection_manifest.json,external_test_accessed,0,False
04_model_selection,data/manifests/04_model_selection_manifest.json,holdout_accessed,0,False
04_model_selection,data/manifests/04_model_selection_manifest.json,holdout_or_external_outcome_used_for_selection,0,False
04_model_selection,data/manifests/04_model_selection_manifest.json,input_hashes.config/probabilistic_model_spec.yaml,,e4466365b8b9b6398b7eeab0baf7e54317956abaa26b90ce9aef7be7cd3719cf
04_model_selection,data/manifests/04_model_selection_manifest.json,input_hashes.data/processed/02_chronological_design_panel.csv,,da654f47c3c12caaa031f832c61308df32f96f0caa411923f21ab95852ea5653
04_model_selection,data/manifests/04_model_selection_manifest.json,output_hashes.outputs/diagnostics/04_candidate_score_summary.csv,,30b97d2aac43a7a26684cb0f62908a50e6d7273a2c9c521f3682e346f0f4d9d1
04_model_selection,data/manifests/04_model_selection_manifest.json,output_hashes.outputs/diagnostics/04_oof_score_panel.csv,,a2f780dcb99d22677a15ab7a8f74bf7fb83b82cd43f3b7334665ddf865a2078c
04_model_selection,data/manifests/04_model_selection_manifest.json,quantile_count,99,99
04_model_selection,data/manifests/04_model_selection_manifest.json,raw_mean_date_crps,1.92236842105,1.9223684210526315
04_model_selection,data/manifests/04_model_selection_manifest.json,score,,99-quantile approximation to CRPS
04_model_selection,data/manifests/04_model_selection_manifest.json,selected_complexity_rank,2,2
04_model_selection,data/manifests/04_model_selection_manifest.json,selected_family,,empirical_residual
04_model_selection,data/manifests/04_model_selection_manifest.json,selected_mean_date_crps,0.732177990431,0.7321779904306219
04_model_selection,data/manifests/04_model_selection_manifest.json,selected_model,,pooled_empirical_residual
04_model_selection,data/manifests/04_model_selection_manifest.json,selected_relative_crps_reduction_vs_raw,0.61912712339,0.6191271233899571
04_model_selection,data/manifests/04_model_selection_manifest.json,selection_locked,1,True
04_model_selection,data/manifests/04_model_selection_manifest.json,selection_rule,,paired one-standard-error parsimony rule
04_model_selection,data/manifests/04_model_selection_manifest.json,status,,DEVELOPMENT_MODEL_SELECTION_COMPLETE
04_model_selection,data/manifests/04_model_selection_manifest.json,strict_crps_winner,,pooled_empirical_residual
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,calibration_applied,1,True
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,calibration_locked,1,True
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,candidate_scale_count,7,7
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,candidate_scales,,"[0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0]"
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,coverage_used_for_selection,0,False
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,created_utc,,2026-07-27T00:46:31.540821+00:00
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,development_dates,38,38
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,development_rows,152,152
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,development_rules,4,4
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,event_probability_regularisation_applied,0,False
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,external_test_accessed,0,False
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,holdout_accessed,0,False
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,identity_mean_date_crps,0.753312892079,0.7533128920786814
