stage,source_type,path,rows,columns,bytes,sha256
04_model_selection,manifest,data/manifests/04_model_selection_manifest.json,1,23,2471,788f5af92e4f999bbb07dbb54f1cf5d393d5c15b08c9684d868659eb80735343
05_continuous_calibration,manifest,data/manifests/05_continuous_calibration_manifest.json,1,33,2098,1ac21b4dbfe7f364048f33e72b20ff3267310ec52d0c35039293f5330dec4f6b
08_event_probability,manifest,data/manifests/08_event_probability_manifest.json,1,38,2667,4948c0e1183a7882085ed2588a7217c11672623b98091622efd5484394d72ab3
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,1,44,3475,cfe6dbdedfdd675774201c70669adb0b6170702947aedce01eedf139b5592645
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,1,31,2431,c2c50429ad6f873ccc7a56a8d3a9577b6b51e4de08183a801db475a4c34e16a6
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,1,39,3245,52a9e455f2568450372a88512b09d0c93ddbf2f8b728d0ffae22e7f8d9c0fb01
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,1,53,5020,7db036cb1097d8e8ac10b17f27c0e9b52b4d8e5626e33a5fac66fd2b42cdecf3
13_uncertainty_analysis,manifest,data/manifests/13_uncertainty_analysis_manifest.json,1,36,6477,bc6df370352d9b706cd3d47714f99ed8bd823d60c09c4640937a52bcf5fa3c90
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,2,12,674,67dc118543a17b3658b6d62343803d51aedcd118c41eb452eb11f271a2be29a3
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,2,21,1332,8841ecdb9acb259045db1a6f0dd00f1750672967fc79c2bfc02f55af0fe62a82
12_trading_strategy_summary,final_table,outputs/final_tables/12_trading_strategy_summary.csv,2,17,744,c86c3a51a270ab6094d6be67c2382169c965e81c36be16070063f28b1876f900
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,12,14,3478,f298b3997e5dc25de39993c08753ef0a7874a1849aa779bfbf7549e7a9e2d81d
13_uncertainty_rule_sensitivity,final_table,outputs/final_tables/13_uncertainty_rule_sensitivity.csv,42,11,8872,1eeb32d4f2c9164e95df6d2cf49bc17089fcd03d7e549f0b15d8e63e85d7769f
