target_date,chronology_block,decision_rule,baseline_value,comparator_value,source_rows,effect,estimand,estimand_label,baseline_name,comparator_name,positive_effect_interpretation,rule_order,estimand_order,block_order
2026-05-26,holdout,6h_prior,1.8999999999999986,0.3209863789409285,1,1.5790136210590702,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,0
2026-05-27,holdout,6h_prior,2.900000000000002,0.6843702173247651,1,2.215629782675237,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,0
2026-05-28,holdout,6h_prior,2.0,0.3381580961126397,1,1.6618419038873604,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,0
2026-05-29,holdout,6h_prior,0.3999999999999986,0.829824762779309,1,-0.4298247627793105,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,0
2026-05-30,holdout,6h_prior,2.900000000000002,0.6843702173247629,1,2.215629782675239,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,0
2026-05-31,holdout,6h_prior,2.599999999999998,0.5298247627793091,1,2.0701752372206887,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,2,0,0
2026-05-22,holdout,event_day_open,2.1999999999999993,0.3856328435873885,1,1.8143671564126107,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-23,holdout,event_day_open,1.6999999999999993,0.3022995102540573,1,1.397700489745942,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-24,holdout,event_day_open,1.6000000000000014,0.3073500153045581,1,1.2926499846954433,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-25,holdout,event_day_open,1.8999999999999986,0.3209863789409285,1,1.5790136210590702,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-26,holdout,event_day_open,1.6999999999999993,0.3022995102540559,1,1.3977004897459433,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-27,holdout,event_day_open,2.900000000000002,0.6843702173247651,1,2.215629782675237,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-28,holdout,event_day_open,1.5999999999999979,0.30735001530455996,1,1.292649984695438,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-29,holdout,event_day_open,1.1000000000000014,0.43626415671870056,1,0.6637358432813009,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-30,holdout,event_day_open,2.3000000000000007,0.4169459749005201,1,1.8830540250994807,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-05-31,holdout,event_day_open,1.7999999999999972,0.30937021732476444,1,1.4906297826752328,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,3,0,0
2026-06-01,external_test,24h_prior,3.099999999999998,0.8132843587389064,1,2.2867156412610914,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
