transition,split,metric,dates,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed
24h_to_12h,development,market_update_total_variation,50,0.09696973958646952,ordinary_date,,0.08507417850980747,0.10947490415660537,10000,20560804
24h_to_12h,development,matern_update_total_variation,50,0.12104907503482389,ordinary_date,,0.09505409545795464,0.14888104875358246,10000,20560804
24h_to_12h,development,update_cosine_similarity,50,0.1713918759881176,ordinary_date,,0.03837118026527924,0.30046396214334453,10000,20560804
24h_to_12h,development,event_sign_alignment_fraction,50,0.5363636363636364,ordinary_date,,0.47999999999999987,0.5963636363636362,10000,20560804
24h_to_12h,development,realised_probability_change_market,50,0.019756713736110272,ordinary_date,,0.006233782340702804,0.03338524233828143,10000,20560804
24h_to_12h,development,realised_probability_change_matern,50,0.0039133136810028,ordinary_date,,-0.011828827103607794,0.019820756421893113,10000,20560804
24h_to_12h,development,market_movement_towards_updated_matern,50,-0.005574259932137412,ordinary_date,,-0.020765610193450783,0.00897174037923527,10000,20560804
24h_to_12h,development,market_update_total_variation,50,0.09696973958646952,circular_moving_block,3.0,0.08638669188942628,0.10838523889361469,10000,20560904
24h_to_12h,development,matern_update_total_variation,50,0.12104907503482389,circular_moving_block,3.0,0.09147921640379424,0.15284865713747178,10000,20560904
24h_to_12h,development,update_cosine_similarity,50,0.1713918759881176,circular_moving_block,3.0,0.0360313296965416,0.3100136381962987,10000,20560904
24h_to_12h,development,event_sign_alignment_fraction,50,0.5363636363636364,circular_moving_block,3.0,0.4745454545454544,0.6018636363636358,10000,20560904
24h_to_12h,development,realised_probability_change_market,50,0.019756713736110272,circular_moving_block,3.0,0.00603309381009008,0.033894601951134556,10000,20560904
24h_to_12h,development,realised_probability_change_matern,50,0.0039133136810028,circular_moving_block,3.0,-0.010284023362827988,0.018509615415054265,10000,20560904
24h_to_12h,development,market_movement_towards_updated_matern,50,-0.005574259932137412,circular_moving_block,3.0,-0.02412959039347744,0.011726376716572132,10000,20560904
24h_to_12h,development,market_update_total_variation,50,0.09696973958646952,circular_moving_block,5.0,0.08629966859407301,0.1088293123351935,10000,20561004
24h_to_12h,development,matern_update_total_variation,50,0.12104907503482389,circular_moving_block,5.0,0.08971784543150056,0.15331146964304251,10000,20561004
24h_to_12h,development,update_cosine_similarity,50,0.1713918759881176,circular_moving_block,5.0,0.04104268035587901,0.3138616309509405,10000,20561004
24h_to_12h,development,event_sign_alignment_fraction,50,0.5363636363636364,circular_moving_block,5.0,0.47818181818181804,0.6036363636363636,10000,20561004
24h_to_12h,development,realised_probability_change_market,50,0.019756713736110272,circular_moving_block,5.0,0.00546608375888018,0.03495418585832066,10000,20561004
24h_to_12h,development,realised_probability_change_matern,50,0.0039133136810028,circular_moving_block,5.0,-0.010520676592211481,0.018841011726839316,10000,20561004
24h_to_12h,development,market_movement_towards_updated_matern,50,-0.005574259932137412,circular_moving_block,5.0,-0.025680074094439884,0.01236435957298618,10000,20561004
24h_to_12h,development,market_update_total_variation,50,0.09696973958646952,circular_moving_block,7.0,0.08684644810312539,0.10834278540296768,10000,20561104
24h_to_12h,development,matern_update_total_variation,50,0.12104907503482389,circular_moving_block,7.0,0.09150916658849831,0.15432647093101837,10000,20561104
24h_to_12h,development,update_cosine_similarity,50,0.1713918759881176,circular_moving_block,7.0,0.036753098071449074,0.31386193644941535,10000,20561104
24h_to_12h,development,event_sign_alignment_fraction,50,0.5363636363636364,circular_moving_block,7.0,0.47454545454545444,0.601863636363636,10000,20561104
