scope_type,scope_value,split,metric,dates,mean,median,q10,q90
overall,all_rules,development,total_variation_market_matern,67,0.29067096073650656,0.29561247593704665,0.1827846480424254,0.39092472089599506
overall,all_rules,development,expected_rank_market_minus_matern,67,0.41461042701593975,0.47968150608961047,-0.4688540053482131,1.1662096633828583
overall,all_rules,development,modal_disagreement,67,0.5733830845771144,0.6666666666666666,0.0,1.0
overall,all_rules,development,realised_event_probability_market_minus_matern,67,0.030297288490261594,0.04707250680922399,-0.13569615311609687,0.1679304524432117
overall,all_rules,development,categorical_log_matern_minus_market,67,-0.018208995726282463,0.17267165015536312,-0.9899293151016954,0.6867453021802765
overall,all_rules,development,multiclass_brier_winner_component_matern_minus_market,67,0.0358680595256022,0.06502360696049042,-0.20387436167592726,0.23559330472687784
overall,all_rules,development,multiclass_brier_nonwinner_component_matern_minus_market,67,-0.048571353708563775,-0.03281423108861398,-0.1406799974382579,0.031633931900995706
overall,all_rules,development,multiclass_brier_total_matern_minus_market,67,-0.012703294182961587,0.022000648744410625,-0.3154832546472905,0.23830223021053337
overall,all_rules,june_external,total_variation_market_matern,30,0.278613035914764,0.28870577505021155,0.18499800206439396,0.3741684150521639
overall,all_rules,june_external,expected_rank_market_minus_matern,30,0.47439199550686445,0.3460603173544802,-0.1169517514378221,1.0921811727383695
overall,all_rules,june_external,modal_disagreement,30,0.6166666666666667,0.5,0.25,1.0
overall,all_rules,june_external,realised_event_probability_market_minus_matern,30,0.09450362266079454,0.10561280952988289,-0.031908362590163185,0.1959788449342508
overall,all_rules,june_external,categorical_log_matern_minus_market,30,0.35734220556873547,0.39951718716525253,-0.22206960371477535,0.862374604299678
overall,all_rules,june_external,multiclass_brier_winner_component_matern_minus_market,30,0.13129821889864707,0.15079571201042602,-0.058113324481848166,0.296642610474505
overall,all_rules,june_external,multiclass_brier_nonwinner_component_matern_minus_market,30,-0.0295886271697237,-0.011480502254368235,-0.09554383210818292,0.012564781849450857
overall,all_rules,june_external,multiclass_brier_total_matern_minus_market,30,0.10170959172892342,0.1297687176510232,-0.18979948238799074,0.28041868753666965
overall,all_rules,all_exact_support,total_variation_market_matern,97,0.28694170563699867,0.29524127247971504,0.18487208030223312,0.3868362729876683
overall,all_rules,all_exact_support,expected_rank_market_minus_matern,97,0.4330995719100401,0.47222858519416633,-0.2730713247924677,1.162081732728909
overall,all_rules,all_exact_support,modal_disagreement,97,0.5867697594501718,0.6666666666666666,0.0,1.0
overall,all_rules,all_exact_support,realised_event_probability_market_minus_matern,97,0.05015491761516869,0.060658352448191004,-0.11793759069917387,0.1812292267093654
overall,all_rules,all_exact_support,categorical_log_matern_minus_market,97,0.09794086034434163,0.25149096955499717,-0.7233276928145105,0.6972946516621027
overall,all_rules,all_exact_support,multiclass_brier_winner_component_matern_minus_market,97,0.06538254180592534,0.0898361442391795,-0.16942128098231163,0.26719112486873803
overall,all_rules,all_exact_support,multiclass_brier_nonwinner_component_matern_minus_market,97,-0.0427004073563452,-0.025732519135429035,-0.13314935450834509,0.025770752576950124
overall,all_rules,all_exact_support,multiclass_brier_total_matern_minus_market,97,0.02268213444958015,0.06323420698959334,-0.2859995726008592,0.27229895653718256
decision_rule,24h_prior,development,total_variation_market_matern,55,0.2507444097260465,0.22209324637435934,0.1434826026877323,0.38457376204845267
decision_rule,24h_prior,development,expected_rank_market_minus_matern,55,0.378587695537658,0.3669770442153908,-0.3566106278659088,1.182687007866126
decision_rule,24h_prior,development,modal_disagreement,55,0.6363636363636364,1.0,0.0,1.0
decision_rule,24h_prior,development,realised_event_probability_market_minus_matern,55,0.014234417035642535,0.029868517727901278,-0.13584060885842328,0.14188154423366917
decision_rule,24h_prior,development,categorical_log_matern_minus_market,55,0.011153015313076718,0.1360237198789167,-0.8134612523137711,0.6627404773555592
decision_rule,24h_prior,development,multiclass_brier_winner_component_matern_minus_market,55,0.023320424596022085,0.04864011009200986,-0.19873033556890873,0.20073902637704819
decision_rule,24h_prior,development,multiclass_brier_nonwinner_component_matern_minus_market,55,-0.03311136177747872,-0.02626105316781588,-0.09959388989788516,0.011268414193520319
decision_rule,24h_prior,development,multiclass_brier_total_matern_minus_market,55,-0.009790937181456643,0.020623217474819395,-0.30789414600409104,0.22978187982909565
decision_rule,24h_prior,june_external,total_variation_market_matern,27,0.2929132645810112,0.2771975587255655,0.12532265100066595,0.44995183112638787
decision_rule,24h_prior,june_external,expected_rank_market_minus_matern,27,0.6245828848720855,0.809639081144141,-0.40140600183175434,1.7280708141284562
decision_rule,24h_prior,june_external,modal_disagreement,27,0.8518518518518519,1.0,0.0,1.0
decision_rule,24h_prior,june_external,realised_event_probability_market_minus_matern,27,0.08884373083570361,0.08131588625029043,-0.02914891106061905,0.18075036738849767
decision_rule,24h_prior,june_external,categorical_log_matern_minus_market,27,0.37479750896870273,0.33214389237750463,-0.03412561225086817,0.8248980152543818
decision_rule,24h_prior,june_external,multiclass_brier_winner_component_matern_minus_market,27,0.1341144532067663,0.11773171972584534,-0.01824155339695932,0.269108167345921
decision_rule,24h_prior,june_external,multiclass_brier_nonwinner_component_matern_minus_market,27,-0.024694336953455,-0.0024766138066473244,-0.0946640485952365,0.029094885825925575
decision_rule,24h_prior,june_external,multiclass_brier_total_matern_minus_market,27,0.1094201162533113,0.1196747147585143,-0.09908665106067002,0.26207811516870616
decision_rule,24h_prior,all_exact_support,total_variation_market_matern,82,0.2646292765685349,0.25035877311463645,0.1268630626673574,0.4035145890231171
decision_rule,24h_prior,all_exact_support,expected_rank_market_minus_matern,82,0.4595861115380183,0.4065607393418609,-0.36522063167827945,1.4827487235028254
decision_rule,24h_prior,all_exact_support,modal_disagreement,82,0.7073170731707317,1.0,0.0,1.0
decision_rule,24h_prior,all_exact_support,realised_event_probability_market_minus_matern,82,0.03880089840883337,0.05966388627154433,-0.122788386027766,0.17110422893529106
decision_rule,24h_prior,all_exact_support,categorical_log_matern_minus_market,82,0.13088961688261214,0.25551863603615943,-0.6731422106767054,0.815583500907518
decision_rule,24h_prior,all_exact_support,multiclass_brier_winner_component_matern_minus_market,82,0.059801385236145185,0.09018462766847701,-0.1822188681314503,0.25725037204970064
decision_rule,24h_prior,all_exact_support,multiclass_brier_nonwinner_component_matern_minus_market,82,-0.03033990238420262,-0.025556460413798616,-0.09977899371368773,0.02469115472458751
decision_rule,24h_prior,all_exact_support,multiclass_brier_total_matern_minus_market,82,0.029461482851942555,0.06453294461229744,-0.2823102378480018,0.25675765388903077
decision_rule,12h_prior,development,total_variation_market_matern,60,0.2745266714910099,0.26287195218398945,0.13550723338702,0.4417522843903826
decision_rule,12h_prior,development,expected_rank_market_minus_matern,60,0.5303689193946719,0.5271009942358909,-0.2704641027908163,1.3969519363414453
decision_rule,12h_prior,development,modal_disagreement,60,0.55,1.0,0.0,1.0
decision_rule,12h_prior,development,realised_event_probability_market_minus_matern,60,0.03978900919109696,0.06407495477483457,-0.13713460079429204,0.17985648294696255
decision_rule,12h_prior,development,categorical_log_matern_minus_market,60,0.06881386659757514,0.1834132286550964,-0.8513601321508841,0.5971470125685089
decision_rule,12h_prior,development,multiclass_brier_winner_component_matern_minus_market,60,0.054346724198589554,0.07927143675634621,-0.2203087735141394,0.2433694935936807
decision_rule,12h_prior,development,multiclass_brier_nonwinner_component_matern_minus_market,60,-0.0352785039417389,-0.025811196972551086,-0.12250047837333825,0.03690030490403573
