target_date,decision_rule,split,total_variation_market_matern,expected_rank_market_minus_matern,modal_disagreement,realised_event_probability_market,realised_event_probability_matern,realised_event_probability_market_minus_matern,categorical_log_matern_minus_market,multiclass_brier_winner_component_matern_minus_market,multiclass_brier_nonwinner_component_matern_minus_market,multiclass_brier_total_matern_minus_market
2026-03-18,12h_prior,development,0.36169310636879626,-0.5223713919562067,1,0.17307692307692307,0.09867227656799812,0.07440464650892495,0.5619321165891935,0.1285898898791863,0.10680415542329995,0.23539404530248625
2026-03-18,6h_prior,development,0.22878943859063386,-0.7216280687545389,1,0.11011011011011011,0.16173086514200605,-0.051620755031895935,-0.38445276128963046,-0.08920887367267083,0.046028940759698524,-0.043179932912972306
2026-03-21,12h_prior,development,0.2797504405487967,0.6589638438442194,0,0.06417842512517068,0.15005052325262866,-0.08587209812745798,-0.8493049620930626,-0.15334790697807543,-0.05862486069119851,-0.21197276766927395
2026-03-22,12h_prior,development,0.13646822864134783,-0.19231208625778606,1,0.27296360485268634,0.2752645960228784,-0.002300991170192057,-0.008394331696456758,-0.0033405140909190667,-0.03339678185952519,-0.036737295950444254
2026-03-22,event_day_open,development,0.24573494436353996,-0.5412016244290943,1,0.18663194444444445,0.3057419896137553,-0.11911004516931087,-0.4936031092327653,-0.17957340881275835,-0.0782499565636618,-0.25782336537642014
2026-03-23,12h_prior,development,0.18585566673070975,0.28229597353712776,0,0.2739165985282093,0.16845637239089956,0.10546022613730976,0.48614687641398047,0.16426769872445657,0.039969615269752394,0.20423731399420897
2026-03-23,24h_prior,development,0.17085244986764175,0.1791628580349105,1,0.2134927412467976,0.1928545730795274,0.020638168167270182,0.10166643573110057,0.032890072127155,0.0029697892522631136,0.035859861379418115
2026-03-23,event_day_open,development,0.08541343631594472,0.07349671055639106,0,0.3164801235044384,0.28598365501565803,0.03049646848878035,0.10132577978651547,0.04261991934029097,-0.009619893169740587,0.03300002617055038
2026-03-24,24h_prior,development,0.20604781553110313,0.1416080393663961,1,0.17535545023696683,0.256345421980402,-0.08098997174343517,-0.37971078144677683,-0.1270165020443692,-0.043400371783988784,-0.170416873828358
2026-03-24,event_day_open,development,0.24074710626186402,0.5970170414362759,1,0.2715578847070033,0.2966950625761399,-0.025137177869136607,-0.08852956603622553,-0.03599008032775586,-0.08895091814081872,-0.12494099846857458
2026-03-25,24h_prior,development,0.20640215950338264,-0.7485900661007676,0,0.48239895697522817,0.6818011018402061,-0.19940214486497798,-0.3459664925247436,-0.16666030095022483,-0.025240395315610717,-0.19190069626583556
2026-03-26,event_day_open,development,0.32673404972090725,-0.003911727359666273,0,0.03413143148242486,0.15506423275972758,-0.12093280127730272,-1.5136207318820762,-0.21898564088828198,-0.2457974570832925,-0.46478309797157447
2026-03-27,24h_prior,development,0.35351191638263313,0.8950904614842452,1,0.1286008230452675,0.25479575668663,-0.12619493364136253,-0.6837490582291763,-0.20400716134513286,-0.09922368226628005,-0.3032308436114129
2026-03-27,event_day_open,development,0.5084551701579916,1.424177071493121,1,0.016666666666666666,0.23650622602785695,-0.2198395593611903,-2.6525638165246197,-0.38402170155021853,-0.23266851884416512,-0.6166902203943836
2026-03-28,24h_prior,development,0.16184332757914138,-0.021162402235392008,1,0.2886783942264321,0.24193727953024938,0.04674111469618272,0.17663472864946672,0.06868066132571227,-0.011256702143618874,0.05742395918209339
2026-03-28,6h_prior,development,0.12950148581249699,0.2544029818460043,0,0.30671859785783834,0.25917571587228877,0.04754288198554957,0.1684244365544767,0.06818151739713424,-0.016194563406510775,0.05198695399062346
2026-03-28,event_day_open,development,0.17071916230761527,-0.002624182514098905,0,0.3043271516880646,0.26367849818366307,0.040648653504401555,0.14337272853027372,0.05820864215862476,-0.02826435688314032,0.02994428527548444
2026-03-29,24h_prior,development,0.44816081509390915,1.6043096900918705,1,0.06376948512045348,0.2403008560935274,-0.17653137097307392,-1.3266169190534858,-0.2993847877393935,-0.09757075812287758,-0.39695554586227105
2026-03-29,event_day_open,development,0.42062755322283474,1.1051193419290897,1,0.1129111438389789,0.23181807588643913,-0.11890693204746022,-0.7193517367150115,-0.19682317019025608,-0.09008509380111111,-0.2869082639913672
2026-04-01,12h_prior,development,0.13720675477146962,-0.5167837153542223,0,0.2555910543130991,0.24804167341513778,0.007549380897961311,0.029981953103415337,0.011296646501622765,-0.00246708232602901,0.008829564175593755
2026-04-01,24h_prior,development,0.4038849962702445,-1.4055448263475228,1,0.2988403211418377,0.13543410589349356,0.16340621524834412,0.7914241690681723,0.25584928999570156,0.10267783043801462,0.35852712043371615
2026-04-01,6h_prior,development,0.19448763832199706,-0.6841353216187898,1,0.28099910793933985,0.24153971654884288,0.03945939139049698,0.15131757740549379,0.058299718788784594,-0.005172562280766492,0.0531271565080181
2026-04-02,12h_prior,development,0.25292334026959584,0.887254776363986,1,0.25132275132275134,0.2721299546334182,-0.020807203310666877,-0.07954175162263177,-0.03072281974498481,-0.03470984929817902,-0.06543266904316383
2026-04-02,6h_prior,development,0.09724235870805314,0.20624019829752616,0,0.25221858944418496,0.22313655201606042,0.02908203742812454,0.12251220501563731,0.04433977884065077,-0.017484856014939258,0.02685492282571151
2026-04-02,event_day_open,development,0.42048096247154215,1.1606397376976858,1,0.12258368694012259,0.29135475300188,-0.16877106606175743,-0.8657476517415166,-0.2676813003305625,-0.13964226270385824,-0.40732356303442074
2026-04-03,12h_prior,development,0.19754868560315775,0.5997330042103357,0,0.18916595012897677,0.21290288071262897,-0.0237369305836522,-0.1182114298169954,-0.0379299812397671,-0.009155587569315289,-0.047085568809082386
