target_date,split,binary_brier,binary_log,categorical_log,multiclass_brier,market_binary_brier,market_binary_log,market_categorical_log,market_multiclass_brier,model,model_minus_market_binary_brier,model_minus_market_binary_log,model_minus_market_categorical_log,model_minus_market_multiclass_brier
2026-03-18,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.07614138636363638,0.2646722451890485,1.9801467770506727,0.8484697422129084,raw,0.10567679545454545,4.759151786977397,25.650874338877873,1.1515302577870916
2026-03-21,development,0.0,9.999778782803787e-13,0.0,0.0,0.10535734090909088,0.3522772739294759,2.7460881820064422,1.1201972151788067,raw,-0.10535734090909088,-0.3522772739284759,-2.7460881820064422,-1.1201972151788067
2026-03-22,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.07160704545454546,0.21805012374130056,1.4885168106852928,0.779367418138656,raw,0.11021113636363636,4.805773908425145,26.142504305243254,1.2206325818613442
2026-03-23,development,0.1818181818181818,5.023824032166446,27.631021115928547,2.0,0.06187940151515151,0.19712070804131857,1.3298596299671293,0.6884962810886797,raw,0.11993878030303029,4.826703324125127,26.30116148596142,1.3115037189113203
2026-03-24,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.07284985227272728,0.22081086035466307,1.5222600899119396,0.7983847892725915,raw,0.10896832954545455,4.8030131718117826,26.10876102601661,1.2016152107274085
2026-03-25,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.026335022727272724,0.11244212595083743,0.7289837957289861,0.337158928500939,raw,0.1554831590909091,4.911381906215609,26.90203732019956,1.6628410714990611
2026-03-26,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.12336125,0.42732216442639415,3.377536574885495,1.371844222549151,raw,0.05845693181818182,4.596501867740051,24.25348454104305,0.628155777450849
2026-03-27,development,0.09090909090909091,2.511912016083723,13.815510557964274,1.0,0.10726443181818184,0.38456867818859775,3.0726933146901194,1.1637566368004297,raw,-0.016355340909090924,2.127343337895125,10.742817243274153,-0.16375663680042973
2026-03-28,development,0.1818181818181818,5.023824032166446,27.631021115928547,2.0,0.06019713636363636,0.18333692344917396,1.2046395345715004,0.6651967930896224,raw,0.12162104545454544,4.840487108717272,26.426381581357045,1.3348032069103777
2026-03-29,development,0.0,9.999778782803787e-13,0.0,0.0,0.09782154545454545,0.3213089340343312,2.466817300000023,1.063561482337306,raw,-0.09782154545454545,-0.3213089340333312,-2.466817300000023,-1.063561482337306
2026-04-01,development,0.06060606060606061,1.6746080107228154,9.210340371976182,0.6666666666666666,0.057686931818181825,0.18830476216979664,1.2804754104532972,0.6485563581616853,raw,0.002919128787878783,1.4863032485530188,7.929864961522885,0.0181103085049813
