target_date,model,split,binary_brier,binary_log,categorical_log,multiclass_brier,books,mean_realised_event_probability_normalised
2026-03-18,market,development,0.07614138636363638,0.2646722451890485,1.9801467770506727,0.8484697422129084,2,0.1415935165935166
2026-03-18,matern,development,0.0858706180370605,0.2773709221211246,2.068886454700454,0.9445767984076654,2,0.13020157085500209
2026-03-18,raw,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,2,0.0
2026-03-18,static,development,0.06819544800989122,0.21284854139853338,1.4785461602381473,0.7501499281088034,2,0.22924429732345028
2026-03-21,market,development,0.10535734090909088,0.3522772739294759,2.7460881820064422,1.1201972151788067,1,0.06417842512517068
2026-03-21,matern,development,0.08256585886450296,0.25992057850693023,1.8967832199133796,0.9082244475095326,1,0.15005052325262866
2026-03-21,raw,development,0.0,9.999778782803787e-13,0.0,0.0,1,1.0
2026-03-21,static,development,0.08291646925278573,0.2676714990498557,1.982425765728678,0.9120811617806429,1,0.13773471958169556
2026-03-22,market,development,0.07160704545454546,0.21805012374130056,1.4885168106852928,0.779367418138656,2,0.22979777464856538
2026-03-22,matern,development,0.05746246249774761,0.18382000341835586,1.2375180902206817,0.6320870874752237,2,0.2905032928183169
2026-03-22,raw,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,2,0.0
2026-03-22,static,development,0.06135135098603221,0.19372697588216925,1.3180111498990437,0.6748648608463544,2,0.2677295183188497
2026-03-23,market,development,0.06187940151515151,0.19712070804131857,1.3298596299671293,0.6884962810886797,3,0.2679631544264818
2026-03-23,matern,development,0.07086624378212779,0.22184654301202023,1.5595726606109948,0.7795286816034056,3,0.215764866828695
2026-03-23,raw,development,0.1818181818181818,5.023824032166446,27.631021115928547,2.0,3,0.0
2026-03-23,static,development,0.06611586702212943,0.20202128031133068,1.3709784914816685,0.7272745372434238,3,0.25447726392662695
2026-03-24,market,development,0.07284985227272728,0.22081086035466307,1.5222600899119396,0.7983847892725915,2,0.22345666747198506
2026-03-24,matern,development,0.05915507755673867,0.18952779136385228,1.2881399161704383,0.6507058531241253,2,0.276520242278271
2026-03-24,raw,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,2,0.0
2026-03-24,static,development,0.0640652803441158,0.19983241945930463,1.3649536934398196,0.7047180837852738,2,0.25599251811091217
2026-03-25,market,development,0.026335022727272724,0.11244212595083743,0.7289837957289861,0.337158928500939,1,0.48239895697522817
2026-03-25,matern,development,0.01320529383955486,0.06599841728457993,0.3830173032042425,0.1452582322351034,1,0.6818011018402061
2026-03-25,raw,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,1,0.0
2026-03-25,static,development,0.008384909462810274,0.05039260388306244,0.287809649676747,0.09223400409091298,1,0.7499043231844965
2026-03-26,market,development,0.12336125,0.42732216442639415,3.377536574885495,1.371844222549151,1,0.03413143148242486
2026-03-26,matern,development,0.08246010223432515,0.2568631483421963,1.8639158430034186,0.9070611245775766,1,0.15506423275972758
2026-03-26,raw,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,1,0.0
2026-03-26,static,development,0.06771399447369504,0.20782254849112983,1.4256372583182233,0.7448539392106455,1,0.24035524601421035
2026-03-27,market,development,0.10726443181818184,0.38456867818859775,3.0726933146901194,1.1637566368004297,2,0.07263374485596708
2026-03-27,matern,development,0.06398146407250287,0.20343063592707616,1.4045368773132212,0.7037961047975314,2,0.2456509913572435
2026-03-27,raw,development,0.09090909090909091,2.511912016083723,13.815510557964274,1.0,2,0.5
2026-03-27,static,development,0.06905385591996493,0.2176676349692957,1.525681112689351,0.7595924151196143,2,0.21884049790724425
2026-03-28,market,development,0.06019713636363636,0.18333692344917396,1.2046395345715004,0.6651967930896224,3,0.2999080479241117
2026-03-28,matern,development,0.06469532053688087,0.20051407639272045,1.3674501658162397,0.7116485259056896,3,0.25493049786206706
2026-03-28,raw,development,0.1818181818181818,5.023824032166446,27.631021115928547,2.0,3,0.0
2026-03-28,static,development,0.06764572990628666,0.20064972516644408,1.3382619048680544,0.7441030289691531,3,0.26246181617152153
2026-03-29,market,development,0.09782154545454545,0.3213089340343312,2.466817300000023,1.063561482337306,2,0.08834031447971619
2026-03-29,matern,development,0.06560268885549879,0.2081064457520161,1.443832972115774,0.7216295774104866,2,0.23605946598998326
2026-03-29,raw,development,0.0,9.999778782803787e-13,0.0,0.0,2,1.0
2026-03-29,static,development,0.0712299604231646,0.22546263119167523,1.595548124610851,0.7835295646548107,2,0.20297813865642073
2026-04-01,market,development,0.057686931818181825,0.18830476216979664,1.2804754104532972,0.6485563581616853,3,0.2784768277980922
2026-04-01,matern,development,0.07170160350310255,0.22649253206134193,1.6047166436456577,0.788717638534128,3,0.20833849861915807
2026-04-01,raw,development,0.06060606060606061,1.6746080107228154,9.210340371976182,0.6666666666666666,3,0.6666666666666666
2026-04-01,static,development,0.0816196955861558,0.25401136258994517,1.8374073931401422,0.897816651447714,3,0.16265152202884978
2026-04-02,market,development,0.07529277272727274,0.2310682396280009,1.6191459255331881,0.8239786230429192,3,0.20870834256901963
2026-04-02,matern,development,0.06139498666293589,0.19625776519432692,1.3448868594170176,0.6753448532922949,3,0.2622070865504529
2026-04-02,raw,development,0.12121212121212122,3.3492160214446307,18.420680743952364,1.3333333333333333,3,0.3333333333333333
2026-04-02,static,development,0.0642170225915153,0.20577189108541374,1.4296599102522727,0.706387248506668,3,0.24265072402388418
2026-04-03,market,development,0.06958479545454546,0.21599289197098692,1.4875216383211347,0.7614230126592763,4,0.22935397793472045
2026-04-03,matern,development,0.06719231075928997,0.21318161091885143,1.4887694978682877,0.7391154183521897,4,0.22608919687921925
2026-04-03,raw,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,4,0.0
2026-04-03,static,development,0.06293347717072134,0.20117526604043268,1.3877482962480527,0.6922682488779347,4,0.2499234394548856
