target_date,split,transition_order,transition,transition_family,early_rule,late_rule,events,market_update_total_variation,matern_update_total_variation,update_dot_product,update_cosine_similarity,event_sign_alignment_fraction,realised_probability_change_market,realised_probability_change_matern,distance_to_updated_matern_before,distance_to_updated_matern_after,market_movement_towards_updated_matern
2026-03-23,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.22783428634072395,0.07803783856441063,0.0028222623194977987,0.18287629784740067,0.45454545454545453,0.060423857281411725,-0.024398200688627858,0.2132099864217939,0.18585566673070975,0.02735431969108415
2026-04-01,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.11025153179151921,0.31053974101009874,0.003945534273294681,0.13106216697833664,0.45454545454545453,-0.043249266828738586,0.11260756752164422,0.10029471547116217,0.13720675477146962,-0.03691203930030745
2026-04-03,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.06371406427244267,0.035179620762300245,0.0005906249011690028,0.31733953559803724,0.7272727272727273,-0.0406710745262677,0.0011218725105396898,0.22672573970152066,0.19754868560315775,0.02917705409836291
2026-04-04,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.11200494043846392,0.32168512434635865,0.012855339181760543,0.5613458778383995,0.36363636363636365,0.02133814376025872,-0.07246328583122821,0.3031707696654427,0.2597424426395628,0.0434283270258799
2026-04-05,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.09045294154621544,0.11261198855544453,-0.001377392814659219,-0.1977285817104149,0.36363636363636365,-0.0340432297458908,0.016809563452793386,0.4476369043897543,0.47880667654959236,-0.03116977215983807
2026-04-06,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.09443557570809784,0.16289291960316493,-0.009341768595758774,-0.7681346416901338,0.18181818181818182,0.03360442200394159,-0.05140689990513875,0.20517143512144434,0.267930455666291,-0.06275902054484664
2026-04-07,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.06130976486528375,0.051162756159399164,0.00035705921218157565,0.15129942506277902,0.7272727272727273,0.04282638295177482,0.020161797544655274,0.10940669514097721,0.1268582760980696,-0.017451580957092386
2026-04-08,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.09583968753271936,0.03780558083624648,0.00020492613932831307,0.08316802261808655,0.5454545454545454,0.03413513845705618,0.01665572850382352,0.38917788408915804,0.33848779064686285,0.05069009344229519
2026-04-09,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.13058501951542395,0.10443595601742092,0.009340758957113896,0.6831862223130393,0.45454545454545453,0.04192516213073161,-0.032137600814116846,0.35912762839839407,0.30107401909789255,0.05805360930050152
2026-04-10,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.0713408840111031,0.11473914980600336,-2.536542004709743e-05,-0.0037351968653821115,0.36363636363636365,-0.0625635259412291,-0.01735394525327555,0.47788635832841225,0.45080786791816213,0.027078490410250122
2026-04-11,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.028189332844531186,0.08552370989453541,9.197461052097257e-05,0.04615695887358212,0.2727272727272727,0.022621363077988926,0.02141826931353394,0.4402614316902156,0.43333356495251096,0.006927866737704624
2026-04-12,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.1006717161188706,0.10956898738195518,0.006186911123352292,0.61307352344172,0.2727272727272727,0.011599842494151413,-0.007577519304430014,0.41924356074592994,0.3527584890576062,0.06648507168832374
2026-04-13,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.06463596081194406,0.10603576681065682,0.0028721128167551657,0.4929584816718423,0.7272727272727273,-0.05105715239271852,-0.03746807591432055,0.2997786711579738,0.25497875234977574,0.04479991880819806
2026-04-15,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.10112307586307136,0.055762850505715125,0.0025366346844430737,0.41402093544876134,0.45454545454545453,-0.016184505724864795,0.007305329831497287,0.3090547737052731,0.28795270575894927,0.021102067946323855
2026-04-19,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.07718936329994658,0.08992596885908039,-0.003332992390668979,-0.6275151560492561,0.2727272727272727,-0.0008143101435900413,-0.03386483506788231,0.2700292732072095,0.3420669446037532,-0.07203767139654371
2026-04-20,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.13781524367135828,0.042105242904167554,0.0026423652993247853,0.6577784321713799,0.7272727272727273,0.03877667167121568,0.013502432786401924,0.15621625448778415,0.2444639963600909,-0.08824774187230675
2026-04-21,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.09619623774015311,0.1549805096846974,-0.0014122321845015402,-0.13616634367599464,0.45454545454545453,0.034140319956731724,-0.05771880570492094,0.6443981228836927,0.591133986413778,0.05326413646991468
2026-04-22,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.15977208647327684,0.015271711504108852,0.000901085488667047,0.43480415831232677,0.45454545454545453,0.05777178986400511,0.0018589481617471149,0.2291682666431584,0.2736661499527232,-0.044497883309564806
2026-04-23,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.15272297051328718,0.09256461970401317,-0.0043728234478682786,-0.434450929667627,0.18181818181818182,0.034105387695667996,-0.03519968512518171,0.16996205565046452,0.2641978017329032,-0.09423574608243868
2026-04-24,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.1626779735844892,0.024747774331598322,0.00033786782820359446,0.0930409089702694,0.6363636363636364,0.15789215505929388,0.007757179801762493,0.1829613994055436,0.25148725764252594,-0.06852585823698235
2026-04-25,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.14324947792958762,0.1385708906662975,0.008886252838685717,0.6493850591636839,0.45454545454545453,-0.06984286378607674,-0.020608740274891513,0.158862748789605,0.16405527846889695,-0.005192529679291957
2026-04-26,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.08557700819106867,0.01389196013705556,0.0003405587486676583,0.42118931517504254,0.8181818181818182,-0.0011871114011414163,0.0011971379772950097,0.3287589072859609,0.2827882844994532,0.04597062278650771
2026-04-27,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.06535603638772342,0.0830631476811797,-0.0018873469217392962,-0.3996412219430487,0.5454545454545454,0.02739820809670873,0.011477475524761194,0.29197372920076997,0.34536866354426043,-0.05339493434349046
2026-04-28,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.10833880375865108,0.3439469164059621,0.0009943177573390827,0.04056072550517267,0.5454545454545454,-0.049191627435902247,0.12157913665812975,0.2119003695885039,0.3142954780904826,-0.1023951085019787
2026-04-29,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.06105245332794623,0.24997697740113994,0.007680637051280423,0.6944478429005458,0.5454545454545454,-0.024412960036125544,-0.09297728680311161,0.30963909133469625,0.3124524863032647,-0.0028133949685684723
2026-05-01,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.052057686653715955,0.2325606055039966,0.0031740870389608848,0.40067445734437196,0.7272727272727273,-0.014977660896558387,0.08282362117616723,0.3477839477473097,0.38217732880714095,-0.03439338105983125
2026-05-02,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.06093916379273568,0.06761705357097585,9.693051747551759e-05,0.03417924648056392,0.7272727272727273,0.04250167385983805,-0.01880873517937337,0.17619834928439476,0.20815448849729315,-0.03195613921289839
2026-05-03,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.1012208327511527,0.16662811687692242,0.007581103902513877,0.504235879151278,0.9090909090909091,0.031557828000558896,-0.025381192555726517,0.34294317587871836,0.2996897184445333,0.04325345743418507
2026-05-04,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.02715543531870055,0.17867455006553296,0.0027938884838701614,0.4938457023975395,0.2727272727272727,-0.014839912799096355,-0.178674550065533,0.08459863284284855,0.05751615678078073,0.027082476062067817
2026-05-05,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.17194892947601978,0.2710604899307015,0.009936707891259864,0.3267367506788933,0.5454545454545454,0.05909548296284565,0.05834168717688676,0.5648098250900095,0.4976649986516712,0.06714482643833836
2026-05-07,development,1,24h_to_12h,adjacent,24h_prior,12h_prior,11,0.07904788586564887,0.14932565868714237,-0.0005925767650894735,-0.0727086998916334,0.6363636363636364,-0.023174160733084037,-0.04559955089731911,0.5081587979952293,0.4893299082216996,0.018828889773529756
