scope_type,scope_value,split,model,benchmark,metric,dates,mean_model_minus_market,median_model_minus_market,model_better_fraction,market_better_fraction
decision_rule,event_day_open,development,static,market,categorical_log,63,0.0009786174008365764,0.12439947769903537,0.42857142857142855,0.5714285714285714
decision_rule,event_day_open,development,static,market,multiclass_brier,63,-0.014566390974300444,0.023216197384263282,0.47619047619047616,0.5238095238095238
decision_rule,event_day_open,june_external,static,market,binary_brier,30,0.011027151771067233,0.013557150075795336,0.16666666666666666,0.8333333333333334
decision_rule,event_day_open,june_external,static,market,binary_log,30,0.04637405542925672,0.04543998305062963,0.13333333333333333,0.8666666666666667
decision_rule,event_day_open,june_external,static,market,categorical_log,30,0.4262372420045099,0.3678009003419451,0.13333333333333333,0.8666666666666667
decision_rule,event_day_open,june_external,static,market,multiclass_brier,30,0.1213182260812476,0.1448876175956127,0.16666666666666666,0.8333333333333334
decision_rule,event_day_open,all_exact_support,static,market,binary_brier,93,0.0024178713388442554,0.008264855717179546,0.3763440860215054,0.6236559139784946
decision_rule,event_day_open,all_exact_support,static,market,binary_log,93,0.014065559196694378,0.03153702980211426,0.3655913978494624,0.6344086021505376
decision_rule,event_day_open,all_exact_support,static,market,categorical_log,93,0.13815881888589251,0.286456515387812,0.3333333333333333,0.6666666666666666
decision_rule,event_day_open,all_exact_support,static,market,multiclass_brier,93,0.029267356462973106,0.08716958097075944,0.3763440860215054,0.6236559139784946
decision_rule,24h_prior,development,matern,market,binary_brier,55,-0.0008335512650852381,0.002204405464008116,0.4727272727272727,0.5272727272727272
decision_rule,24h_prior,development,matern,market,binary_log,55,0.00012408607445466114,0.010765262739309833,0.4,0.6
decision_rule,24h_prior,development,matern,market,categorical_log,55,0.011153015313076718,0.1360237198789167,0.4,0.6
decision_rule,24h_prior,development,matern,market,multiclass_brier,55,-0.00979093718145663,0.020623217474819433,0.4727272727272727,0.5272727272727272
decision_rule,24h_prior,june_external,matern,market,binary_brier,27,0.010147627499732208,0.01202640084576613,0.2222222222222222,0.7777777777777778
decision_rule,24h_prior,june_external,matern,market,binary_log,27,0.04011155640783281,0.03973627101576979,0.14814814814814814,0.8518518518518519
decision_rule,24h_prior,june_external,matern,market,categorical_log,27,0.37479750896870273,0.33214389237750463,0.1111111111111111,0.8888888888888888
decision_rule,24h_prior,june_external,matern,market,multiclass_brier,27,0.1094201162533113,0.11967471475851421,0.2222222222222222,0.7777777777777778
decision_rule,24h_prior,all_exact_support,matern,market,binary_brier,82,0.0027822027184522136,0.006306666503331601,0.3902439024390244,0.6097560975609756
