scope_type,scope_value,split,model,benchmark,metric,dates,point_model_minus_market,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_rules,development,static,market,binary_brier,67,-0.0016433177729180267,circular_moving_block,3.0,-0.006937394653094852,0.0033305791845213324,10000,20262904,settlement_date
overall,all_rules,development,static,market,binary_log,67,-0.005196767073065068,circular_moving_block,3.0,-0.026311738531489774,0.01316051349706369,10000,20262904,settlement_date
overall,all_rules,development,static,market,categorical_log,67,-0.039236084264732934,circular_moving_block,3.0,-0.22783429273888645,0.12453025545056005,10000,20262904,settlement_date
overall,all_rules,development,static,market,multiclass_brier,67,-0.01632364691302179,circular_moving_block,3.0,-0.07487003091960852,0.03849356043532541,10000,20262904,settlement_date
overall,all_rules,development,static,market,binary_brier,67,-0.0016433177729180267,circular_moving_block,5.0,-0.007161068574977263,0.0032968813556899937,10000,20263004,settlement_date
overall,all_rules,development,static,market,binary_log,67,-0.005196767073065068,circular_moving_block,5.0,-0.02720387632476124,0.014038359902065761,10000,20263004,settlement_date
overall,all_rules,development,static,market,categorical_log,67,-0.039236084264732934,circular_moving_block,5.0,-0.23679853814800073,0.1338913517476909,10000,20263004,settlement_date
overall,all_rules,development,static,market,multiclass_brier,67,-0.01632364691302179,circular_moving_block,5.0,-0.07714249939799026,0.037866509056833836,10000,20263004,settlement_date
overall,all_rules,development,static,market,binary_brier,67,-0.0016433177729180267,circular_moving_block,7.0,-0.0071222001804228064,0.003588518411307835,10000,20263104,settlement_date
overall,all_rules,development,static,market,binary_log,67,-0.005196767073065068,circular_moving_block,7.0,-0.027088591828978433,0.015309570899213658,10000,20263104,settlement_date
overall,all_rules,development,static,market,categorical_log,67,-0.039236084264732934,circular_moving_block,7.0,-0.23650112435487888,0.14573684224916447,10000,20263104,settlement_date
overall,all_rules,development,static,market,multiclass_brier,67,-0.01632364691302179,circular_moving_block,7.0,-0.07705117292903914,0.04151850511100372,10000,20263104,settlement_date
overall,all_rules,june_external,static,market,binary_brier,30,0.009394532514078728,ordinary_date,,0.003727795626473862,0.01503388843220788,10000,20263804,settlement_date
overall,all_rules,june_external,static,market,binary_log,30,0.038991437932030325,ordinary_date,,0.02105976539770093,0.05654236984597643,10000,20263804,settlement_date
overall,all_rules,june_external,static,market,categorical_log,30,0.36095380324090753,ordinary_date,,0.20190024031315573,0.5207175277537495,10000,20263804,settlement_date
overall,all_rules,june_external,static,market,multiclass_brier,30,0.10248691035014203,ordinary_date,,0.04123944825824401,0.16305017946416459,10000,20263804,settlement_date
overall,all_rules,june_external,static,market,binary_brier,30,0.009394532514078728,circular_moving_block,3.0,0.004240314424945004,0.014835898209052468,10000,20263904,settlement_date
overall,all_rules,june_external,static,market,binary_log,30,0.038991437932030325,circular_moving_block,3.0,0.02258572114587805,0.05542486237113062,10000,20263904,settlement_date
overall,all_rules,june_external,static,market,categorical_log,30,0.36095380324090753,circular_moving_block,3.0,0.21236692551478878,0.5085028725643843,10000,20263904,settlement_date
overall,all_rules,june_external,static,market,multiclass_brier,30,0.10248691035014203,circular_moving_block,3.0,0.046182509854465696,0.1614605723168458,10000,20263904,settlement_date
overall,all_rules,june_external,static,market,binary_brier,30,0.009394532514078728,circular_moving_block,5.0,0.004294227121335862,0.01510263609652812,10000,20264004,settlement_date
