transition,split,metric,dates,mean,median,q10,q90
24h_to_12h,development,market_update_total_variation,50,0.09696973958646952,0.09601796263643624,0.048566753552648244,0.16005063786002532
24h_to_12h,development,matern_update_total_variation,50,0.12104907503482389,0.10179171584202103,0.02395048709833759,0.27500841503864126
24h_to_12h,development,update_cosine_similarity,50,0.1713918759881176,0.2501079167227189,-0.4910209861446344,0.68431238437179
24h_to_12h,development,event_sign_alignment_fraction,50,0.5363636363636364,0.5454545454545454,0.2727272727272727,0.8272727272727275
24h_to_12h,development,realised_probability_change_market,50,0.019756713736110272,0.02511968458011192,-0.04384350288945495,0.09244234616335446
24h_to_12h,development,realised_probability_change_matern,50,0.0039133136810028,0.0026328300876660576,-0.0541608379941586,0.08491963396733497
24h_to_12h,development,market_movement_towards_updated_matern,50,-0.005574259932137412,0.002057235884568076,-0.09432472478521473,0.056162593906498
24h_to_12h,june_external,market_update_total_variation,27,0.09083272663872152,0.08423565329617574,0.03789644729216945,0.14394817524671652
24h_to_12h,june_external,matern_update_total_variation,27,0.14592104623571528,0.10622589457602476,0.012557751417586803,0.33808651295003755
24h_to_12h,june_external,update_cosine_similarity,27,0.14656639106602198,0.2255944019871183,-0.5654823524538605,0.6622982057574609
24h_to_12h,june_external,event_sign_alignment_fraction,27,0.5521885521885521,0.5454545454545454,0.2727272727272727,0.7636363636363639
24h_to_12h,june_external,realised_probability_change_market,27,0.0081050106019726,0.012260014715810397,-0.04728758756178264,0.06402704703634113
24h_to_12h,june_external,realised_probability_change_matern,27,0.01593792548422436,0.010397134315227818,-0.03145560314460913,0.09775813266854202
24h_to_12h,june_external,market_movement_towards_updated_matern,27,-0.016245080064166164,-0.010190192399661457,-0.07626363645847936,0.030080551883644772
24h_to_12h,all_exact_support,market_update_total_variation,77,0.09481779998141503,0.09443557570809784,0.04493407851765016,0.15192581572059527
24h_to_12h,all_exact_support,matern_update_total_variation,77,0.1297704155857858,0.10378374908784427,0.016722476282783682,0.3149978943446028
24h_to_12h,all_exact_support,update_cosine_similarity,77,0.16268683582062954,0.2255944019871183,-0.5654823524538605,0.687690870548042
