scope_type,scope_value,split,metric,dates,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed
overall,all_rules,june_external,multiclass_brier_winner_component_matern_minus_market,30,0.13129821889864707,ordinary_date,,0.08612122018605561,0.17460205193726377,10000,20461804
overall,all_rules,june_external,multiclass_brier_nonwinner_component_matern_minus_market,30,-0.0295886271697237,ordinary_date,,-0.04743646076965253,-0.013732189307428505,10000,20461804
overall,all_rules,june_external,multiclass_brier_total_matern_minus_market,30,0.10170959172892342,ordinary_date,,0.04243816873726042,0.15743276520865754,10000,20461804
overall,all_rules,june_external,total_variation_market_matern,30,0.278613035914764,circular_moving_block,3.0,0.24380118229369965,0.31321356451767063,10000,20461904
overall,all_rules,june_external,expected_rank_market_minus_matern,30,0.47439199550686445,circular_moving_block,3.0,0.2826269736424259,0.6696046330663905,10000,20461904
overall,all_rules,june_external,modal_disagreement,30,0.6166666666666667,circular_moving_block,3.0,0.49166666666666664,0.7333333333333333,10000,20461904
overall,all_rules,june_external,realised_event_probability_market_minus_matern,30,0.09450362266079454,circular_moving_block,3.0,0.0636023141547471,0.12603873718803235,10000,20461904
overall,all_rules,june_external,categorical_log_matern_minus_market,30,0.35734220556873547,circular_moving_block,3.0,0.22739884369276875,0.4875363836144721,10000,20461904
overall,all_rules,june_external,multiclass_brier_winner_component_matern_minus_market,30,0.13129821889864707,circular_moving_block,3.0,0.08749594972188722,0.17635134126532817,10000,20461904
overall,all_rules,june_external,multiclass_brier_nonwinner_component_matern_minus_market,30,-0.0295886271697237,circular_moving_block,3.0,-0.049042342952873824,-0.01411594359543925,10000,20461904
overall,all_rules,june_external,multiclass_brier_total_matern_minus_market,30,0.10170959172892342,circular_moving_block,3.0,0.04844540855465381,0.15586743963302607,10000,20461904
overall,all_rules,june_external,total_variation_market_matern,30,0.278613035914764,circular_moving_block,5.0,0.24382429500307265,0.31443619155602487,10000,20462004
overall,all_rules,june_external,expected_rank_market_minus_matern,30,0.47439199550686445,circular_moving_block,5.0,0.3013591149288938,0.639914931556603,10000,20462004
overall,all_rules,june_external,modal_disagreement,30,0.6166666666666667,circular_moving_block,5.0,0.5,0.7333333333333333,10000,20462004
overall,all_rules,june_external,realised_event_probability_market_minus_matern,30,0.09450362266079454,circular_moving_block,5.0,0.06389823134865324,0.12821590281015835,10000,20462004
overall,all_rules,june_external,categorical_log_matern_minus_market,30,0.35734220556873547,circular_moving_block,5.0,0.23129453290099536,0.4819267495126565,10000,20462004
overall,all_rules,june_external,multiclass_brier_winner_component_matern_minus_market,30,0.13129821889864707,circular_moving_block,5.0,0.08816709045651892,0.17934574236689335,10000,20462004
overall,all_rules,june_external,multiclass_brier_nonwinner_component_matern_minus_market,30,-0.0295886271697237,circular_moving_block,5.0,-0.05049458078472389,-0.013031238176904814,10000,20462004
overall,all_rules,june_external,multiclass_brier_total_matern_minus_market,30,0.10170959172892342,circular_moving_block,5.0,0.049564274493952,0.15838139922547698,10000,20462004
overall,all_rules,june_external,total_variation_market_matern,30,0.278613035914764,circular_moving_block,7.0,0.2436112880213539,0.31399172833320094,10000,20462104
overall,all_rules,june_external,expected_rank_market_minus_matern,30,0.47439199550686445,circular_moving_block,7.0,0.323770852875589,0.6147928123021171,10000,20462104
overall,all_rules,june_external,modal_disagreement,30,0.6166666666666667,circular_moving_block,7.0,0.5083333333333333,0.725,10000,20462104
overall,all_rules,june_external,realised_event_probability_market_minus_matern,30,0.09450362266079454,circular_moving_block,7.0,0.06620326172281625,0.12826611313374495,10000,20462104
overall,all_rules,june_external,categorical_log_matern_minus_market,30,0.35734220556873547,circular_moving_block,7.0,0.24163848501819446,0.4829286569759276,10000,20462104
overall,all_rules,june_external,multiclass_brier_winner_component_matern_minus_market,30,0.13129821889864707,circular_moving_block,7.0,0.09181942453839229,0.17905020818961243,10000,20462104
overall,all_rules,june_external,multiclass_brier_nonwinner_component_matern_minus_market,30,-0.0295886271697237,circular_moving_block,7.0,-0.05061313836811382,-0.01328452029076929,10000,20462104
overall,all_rules,june_external,multiclass_brier_total_matern_minus_market,30,0.10170959172892342,circular_moving_block,7.0,0.05914230612201925,0.15723596104674634,10000,20462104
overall,all_rules,all_exact_support,total_variation_market_matern,97,0.28694170563699867,ordinary_date,,0.27055322211679594,0.3031746490942703,10000,20462804
overall,all_rules,all_exact_support,expected_rank_market_minus_matern,97,0.4330995719100401,ordinary_date,,0.32194589331803314,0.5424069220416285,10000,20462804
overall,all_rules,all_exact_support,modal_disagreement,97,0.5867697594501718,ordinary_date,,0.5171821305841925,0.6554982817869416,10000,20462804
overall,all_rules,all_exact_support,realised_event_probability_market_minus_matern,97,0.05015491761516869,ordinary_date,,0.02736076092886019,0.07270829329857881,10000,20462804
overall,all_rules,all_exact_support,categorical_log_matern_minus_market,97,0.09794086034434163,ordinary_date,,-0.025418003399884377,0.21311531839886577,10000,20462804
overall,all_rules,all_exact_support,multiclass_brier_winner_component_matern_minus_market,97,0.06538254180592534,ordinary_date,,0.03296883401447977,0.09734667310251954,10000,20462804
overall,all_rules,all_exact_support,multiclass_brier_nonwinner_component_matern_minus_market,97,-0.0427004073563452,ordinary_date,,-0.05553221414529919,-0.03017216592103314,10000,20462804
overall,all_rules,all_exact_support,multiclass_brier_total_matern_minus_market,97,0.02268213444958015,ordinary_date,,-0.020284281354021685,0.0646864805365982,10000,20462804
overall,all_rules,all_exact_support,total_variation_market_matern,97,0.28694170563699867,circular_moving_block,3.0,0.269066004616192,0.3042701823623649,10000,20462904
overall,all_rules,all_exact_support,expected_rank_market_minus_matern,97,0.4330995719100401,circular_moving_block,3.0,0.32653315416026696,0.540473617911941,10000,20462904
overall,all_rules,all_exact_support,modal_disagreement,97,0.5867697594501718,circular_moving_block,3.0,0.5171606529209624,0.6546391752577321,10000,20462904
overall,all_rules,all_exact_support,realised_event_probability_market_minus_matern,97,0.05015491761516869,circular_moving_block,3.0,0.024433002512012837,0.07440589848752699,10000,20462904
overall,all_rules,all_exact_support,categorical_log_matern_minus_market,97,0.09794086034434163,circular_moving_block,3.0,-0.04542782282990219,0.22630009081550703,10000,20462904
overall,all_rules,all_exact_support,multiclass_brier_winner_component_matern_minus_market,97,0.06538254180592534,circular_moving_block,3.0,0.029355507840114013,0.09973942272583422,10000,20462904
overall,all_rules,all_exact_support,multiclass_brier_nonwinner_component_matern_minus_market,97,-0.0427004073563452,circular_moving_block,3.0,-0.055100750303535735,-0.030949392285147276,10000,20462904
overall,all_rules,all_exact_support,multiclass_brier_total_matern_minus_market,97,0.02268213444958015,circular_moving_block,3.0,-0.022735830274678532,0.06510576737972952,10000,20462904
overall,all_rules,all_exact_support,total_variation_market_matern,97,0.28694170563699867,circular_moving_block,5.0,0.2690298283079194,0.30472466206189036,10000,20463004
overall,all_rules,all_exact_support,expected_rank_market_minus_matern,97,0.4330995719100401,circular_moving_block,5.0,0.3362674390681757,0.5314939965224436,10000,20463004
overall,all_rules,all_exact_support,modal_disagreement,97,0.5867697594501718,circular_moving_block,5.0,0.5223367697594501,0.6529209621993126,10000,20463004
overall,all_rules,all_exact_support,realised_event_probability_market_minus_matern,97,0.05015491761516869,circular_moving_block,5.0,0.02193752493662229,0.07565716722940687,10000,20463004
overall,all_rules,all_exact_support,categorical_log_matern_minus_market,97,0.09794086034434163,circular_moving_block,5.0,-0.05645627765291663,0.23270679561009222,10000,20463004
overall,all_rules,all_exact_support,multiclass_brier_winner_component_matern_minus_market,97,0.06538254180592534,circular_moving_block,5.0,0.02578252145142108,0.10121646836106561,10000,20463004
overall,all_rules,all_exact_support,multiclass_brier_nonwinner_component_matern_minus_market,97,-0.0427004073563452,circular_moving_block,5.0,-0.054758971434053574,-0.03128010349350798,10000,20463004
overall,all_rules,all_exact_support,multiclass_brier_total_matern_minus_market,97,0.02268213444958015,circular_moving_block,5.0,-0.024990583933386483,0.06521878554585513,10000,20463004
overall,all_rules,all_exact_support,total_variation_market_matern,97,0.28694170563699867,circular_moving_block,7.0,0.26876960705466524,0.30438300965573795,10000,20463104
overall,all_rules,all_exact_support,expected_rank_market_minus_matern,97,0.4330995719100401,circular_moving_block,7.0,0.3287598923752241,0.535968994591983,10000,20463104
overall,all_rules,all_exact_support,modal_disagreement,97,0.5867697594501718,circular_moving_block,7.0,0.5292096219931273,0.647766323024055,10000,20463104
overall,all_rules,all_exact_support,realised_event_probability_market_minus_matern,97,0.05015491761516869,circular_moving_block,7.0,0.02091650741660321,0.07608734683347086,10000,20463104
overall,all_rules,all_exact_support,categorical_log_matern_minus_market,97,0.09794086034434163,circular_moving_block,7.0,-0.06295058636964705,0.23979015419699967,10000,20463104
overall,all_rules,all_exact_support,multiclass_brier_winner_component_matern_minus_market,97,0.06538254180592534,circular_moving_block,7.0,0.024235096170673074,0.10215737119100554,10000,20463104
overall,all_rules,all_exact_support,multiclass_brier_nonwinner_component_matern_minus_market,97,-0.0427004073563452,circular_moving_block,7.0,-0.05465250962417131,-0.03143836867146833,10000,20463104
overall,all_rules,all_exact_support,multiclass_brier_total_matern_minus_market,97,0.02268213444958015,circular_moving_block,7.0,-0.026137674757921885,0.06507386695927637,10000,20463104
decision_rule,24h_prior,development,total_variation_market_matern,55,0.2507444097260465,ordinary_date,,0.2220259147840258,0.28014239905432153,10000,20463804
decision_rule,24h_prior,development,expected_rank_market_minus_matern,55,0.378587695537658,ordinary_date,,0.20215602285209375,0.5629264021917885,10000,20463804
decision_rule,24h_prior,development,modal_disagreement,55,0.6363636363636364,ordinary_date,,0.509090909090909,0.7636363636363637,10000,20463804
decision_rule,24h_prior,development,realised_event_probability_market_minus_matern,55,0.014234417035642535,ordinary_date,,-0.013977026741760693,0.04211443072300874,10000,20463804
decision_rule,24h_prior,development,categorical_log_matern_minus_market,55,0.011153015313076718,ordinary_date,,-0.14815138813682285,0.16434292743163845,10000,20463804
decision_rule,24h_prior,development,multiclass_brier_winner_component_matern_minus_market,55,0.023320424596022085,ordinary_date,,-0.018727734823134373,0.0650143819961777,10000,20463804
decision_rule,24h_prior,development,multiclass_brier_nonwinner_component_matern_minus_market,55,-0.03311136177747872,ordinary_date,,-0.048830965334535355,-0.015723495666725474,10000,20463804
decision_rule,24h_prior,development,multiclass_brier_total_matern_minus_market,55,-0.009790937181456643,ordinary_date,,-0.06442622652981848,0.04326190537584539,10000,20463804
decision_rule,24h_prior,development,total_variation_market_matern,55,0.2507444097260465,circular_moving_block,3.0,0.22194900064941206,0.28142257229957224,10000,20463904
decision_rule,24h_prior,development,expected_rank_market_minus_matern,55,0.378587695537658,circular_moving_block,3.0,0.21881418587169157,0.5412495698738311,10000,20463904
decision_rule,24h_prior,development,modal_disagreement,55,0.6363636363636364,circular_moving_block,3.0,0.509090909090909,0.7636363636363637,10000,20463904
decision_rule,24h_prior,development,realised_event_probability_market_minus_matern,55,0.014234417035642535,circular_moving_block,3.0,-0.013261453439210084,0.04205745390922308,10000,20463904
decision_rule,24h_prior,development,categorical_log_matern_minus_market,55,0.011153015313076718,circular_moving_block,3.0,-0.12403376281979603,0.14283857854550727,10000,20463904
decision_rule,24h_prior,development,multiclass_brier_winner_component_matern_minus_market,55,0.023320424596022085,circular_moving_block,3.0,-0.015780538432562708,0.0624812104774039,10000,20463904
decision_rule,24h_prior,development,multiclass_brier_nonwinner_component_matern_minus_market,55,-0.03311136177747872,circular_moving_block,3.0,-0.046020133146667,-0.01937904537328578,10000,20463904
decision_rule,24h_prior,development,multiclass_brier_total_matern_minus_market,55,-0.009790937181456643,circular_moving_block,3.0,-0.05561113954190301,0.03539873140562858,10000,20463904
