event_date,raw_target_available,raw_market_id,raw_event_rank,raw_group_item_title,raw_probability_gap,raw_trade,raw_gross_pnl,raw_net_pnl,static_target_available,static_market_id,static_event_rank,static_group_item_title,static_probability_gap,static_trade,static_gross_pnl,static_net_pnl,selected_gp_target_available,selected_gp_market_id,selected_gp_event_rank,selected_gp_group_item_title,selected_gp_probability_gap,selected_gp_trade,selected_gp_gross_pnl,selected_gp_net_pnl
2026-07-01,True,2725873,4,30°C,0.8950000000,True,-0.1050000000,-0.1150000000,True,2725873,4,30°C,0.0736591004,False,0.0000000000,0.0000000000,True,2725872,3,29°C,0.0695390520,False,0.0000000000,0.0000000000
2026-07-02,True,2738624,3,30°C,0.9675000000,True,-0.0325000000,-0.0425000000,True,2738624,3,30°C,0.1086863778,False,0.0000000000,0.0000000000,True,2738624,3,30°C,0.1052866089,False,0.0000000000,0.0000000000
2026-07-03,True,2751159,4,29°C,0.7850000000,True,-0.2150000000,-0.2250000000,True,2751158,3,28°C,0.0457102779,False,0.0000000000,0.0000000000,True,2751158,3,28°C,0.0441487639,False,0.0000000000,0.0000000000
2026-07-04,True,2764593,4,27°C,0.9600000000,True,-0.0400000000,-0.0500000000,True,2764593,4,27°C,0.1200675003,False,0.0000000000,0.0000000000,True,2764593,4,27°C,0.1151083060,False,0.0000000000,0.0000000000
2026-07-05,True,2778766,5,29°C,0.7500000000,True,-0.2500000000,-0.2600000000,True,2778765,4,28°C,0.0476006833,False,0.0000000000,0.0000000000,True,2778764,3,27°C,0.0448673851,False,0.0000000000,0.0000000000
2026-07-06,True,2791317,5,29°C,0.9500000000,True,-0.0500000000,-0.0600000000,True,2791317,5,29°C,0.1194387092,False,0.0000000000,0.0000000000,True,2791317,5,29°C,0.1139007750,False,0.0000000000,0.0000000000
2026-07-07,True,2802047,4,27°C,0.9945000000,True,-0.0055000000,-0.0155000000,True,2802048,5,28°C,0.2210635633,True,0.9890000000,0.9790000000,True,2802048,5,28°C,0.2133599202,True,0.9890000000,0.9790000000
2026-07-08,True,2812709,3,28°C,0.9645000000,True,-0.0355000000,-0.0455000000,True,2812710,4,29°C,0.1872817215,True,-0.0600000000,-0.0700000000,True,2812710,4,29°C,0.1800789259,True,-0.0600000000,-0.0700000000
2026-07-09,True,2825872,5,30°C,0.8850000000,True,-0.1150000000,-0.1250000000,True,2825871,4,29°C,0.1091006833,False,0.0000000000,0.0000000000,True,2825871,4,29°C,0.1060765137,False,0.0000000000,0.0000000000
2026-07-10,True,2841131,4,30°C,0.9955000000,True,-0.0045000000,-0.0145000000,True,2841132,5,31°C,0.1660635633,True,-0.0660000000,-0.0760000000,True,2841132,5,31°C,0.1587923985,True,-0.0660000000,-0.0760000000
2026-07-11,True,2854513,4,33°C,0.7550000000,True,-0.2450000000,-0.2550000000,True,2854516,7,36°C,0.0434507981,False,0.0000000000,0.0000000000,True,2854516,7,36°C,0.0466790744,False,0.0000000000,0.0000000000
2026-07-12,True,2866993,4,31°C,0.9730000000,True,-0.0270000000,-0.0370000000,True,2866993,4,31°C,0.1236248394,False,0.0000000000,0.0000000000,True,2866993,4,31°C,0.1206860878,False,0.0000000000,0.0000000000
2026-07-13,True,2877746,3,30°C,0.9205000000,True,-0.0795000000,-0.0895000000,True,2877746,3,30°C,0.1168178341,False,0.0000000000,0.0000000000,True,2877746,3,30°C,0.1103267544,False,0.0000000000,0.0000000000
2026-07-14,True,2889061,3,27°C,0.9865000000,True,-0.0135000000,-0.0235000000,True,2889061,3,27°C,0.1910889041,True,-0.0135000000,-0.0235000000,True,2889061,3,27°C,0.1840299591,True,-0.0135000000,-0.0235000000
2026-07-15,True,2902105,4,28°C,0.9400000000,True,0.9400000000,0.9300000000,True,2902105,4,28°C,0.0906248394,False,0.0000000000,0.0000000000,True,2902105,4,28°C,0.0855655634,False,0.0000000000,0.0000000000
2026-07-16,True,2917057,3,28°C,0.9675000000,True,-0.0325000000,-0.0425000000,True,2917057,3,28°C,0.1798771919,True,-0.0325000000,-0.0425000000,True,2917057,3,28°C,0.1722127668,True,-0.0325000000,-0.0425000000
2026-07-17,True,2930663,4,29°C,0.8600000000,True,-0.1400000000,-0.1500000000,True,2930662,3,28°C,0.0447102779,False,0.0000000000,0.0000000000,True,2930662,3,28°C,0.0428569421,False,0.0000000000,0.0000000000
2026-07-18,True,2942522,4,29°C,0.7800000000,True,-0.2200000000,-0.2300000000,True,2942526,8,33°C,0.0270314626,False,0.0000000000,0.0000000000,True,2942526,8,33°C,0.0334704709,False,0.0000000000,0.0000000000
2026-07-19,True,2955571,3,28°C,0.9300000000,True,-0.0700000000,-0.0800000000,True,2955572,4,29°C,0.1121632786,False,0.0000000000,0.0000000000,True,2955572,4,29°C,0.1041341108,False,0.0000000000,0.0000000000
2026-07-20,True,2968784,4,29°C,0.8600000000,True,0.8600000000,0.8500000000,True,2968784,4,29°C,0.0645889041,False,0.0000000000,0.0000000000,True,2968784,4,29°C,0.0570165793,False,0.0000000000,0.0000000000
2026-07-21,True,2980823,3,28°C,0.9695000000,True,-0.0305000000,-0.0405000000,True,2980824,4,29°C,0.1471632786,False,0.0000000000,0.0000000000,True,2980824,4,29°C,0.1390722877,False,0.0000000000,0.0000000000
2026-07-22,True,2996604,4,30°C,0.8950000000,True,-0.1050000000,-0.1150000000,True,2996604,4,30°C,0.0995889041,False,0.0000000000,0.0000000000,True,2996604,4,30°C,0.0923985361,False,0.0000000000,0.0000000000
2026-07-23,True,3010503,4,30°C,0.9350000000,True,-0.0650000000,-0.0750000000,True,3010503,4,30°C,0.0856248394,False,0.0000000000,0.0000000000,True,3010503,4,30°C,0.0813261630,False,0.0000000000,0.0000000000
2026-07-24,True,3025031,5,31°C,0.9810000000,True,-0.0190000000,-0.0290000000,True,3025031,5,31°C,0.1855889041,True,-0.0190000000,-0.0290000000,True,3025031,5,31°C,0.1791521827,True,-0.0190000000,-0.0290000000
2026-07-25,True,3050247,3,32°C,0.7900000000,True,-0.2100000000,-0.2200000000,True,3050250,6,35°C,0.0806658651,False,0.0000000000,0.0000000000,True,3050250,6,35°C,0.0814343660,False,0.0000000000,0.0000000000
2026-07-26,True,3076638,4,28°C,0.8150000000,True,0.8150000000,0.8050000000,True,3076641,7,31°C,0.0774290978,False,0.0000000000,0.0000000000,True,3076641,7,31°C,0.0834011861,False,0.0000000000,0.0000000000
2026-07-27,True,3096528,5,30°C,0.6450000000,True,-0.3550000000,-0.3650000000,True,3096530,7,32°C,0.1306460996,False,0.0000000000,0.0000000000,True,3096530,7,32°C,0.1315004503,False,0.0000000000,0.0000000000
2026-07-28,True,3108836,4,28°C,0.8750000000,True,-0.1250000000,-0.1350000000,True,3108836,4,28°C,0.0713178341,False,0.0000000000,0.0000000000,True,3108836,4,28°C,0.0634949896,False,0.0000000000,0.0000000000
2026-07-29,True,3124830,0,25°C or below,0.9970000000,True,-0.0030000000,-0.0130000000,True,3124830,0,25°C or below,0.3010987043,True,-0.0030000000,-0.0130000000,True,3124830,0,25°C or below,0.2957243537,True,-0.0030000000,-0.0130000000
2026-07-30,True,3146688,1,26°C,0.9925000000,True,-0.0075000000,-0.0175000000,True,3146689,2,27°C,0.1570635633,True,-0.0750000000,-0.0850000000,True,3146689,2,27°C,0.1489411980,False,0.0000000000,0.0000000000
2026-07-31,True,3196586,2,26°C,0.9850000000,True,-0.0150000000,-0.0250000000,True,3196587,3,27°C,0.1714302912,True,0.9300000000,0.9200000000,True,3196587,3,27°C,0.1635666349,True,0.9300000000,0.9200000000
2026-08-01,True,3216632,2,24°C,0.9975000000,True,-0.0025000000,-0.0125000000,True,3216633,3,25°C,0.2156024778,True,-0.0040000000,-0.0140000000,True,3216633,3,25°C,0.2085708164,True,-0.0040000000,-0.0140000000
2026-08-02,True,3236597,4,25°C,0.9550000000,True,-0.0450000000,-0.0550000000,True,3236597,4,25°C,0.1056248394,False,0.0000000000,0.0000000000,True,3236597,4,25°C,0.1009651638,False,0.0000000000,0.0000000000
2026-08-03,True,3254203,4,26°C,0.9700000000,True,-0.0300000000,-0.0400000000,True,3254203,4,26°C,0.1111863778,False,0.0000000000,0.0000000000,True,3254203,4,26°C,0.1060948628,False,0.0000000000,0.0000000000
2026-08-04,True,3280249,5,28°C,0.7300000000,True,-0.2700000000,-0.2800000000,True,3280251,7,30°C,0.0869285098,False,0.0000000000,0.0000000000,True,3280252,8,31°C,0.0905496912,False,0.0000000000,0.0000000000
2026-08-05,True,3298700,2,29°C,0.9300000000,True,-0.0700000000,-0.0800000000,True,3298700,2,29°C,0.0806248394,False,0.0000000000,0.0000000000,True,3298700,2,29°C,0.0746901805,False,0.0000000000,0.0000000000
2026-08-06,True,3325403,4,31°C,0.9250000000,True,-0.0750000000,-0.0850000000,True,3325403,4,31°C,0.1373771919,False,0.0000000000,0.0000000000,True,3325403,4,31°C,0.1300035183,False,0.0000000000,0.0000000000
2026-08-07,True,3352404,2,31°C,0.9700000000,True,-0.0300000000,-0.0400000000,True,3352405,3,32°C,0.1570635633,True,-0.0750000000,-0.0850000000,True,3352405,3,32°C,0.1498427479,False,0.0000000000,0.0000000000
2026-08-08,True,3374448,3,34°C,0.7750000000,True,0.7750000000,0.7650000000,True,3374452,7,38°C,0.0754525289,False,0.0000000000,0.0000000000,True,3374452,7,38°C,0.0781774348,False,0.0000000000,0.0000000000
2026-08-09,True,3394387,3,34°C,0.8750000000,True,-0.1250000000,-0.1350000000,True,3394387,3,34°C,0.0536591004,False,0.0000000000,0.0000000000,True,3394387,3,34°C,0.0515746459,False,0.0000000000,0.0000000000
2026-08-10,True,3414739,5,34°C,0.6450000000,True,-0.3550000000,-0.3650000000,True,3414742,8,37°C,0.0880520419,False,0.0000000000,0.0000000000,True,3414742,8,37°C,0.0894204693,False,0.0000000000,0.0000000000
2026-08-11,True,3435872,4,34°C,0.7000000000,True,-0.3000000000,-0.3100000000,True,3435874,6,36°C,0.0574340442,False,0.0000000000,0.0000000000,True,3435874,6,36°C,0.0554875686,False,0.0000000000,0.0000000000
2026-08-12,True,3474695,3,31°C,0.9550000000,True,-0.0450000000,-0.0550000000,True,3474696,4,32°C,0.1070635633,False,0.0000000000,0.0000000000,True,3474695,3,31°C,0.1016643345,False,0.0000000000,0.0000000000
2026-08-13,True,3506287,4,31°C,0.9150000000,True,-0.0850000000,-0.0950000000,True,3506291,8,35°C,0.0524397061,False,0.0000000000,0.0000000000,True,3506291,8,35°C,0.0578200731,False,0.0000000000,0.0000000000
