threshold,eligible_dates,trade_count,trade_rate,total_net_pnl,mean_daily_pnl,sample_sd_daily_pnl,se_mean_daily_pnl,sample_sharpe,threshold_eligible,decision_rule
0.0000000000,90,90,1.0000000000,2.6735000000,0.0297055556,0.3004555427,0.0316707950,0.0988683893,True,24h_prior
0.0100000000,90,90,1.0000000000,2.6735000000,0.0297055556,0.3004555427,0.0316707950,0.0988683893,True,24h_prior
0.0200000000,90,89,0.9888888889,2.7135000000,0.0301500000,0.3003808486,0.0316629216,0.1003725775,True,24h_prior
0.0300000000,90,88,0.9777777778,2.8035000000,0.0311500000,0.3001260639,0.0316360649,0.1037897196,True,24h_prior
0.0400000000,90,87,0.9666666667,2.8745000000,0.0319388889,0.2999478028,0.0316172745,0.1064814897,True,24h_prior
0.0500000000,90,82,0.9111111111,3.3160000000,0.0368444444,0.2984983545,0.0314644893,0.1234326551,True,24h_prior
0.0600000000,90,76,0.8444444444,2.9420000000,0.0326888889,0.2863897770,0.0301881331,0.1141412561,True,24h_prior
0.0700000000,90,67,0.7444444444,3.1005000000,0.0344500000,0.2838686400,0.0299223820,0.1213589497,True,24h_prior
0.0800000000,90,60,0.6666666667,2.8535000000,0.0317055556,0.2640772348,0.0278361847,0.1200616766,True,24h_prior
0.0900000000,90,54,0.6000000000,2.5805000000,0.0286722222,0.2558028138,0.0269639841,0.1120872042,True,24h_prior
0.1000000000,90,50,0.5555555556,2.8070000000,0.0311888889,0.2551143231,0.0268914108,0.1222545583,True,24h_prior
0.1100000000,90,39,0.4333333333,2.6360000000,0.0292888889,0.2462292822,0.0259548453,0.1189496579,True,24h_prior
0.1200000000,90,33,0.3666666667,3.1380000000,0.0348666667,0.2443378555,0.0257554714,0.1426985867,True,24h_prior
0.1300000000,90,29,0.3222222222,3.4655000000,0.0385055556,0.2431176773,0.0256268533,0.1583823767,True,24h_prior
0.1400000000,90,19,0.2111111111,2.1660000000,0.0240666667,0.2013008844,0.0212189763,0.1195556926,True,24h_prior
0.1500000000,90,15,0.1666666667,2.4715000000,0.0274611111,0.2001067163,0.0210931000,0.1372323309,True,24h_prior
