chronology_block,dates,probability_books,decision_rules,raw_zero_probability_books,mean_date_regularised_log_score,standard_error_date_regularised_log_score,mean_date_raw_brier_score,mean_date_regularised_brier_score,standard_error_date_regularised_brier_score,mean_date_brier_difference_regularised_minus_raw,standard_error_date_brier_difference
external_test,30,119,4,1,1.513591796636827,0.09843166711957275,0.7187730276955866,0.7193497979797977,0.029956605212716998,0.0005767702842112785,0.00023902605355814851
holdout,10,40,4,0,1.1407136716777928,0.14641995567901647,0.5832159983675134,0.5843059090909092,0.07924061285098696,0.0010899107233955873,0.00036570738911341505
