estimand,estimand_label,chronology_block,decision_rule,settlement_dates,mean_effect,standard_error,median_effect,positive_effect_share,minimum_effect,maximum_effect
continuous_crps_improvement,Raw minus locked-model CRPS,holdout,24h_prior,10,1.2590893786348327,0.31779090645178404,1.6966903887358407,0.8,-0.4298247627793105,2.215629782675237
continuous_crps_improvement,Raw minus locked-model CRPS,holdout,12h_prior,10,1.4312863483318017,0.30371621597423376,1.6524984695439233,0.9,-1.0086126415671877,2.3548974594429186
continuous_crps_improvement,Raw minus locked-model CRPS,holdout,6h_prior,10,1.4513621059075597,0.2603256142899742,1.6618419038873595,0.9,-0.4298247627793105,2.215629782675239
continuous_crps_improvement,Raw minus locked-model CRPS,holdout,event_day_open,10,1.50271311600857,0.13208568773636511,1.444165136210588,1.0,0.6637358432813009,2.215629782675237
continuous_crps_improvement,Raw minus locked-model CRPS,external_test,24h_prior,30,1.2638536883991427,0.17993315925577893,1.4441651362105905,0.9,-1.0924510254055728,2.411841903887363
continuous_crps_improvement,Raw minus locked-model CRPS,external_test,12h_prior,30,1.2569176614631148,0.14627024691403787,1.3451752372206878,0.9,-0.5995217324762864,2.3357055402509994
continuous_crps_improvement,Raw minus locked-model CRPS,external_test,6h_prior,29,1.1416485914526668,0.18638309886882243,1.3977004897459415,0.8620689655172413,-1.0086126415671886,2.401740893786348
continuous_crps_improvement,Raw minus locked-model CRPS,external_test,event_day_open,30,1.120608738904193,0.1684374017523761,1.237031297826751,0.8666666666666667,-0.9386631466176922,2.4437863483317956
categorical_log_score_improvement,Raw minus regularised categorical log score,holdout,24h_prior,10,-0.2666147843249277,0.18329286259508534,-0.4233356328002402,0.3,-1.293535257474129,0.8385500176911301
categorical_log_score_improvement,Raw minus regularised categorical log score,holdout,12h_prior,10,-0.10877856833447101,0.15742740617116913,-0.21898945180628682,0.3,-0.7097606340619702,0.9284063468129911
categorical_log_score_improvement,Raw minus regularised categorical log score,holdout,6h_prior,10,-0.11531184318115076,0.1430648349366227,-0.25963099746123885,0.3,-0.5100040154459136,0.8385500176911301
categorical_log_score_improvement,Raw minus regularised categorical log score,holdout,event_day_open,10,-0.07214949087062185,0.13409915610994685,-0.18567093242292776,0.3,-0.5100040154459136,0.6587892817588491
categorical_log_score_improvement,Raw minus regularised categorical log score,external_test,24h_prior,30,-0.5365617309910874,0.08858106892552083,-0.48786760360691983,0.03333333333333333,-1.9777137680513128,0.7527034631977934
categorical_log_score_improvement,Raw minus regularised categorical log score,external_test,12h_prior,30,-0.4072474542251039,0.06230657123203957,-0.3826645930693122,0.03333333333333333,-1.293535257474129,0.34782025792827764
categorical_log_score_improvement,Raw minus regularised categorical log score,external_test,6h_prior,29,-0.5214155314345612,0.09520712480361765,-0.3826645930693122,0.034482758620689655,-1.6463566320968703,0.7135293147345161
categorical_log_score_improvement,Raw minus regularised categorical log score,external_test,event_day_open,30,-0.6310898078686927,0.2374601512962238,-0.2697241818887166,0.03333333333333333,-7.003065458786472,0.7779921671497175
categorical_brier_improvement,Raw minus regularised multiclass Brier score,holdout,24h_prior,10,-0.00044788695031119236,0.0006648420431652606,-0.00051666156514657,0.2,-0.002532741556983853,0.0047399857157433
categorical_brier_improvement,Raw minus regularised multiclass Brier score,holdout,12h_prior,10,-0.0011640893786348696,0.00038558314002162596,-0.0010362514029181886,0.1,-0.0035397408427710886,0.0006101826344250272
categorical_brier_improvement,Raw minus regularised multiclass Brier score,holdout,6h_prior,10,-0.0012192204877053512,0.0003709997026597023,-0.000723252729313506,0.0,-0.0030788899091930833,-1.1100908070549309e-05
categorical_brier_improvement,Raw minus regularised multiclass Brier score,holdout,event_day_open,10,-0.0015284460769309407,0.00041110168957761054,-0.0012409754106722515,0.0,-0.0034818487909397955,-1.1100908070549309e-05
categorical_brier_improvement,Raw minus regularised multiclass Brier score,external_test,24h_prior,30,-0.0002775145393326262,0.0002782563495871555,-0.0001720130598916736,0.36666666666666664,-0.0030198755229059043,0.0032364452606876704
categorical_brier_improvement,Raw minus regularised multiclass Brier score,external_test,12h_prior,30,-0.0008445294697819424,0.0002474515250114949,-0.0009399959187838536,0.2,-0.0030788899091930833,0.002246648301193588
categorical_brier_improvement,Raw minus regularised multiclass Brier score,external_test,6h_prior,29,-0.000468384295761387,0.0003164070286176562,-0.000769431690643807,0.3103448275862069,-0.003254402611978305,0.002714641363126269
categorical_brier_improvement,Raw minus regularised multiclass Brier score,external_test,event_day_open,30,-0.0006805387205386267,0.0003226908503217934,-0.0011262728293029989,0.26666666666666666,-0.0028554025099480004,0.0041896949290891605
model_minus_market_log_score_improvement,Market minus model categorical log score,holdout,24h_prior,10,-0.07717306891276907,0.10979727041194205,0.008870894390295536,0.5,-0.859443288097558,0.2430554328273646
model_minus_market_log_score_improvement,Market minus model categorical log score,holdout,12h_prior,10,0.014959111808329905,0.14007503783827374,-0.10845520902044764,0.4,-0.4243322380535386,1.0160946015662633
model_minus_market_log_score_improvement,Market minus model categorical log score,holdout,6h_prior,10,-0.021145929564600995,0.19693775802890792,-0.23152461726413348,0.4,-0.6238087003533705,1.2660711496978627
model_minus_market_log_score_improvement,Market minus model categorical log score,holdout,event_day_open,10,-0.1140960331261012,0.1496616539612621,-0.21333001279589217,0.3,-0.6231065822683909,0.7664725885256554
model_minus_market_log_score_improvement,Market minus model categorical log score,external_test,24h_prior,27,-0.21829451936551816,0.0698501790177603,-0.36128365233719273,0.18518518518518517,-0.7067813177529745,0.8451401896336037
model_minus_market_log_score_improvement,Market minus model categorical log score,external_test,12h_prior,28,-0.10830857902493994,0.08472281658223997,-0.1628677519584132,0.2857142857142857,-0.7486946254566254,1.4659377519505574
