stage,evidence_source,source_path,source_row,chronology_block,decision_rule,strategy,metric,numeric_value,text_value
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,0,holdout,,,median_effect,1.52661463116,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,0,holdout,,,positive_effect_share,0.9,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,0,holdout,,,settlement_dates,10,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,1,external_test,,,mean_effect,1.19600330961,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,1,external_test,,,median_effect,1.21485642409,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,1,external_test,,,positive_effect_share,0.9,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,1,external_test,,,settlement_dates,30,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,2,holdout,,,mean_effect,-0.140713671678,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,2,holdout,,,median_effect,-0.361606617227,
13_uncertainty_main_table,final_table,outputs/final_tables/13_uncertainty_main_table.csv,2,holdout,,,positive_effect_share,0.3,
