stage,evidence_source,source_path,source_row,chronology_block,decision_rule,strategy,metric,numeric_value,text_value
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,candidate_lambda_increment,0.01,0.01
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,candidate_lambda_maximum,1,1.0
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,candidate_lambda_minimum,0,0.0
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,continuous_calibration_reselected,0,False
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,development_date_rule_rows,152,152
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,development_dates,38,38
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,development_probability_rows,1672,1672
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,input_hashes.data/processed/certified_event_books.csv,,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,input_hashes.outputs/diagnostics/05_selected_oof_calibrated_predictions.csv,,f6de4d1c9194d733a574bdc5265ebef5948212baaa44cc240b7eccfb69abdae5
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,locked_continuous_dispersion_scale,1.25,1.25
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,locked_dates,40,40
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,locked_prediction_books,159,159
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,locked_probability_rows,1749,1749
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,model_reselected,0,False
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,selected_family,,empirical_residual
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,selected_mean_date_brier_score,0.753551435407,0.7535514354066986
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,selected_mean_date_log_score,1.59141741366,1.5914174136586134
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,selected_model,,pooled_empirical_residual
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,selected_uniform_mixing_lambda,0.01,0.01
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,strict_winner_lambda,0.02,0.02
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,strict_winner_mean_date_log_score,1.59036886621,1.5903688662077229
09_probability_calibration,manifest,data/manifests/09_probability_calibration_manifest.json,,,,,trading_returns_calculated,0,False
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,dates,30,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,mean_date_brier_difference_regularised_minus_raw,0.000576770284211,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,mean_date_raw_brier_score,0.718773027696,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,mean_date_regularised_brier_score,0.71934979798,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,mean_date_regularised_log_score,1.51359179664,
