chronology_block,left_variant,left_display,right_variant,right_display,difference_definition,negative_difference_favours,paired_dates,mean_paired_crps_difference,standard_deviation_paired_difference,standard_error_paired_difference,descriptive_95_interval_lower,descriptive_95_interval_upper,left_better_date_share,tie_date_share,interval_excludes_zero,formal_significance_claim_permitted
holdout,selected_uncalibrated,Selected uncalibrated,raw_deterministic,Raw deterministic,left_date_crps_minus_right_date_crps,left,10,-1.4320787878787873,0.7462545559270967,0.2359864111007132,-1.965917138086498,-0.8982404376710768,0.9,0.0,True,False
holdout,selected_calibrated,Selected calibrated,raw_deterministic,Raw deterministic,left_date_crps_minus_right_date_crps,left,10,-1.4035738636363633,0.7396817495188076,0.23390790721375881,-1.9327103113881798,-0.8744374158845467,0.9,0.0,True,False
holdout,selected_calibrated,Selected calibrated,selected_uncalibrated,Selected uncalibrated,left_date_crps_minus_right_date_crps,left,10,0.028504924242424207,0.03362325510072926,0.010632606846717865,0.004452296504309849,0.05255755198053856,0.3,0.0,True,False
external_test,selected_uncalibrated,Selected uncalibrated,raw_deterministic,Raw deterministic,left_date_crps_minus_right_date_crps,left,30,-1.2031219977553307,0.8128430744305569,0.14840416252582225,-1.5066425899690217,-0.8996014055416397,0.9,0.0,True,False
external_test,selected_calibrated,Selected calibrated,raw_deterministic,Raw deterministic,left_date_crps_minus_right_date_crps,left,30,-1.1884644360269359,0.8151786450266003,0.14883057742585515,-1.492857144634021,-0.8840717274198506,0.9,0.0,True,False
external_test,selected_calibrated,Selected calibrated,selected_uncalibrated,Selected uncalibrated,left_date_crps_minus_right_date_crps,left,30,0.014657561728395186,0.043236195945774915,0.007893813273404778,-0.0014870991678328487,0.03080222262462322,0.3,0.0,False,False
