dispersion_scale,mean_date_crps,standard_deviation_date_crps,median_date_crps,dates,standard_error_date_crps,rows,mean_row_crps,empirical_50_coverage,empirical_80_coverage,empirical_90_coverage,mean_50_width_c,mean_80_width_c,mean_90_width_c,mean_median_absolute_error_c,paired_difference_from_strict_winner,paired_difference_standard_error,within_one_standard_error,distance_from_identity,relative_crps_change_vs_identity,strict_crps_winner,selected_scale
0.5,0.8437112041467302,0.577797894979347,0.8584974747474741,38,0.09373119564991275,152,0.8437112041467302,0.19078947368421054,0.34210526315789475,0.4276315789473684,0.554276315789474,1.1617105263157896,1.5651973684210523,1.025657894736842,0.11061965709728862,0.031135307422480718,False,0.5,-0.12000101553898146,False,False
0.75,0.7880214181286548,0.5278699927452881,0.7760738888888887,38,0.08563182039542595,152,0.7880214181286548,0.2631578947368421,0.47368421052631576,0.5986842105263158,0.8314144736842113,1.742565789473684,2.3477960526315793,1.025657894736842,0.054929871079213155,0.022275877092979936,False,0.25,-0.04607451487282943,False,False
1.0,0.7533128920786814,0.47827959660511454,0.7237794949494949,38,0.07758719585912952,152,0.7533128920786814,0.35526315789473684,0.6381578947368421,0.7236842105263158,1.1085526315789473,2.323421052631579,3.130394736842105,1.025657894736842,0.020221345029239803,0.013714989609792592,False,0.0,0.0,False,False
1.25,0.7364085260499732,0.43444203282578425,0.699721212121212,38,0.07047580396393612,152,0.7364085260499732,0.40131578947368424,0.7171052631578947,0.8618421052631579,1.3856907894736834,2.904276315789474,3.9129934210526307,1.025657894736842,0.0033169790005315994,0.006211323253408095,True,0.25,0.02244003282893836,False,True
1.5,0.7330915470494416,0.39847192222098016,0.6965808585858584,38,0.06464068150339408,152,0.7330915470494416,0.48026315789473684,0.8092105263157895,0.9407894736842105,1.6628289473684206,3.4851315789473687,4.695592105263158,1.025657894736842,0.0,0.0,True,0.5,0.0268432217765997,True,False
1.75,0.7403319843168525,0.36877476739988374,0.7070440404040406,38,0.059823166844775545,152,0.7403319843168525,0.5723684210526315,0.8881578947368421,0.9802631578947368,1.9399671052631586,4.065986842105263,5.478190789473684,1.025657894736842,0.007240437267410968,0.005162053813787037,False,0.75,0.017231761062802775,False,False
2.0,0.7542539074960125,0.343459202144477,0.7234967676767667,38,0.05571643987231491,152,0.7542539074960125,0.618421052631579,0.9671052631578947,0.993421052631579,2.2171052631578947,4.646842105263158,6.26078947368421,1.025657894736842,0.02116236044657102,0.00963949499282747,False,1.0,-0.0012491694052050306,False,False
