estimand,estimand_label,chronology_block,settlement_dates,mean_effect,standard_error,bootstrap_lower,bootstrap_upper,median_effect,positive_effect_share,sign_flip_method,sign_flip_repetitions,sign_flip_two_sided_p_value,positive_effect_interpretation
continuous_crps_improvement,Raw minus locked-model CRPS,holdout,10,1.4111127372206909,0.23390790721375881,0.9386032675237214,1.7946263893671566,1.5266146311600837,0.9,exact,1024,0.00390625,positive values favour the locked weather model
continuous_crps_improvement,Raw minus locked-model CRPS,external_test,30,1.1960033096112639,0.14883057742585515,0.9007976330540253,1.4810708601163132,1.2148564240893767,0.9,monte_carlo,100000,9.99990000099999e-06,positive values favour the locked weather model
categorical_log_score_improvement,Raw minus regularised categorical log score,holdout,10,-0.14071367167779283,0.14641995567901644,-0.38850197044429635,0.14966137354314613,-0.36160661722679566,0.3,exact,1024,0.357421875,positive values favour the locked weather model
categorical_log_score_improvement,Raw minus regularised categorical log score,external_test,30,-0.5219251299701599,0.10503395536291589,-0.7459176587220544,-0.34333818014830003,-0.3807199256898277,0.03333333333333333,monte_carlo,100000,9.99990000099999e-06,positive values favour the locked weather model
categorical_brier_improvement,Raw minus regularised multiclass Brier score,holdout,10,-0.0010899107233955873,0.0003657073891134144,-0.0018099913911845608,-0.0004562431512090888,-0.0005468472604836516,0.1,exact,1024,0.00390625,positive values favour the locked weather model
categorical_brier_improvement,Raw minus regularised multiclass Brier score,external_test,30,-0.0005767702842112782,0.0002390260535581452,-0.0010156190227186776,-9.665730254272753e-05,-0.0007137358432812713,0.26666666666666666,monte_carlo,100000,0.023089769102308977,positive values favour the locked weather model
model_minus_market_log_score_improvement,Market minus model categorical log score,holdout,10,-0.049363979948785296,0.11549720188970916,-0.24668128274903992,0.18108748275522635,-0.09850525950793088,0.4,exact,1024,0.6875,positive values favour the locked weather model
model_minus_market_log_score_improvement,Market minus model categorical log score,external_test,30,-0.2897315429597503,0.08880718979789423,-0.47024409988787896,-0.13236771514929663,-0.32512565783173764,0.2,monte_carlo,100000,0.0006299937000629993,positive values favour the locked weather model
model_minus_market_brier_improvement,Market minus model multiclass Brier score,holdout,10,0.00078064151625869,0.05486981643320683,-0.09349633341256189,0.10908793802921092,-0.050968081125299575,0.5,exact,1024,0.9921875,positive values favour the locked weather model
model_minus_market_brier_improvement,Market minus model multiclass Brier score,external_test,30,-0.0723386228972962,0.028596837982152297,-0.1253773817899971,-0.01588784426333349,-0.11357755523684682,0.23333333333333334,monte_carlo,100000,0.017439825601743984,positive values favour the locked weather model
trading_net_payoff,Locked strategy net payoff,holdout,10,0.05645,0.0769649433183706,-0.06955,0.2105,0.0,0.2,exact,1024,0.75,positive values favour the locked trading strategy
trading_net_payoff,Locked strategy net payoff,external_test,30,-0.019366666666666664,0.04753676697630359,-0.09878333333333332,0.07898333333333332,-0.09499999999999995,0.1,monte_carlo,100000,0.6865931340686593,positive values favour the locked trading strategy
