chronology_block,calendar_dates,market_supported_dates,market_unsupported_dates,selected_strategy,selected_rule,edge_threshold,cost_per_trade,trade_count,trade_share_all_calendar_dates,cumulative_gross_payoff,cumulative_net_payoff,mean_calendar_date_net_payoff,standard_error_calendar_date_net_payoff,mean_supported_date_net_payoff,trade_win_share,maximum_drawdown_net_payoff
holdout,10,10,0,24h_prior__tau_0.075,24h_prior,0.075,0.01,4,0.4,0.6045,0.5645,0.05645,0.0769649433183706,0.05645,0.5,-0.32500000000000007
external_test,30,27,3,24h_prior__tau_0.075,24h_prior,0.075,0.01,26,0.8666666666666667,-0.3210000000000002,-0.5810000000000003,-0.019366666666666678,0.04753676697630359,-0.021518518518518524,0.11538461538461539,-1.1219999999999999
