signal_model,decision_rule,threshold,split,transaction_cost,support_dates,trade_count,no_trade_dates,winning_trades,losing_trades,flat_trades,hit_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_daily_net_pnl,standard_error_daily_net_pnl,daily_pnl_standard_deviation,downside_deviation,mean_to_volatility_ratio,mean_to_downside_ratio,mean_trade_net_pnl,median_trade_net_pnl,minimum_trade_net_pnl,maximum_trade_net_pnl,total_entry_cash,return_on_entry_cash,profit_factor,maximum_drawdown,break_even_cost_per_trade
matern,event_day_open,0.12,development,0.0,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.0,4.914999999999999,0.078015873015873,0.039155194855991934,0.31078472437569055,0.06049429331606018,0.25102866034549337,1.2896402080154747,0.1170238095238095,-0.0345,-0.315,0.9825,3.085,1.5931928687196109,3.461808164287503,0.5459999999999998,0.1170238095238095
matern,event_day_open,0.12,development,0.0025,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.105,4.8100000000000005,0.07634920634920636,0.039128691324357694,0.31057435911498316,0.061817351291000175,0.24583229139318544,1.2350772842045377,0.11452380952380954,-0.037000000000000005,-0.3175,0.9800000000000001,3.19,1.5078369905956115,3.3108335335094883,0.5660000000000003,0.1170238095238095
matern,event_day_open,0.12,development,0.005,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.21,4.704999999999999,0.07468253968253967,0.03910274271928271,0.31036839844729086,0.06316610126647322,0.24062546334021448,1.182319918202377,0.11202380952380953,-0.0395,-0.32,0.9775,3.295,1.4279210925644914,3.171705515808908,0.5929999999999997,0.1170238095238095
matern,event_day_open,0.12,development,0.01,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.42,4.494999999999999,0.07134920634920634,0.03905251468983363,0.30996972582298954,0.06593434083683027,0.23018120934155623,1.0821251178619713,0.10702380952380952,-0.044500000000000005,-0.325,0.9725,3.5050000000000003,1.2824536376604847,2.9238176760111276,0.6630000000000003,0.1170238095238095
matern,event_day_open,0.12,development,0.015,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.63,4.284999999999999,0.068015873015873,0.039004519359921094,0.30958877470186635,0.06878737079546202,0.21969747798954342,0.9887843106857064,0.10202380952380954,-0.0495,-0.33,0.9675,3.7150000000000003,1.1534320323014802,2.7095551565928577,0.7329999999999997,0.1170238095238095
matern,event_day_open,0.12,development,0.02,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.84,4.075,0.06468253968253969,0.03895876498128222,0.3092256105800541,0.07171507224636665,0.20917588152289962,0.9019378724228607,0.09702380952380955,-0.05450000000000001,-0.335,0.9625,3.925,1.0382165605095541,2.5225107416402013,0.8030000000000002,0.1170238095238095
matern,event_day_open,0.12,development,0.03,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,1.26,3.6550000000000002,0.05801587301587302,0.03887401034125536,0.3085528914801445,0.07776054514310185,0.1880256987305088,0.7460836714699861,0.08702380952380953,-0.0645,-0.345,0.9525,4.345,0.8411967779056387,2.2116691529918784,0.9429999999999998,0.1170238095238095
matern,event_day_open,0.12,june_external,0.0,30,16,14,1,15,0,0.0625,0.18349999999999989,0.0,0.18349999999999989,0.006116666666666663,0.03286131327201768,0.17998882548327985,0.03982492937846846,0.033983591204859956,0.15358888922408656,0.01146875,-0.04525,-0.095,0.945,0.8165,0.22473974280465386,1.2409717662508206,0.6664999999999999,0.011468749999999993
matern,event_day_open,0.12,june_external,0.0025,30,16,14,1,15,0,0.0625,0.18349999999999989,0.04,0.14350000000000002,0.004783333333333334,0.0328546405278548,0.1799522773582951,0.04142543502085001,0.02658112141481515,0.11546851181950929,0.008968750000000004,-0.04775,-0.0975,0.9425,0.8565,0.1675423234092236,1.1795994993742178,0.6990000000000001,0.011468749999999993
matern,event_day_open,0.12,june_external,0.005,30,16,14,1,15,0,0.0625,0.18349999999999989,0.08,0.10349999999999998,0.0034499999999999995,0.032849599360736795,0.1799246657488283,0.04303903267190532,0.019174691728015433,0.08015979416405572,0.006468749999999995,-0.050249999999999996,-0.1,0.94,0.8965000000000002,0.11544896820970436,1.1237298266586968,0.7314999999999998,0.011468749999999993
