target_date,decision_rule,split,event_order,probability_raw_market,probability_raw_matern,probability_raw_raw,probability_raw_static,probability_normalised_market,probability_normalised_matern,probability_normalised_raw,probability_normalised_static,event_label_variant_count,event_label,event_label_selected_from_model,event_label_is_hex_identifier,event_lower_bound_c,event_upper_bound_c,outcome,signal_model,model_probability,market_probability_raw,market_probability_normalised,signal_gap,gross_pnl_if_traded,model_implied_gross_edge,rule_order,model_order,threshold,transaction_cost,trade,gross_pnl,net_pnl,entry_cash,model_implied_expected_net_payoff,realised_minus_model_expected,cumulative_net_pnl,running_peak,drawdown
2026-03-22,event_day_open,development,9,0.215,0.3057419896137552,0.0,0.2735093448499812,0.1866319444444444,0.3057419896137553,0.0,0.2735093448499813,2,Will the highest temperature in Hong Kong be 25°C on March 22?,raw,False,25.0,26.0,1.0,matern,0.3057419896137553,0.215,0.1866319444444444,0.09074198961375532,0.785,0.09074198961375532,3,2,0.12,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,event_day_open,development,7,0.0135,0.0411631899691499,0.0,0.0253768955305336,0.0104206869934388,0.0411631899691499,0.0,0.0253768955305336,2,Will the highest temperature in Hong Kong be 24°C on March 23?,raw,False,24.0,25.0,0.0,matern,0.0411631899691499,0.0135,0.0104206869934388,0.027663189969149904,-0.0135,0.027663189969149904,3,2,0.12,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,event_day_open,development,8,0.145,0.2360290689579414,1.0,0.1826098945498908,0.1381610290614578,0.2360290689579414,1.0,0.1826098945498908,2,Will the highest temperature in Hong Kong be 25°C on March 24?,raw,False,25.0,26.0,0.0,matern,0.2360290689579414,0.145,0.1381610290614578,0.09102906895794141,-0.145,0.09102906895794141,3,2,0.12,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,event_day_open,development,11,0.0335,0.1550642327597275,0.0,0.2403552460142103,0.0341314314824248,0.1550642327597275,0.0,0.2403552460142103,2,Will the highest temperature in Hong Kong be 28°C or higher on March 26?,raw,False,28.0,inf,1.0,matern,0.1550642327597275,0.0335,0.0341314314824248,0.1215642327597275,0.9665,0.1215642327597275,3,2,0.12,0.01,True,0.9665,0.9565,0.043500000000000004,0.1115642327597275,0.8449357672402725,0.9565,0.9565,0.0
2026-03-27,event_day_open,development,8,0.0175,0.2365062260278569,1.0,0.1944128754108576,0.0166666666666666,0.2365062260278569,1.0,0.1944128754108576,2,Will the highest temperature in Hong Kong be 26°C on March 27?,raw,False,26.0,27.0,1.0,matern,0.2365062260278569,0.0175,0.0166666666666666,0.2190062260278569,0.9825,0.2190062260278569,3,2,0.12,0.01,True,0.9825,0.9725,0.027500000000000004,0.2090062260278569,0.7634937739721431,1.929,1.929,0.0
2026-03-28,event_day_open,development,8,0.095,0.1736918184592255,1.0,0.135285485265521,0.0903471231573942,0.1736918184592255,1.0,0.135285485265521,2,Will the highest temperature in Hong Kong be 25°C on March 28?,raw,False,25.0,26.0,0.0,matern,0.1736918184592255,0.095,0.0903471231573942,0.07869181845922549,-0.095,0.07869181845922549,3,2,0.12,0.01,False,0.0,0.0,0.0,0.0,0.0,1.929,1.929,0.0
2026-03-29,event_day_open,development,8,0.115,0.2919758589671601,0.0,0.2771523959005345,0.1129111438389789,0.2919758589671603,0.0,0.2771523959005346,2,Will the highest temperature in Hong Kong be 26°C on March 29?,raw,False,26.0,27.0,0.0,matern,0.2919758589671603,0.115,0.1129111438389789,0.17697585896716028,-0.115,0.17697585896716028,3,2,0.12,0.01,True,-0.115,-0.125,0.125,0.16697585896716027,-0.2919758589671603,1.804,1.929,-0.125
2026-04-02,event_day_open,development,6,0.028,0.1947693353054276,1.0,0.2059583236891147,0.0264026402640264,0.1947693353054276,1.0,0.2059583236891148,2,Will the highest temperature in Hong Kong be 23°C on April 2?,raw,False,23.0,24.0,0.0,matern,0.1947693353054276,0.028,0.0264026402640264,0.1667693353054276,-0.028,0.1667693353054276,3,2,0.12,0.01,True,-0.028,-0.038,0.038,0.15676933530542758,-0.1947693353054276,1.766,1.929,-0.16300000000000003
2026-04-03,event_day_open,development,10,0.055,0.115251006972334,0.0,0.1394258529760187,0.0581088219756999,0.115251006972334,0.0,0.1394258529760187,2,Will the highest temperature in Hong Kong be 28°C on April 3?,raw,False,28.0,29.0,0.0,matern,0.115251006972334,0.055,0.0581088219756999,0.060251006972333994,-0.055,0.060251006972333994,3,2,0.12,0.01,False,0.0,0.0,0.0,0.0,0.0,1.766,1.929,-0.16300000000000003
2026-04-04,event_day_open,development,5,0.033,0.1908459512801971,1.0,0.2059583236891147,0.0317307692307692,0.1908459512801971,1.0,0.2059583236891148,2,Will the highest temperature in Hong Kong be 23°C on April 4?,raw,False,23.0,24.0,0.0,matern,0.1908459512801971,0.033,0.0317307692307692,0.1578459512801971,-0.033,0.1578459512801971,3,2,0.12,0.01,True,-0.033,-0.043000000000000003,0.043000000000000003,0.1478459512801971,-0.1908459512801971,1.723,1.929,-0.20599999999999996
2026-04-05,event_day_open,development,6,0.015,0.180456711028848,1.0,0.1706777448452857,0.0129198966408268,0.180456711028848,1.0,0.1706777448452857,2,Will the highest temperature in Hong Kong be 24°C on April 5?,raw,False,24.0,25.0,0.0,matern,0.180456711028848,0.015,0.0129198966408268,0.165456711028848,-0.015,0.165456711028848,3,2,0.12,0.01,True,-0.015,-0.025,0.025,0.155456711028848,-0.180456711028848,1.698,1.929,-0.2310000000000001
2026-04-06,event_day_open,development,10,0.07,0.1412088037822243,0.0,0.1630170303970234,0.0720535254760679,0.1412088037822243,0.0,0.1630170303970234,2,Will the highest temperature in Hong Kong be 29°C on April 6?,raw,False,29.0,30.0,0.0,matern,0.1412088037822243,0.07,0.0720535254760679,0.0712088037822243,-0.07,0.0712088037822243,3,2,0.12,0.01,False,0.0,0.0,0.0,0.0,0.0,1.698,1.929,-0.2310000000000001
2026-04-07,event_day_open,development,11,0.175,0.3502987865186435,0.0,0.3919144294986013,0.1456512692467748,0.3502987865186435,0.0,0.3919144294986014,2,Will the highest temperature in Hong Kong be 30°C or higher on April 7?,raw,False,30.0,inf,0.0,matern,0.3502987865186435,0.175,0.1456512692467748,0.1752987865186435,-0.175,0.1752987865186435,3,2,0.12,0.01,True,-0.175,-0.185,0.185,0.1652987865186435,-0.3502987865186435,1.5130000000000001,1.929,-0.4159999999999999
2026-04-08,event_day_open,development,7,0.045,0.247436612286592,0.0,0.2377204893592511,0.0460122699386503,0.247436612286592,0.0,0.2377204893592512,2,Will the highest temperature in Hong Kong be 25°C on April 8?,raw,False,25.0,26.0,0.0,matern,0.247436612286592,0.045,0.0460122699386503,0.202436612286592,-0.045,0.202436612286592,3,2,0.12,0.01,True,-0.045,-0.055,0.055,0.19243661228659198,-0.247436612286592,1.458,1.929,-0.4710000000000001
