signal_model,decision_rule,threshold,transaction_cost,split,support_dates,trade_count,no_trade_dates,winning_trades,losing_trades,flat_trades,hit_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_daily_net_pnl,standard_error_daily_net_pnl,daily_pnl_standard_deviation,downside_deviation,mean_to_volatility_ratio,mean_to_downside_ratio,mean_trade_net_pnl,median_trade_net_pnl,minimum_trade_net_pnl,maximum_trade_net_pnl,total_entry_cash,return_on_entry_cash,profit_factor,maximum_drawdown,break_even_cost_per_trade
raw,event_day_open,0.12,0.01,development,63,63,0,5,58,0,0.07936507936507936,-2.5574999999999997,0.63,-3.1874999999999996,-0.05059523809523809,0.03445940838968635,0.27351307477656844,0.17307324809556562,-0.18498288660082923,-0.2923342495271192,-0.05059523809523809,-0.044500000000000005,-0.505,0.9725,8.1875,-0.38931297709923657,0.5383779869659667,3.7940000000000005,-0.04059523809523809
raw,event_day_open,0.12,0.01,june_external,30,30,0,2,28,0,0.06666666666666667,-1.5075000000000003,0.3,-1.8075,-0.060250000000000005,0.04872766066407358,0.2668923892017026,0.16292040490169835,-0.22574641480115928,-0.369812486265015,-0.060250000000000005,-0.0615,-0.395,0.9349999999999999,3.8075,-0.4747209455022981,0.4764663287472845,2.465,-0.05025000000000001
static,event_day_open,0.12,0.01,development,63,45,18,7,38,0,0.15555555555555556,3.9150000000000005,0.45,3.4650000000000003,0.05500000000000001,0.03671923337073307,0.2914498794957111,0.06010232676477411,0.18871169236770732,0.9151060027219351,0.07700000000000001,-0.045000000000000005,-0.185,0.9725,3.5349999999999997,0.9801980198019804,2.393525035190027,0.8440000000000003,0.08700000000000001
static,event_day_open,0.12,0.01,june_external,30,16,14,1,15,0,0.0625,0.18349999999999989,0.16,0.023499999999999917,0.0007833333333333305,0.032844414519581554,0.1798962672042502,0.04630001799855662,0.004354361241103193,0.0169186399313657,0.0014687499999999978,-0.05525,-0.105,0.9349999999999999,0.9765,0.024065540194572365,1.0257816785518374,0.7964999999999999,0.011468749999999993
matern,event_day_open,0.12,0.01,development,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.42,4.494999999999999,0.07134920634920634,0.03905251468983363,0.30996972582298954,0.06593434083683027,0.23018120934155623,1.0821251178619713,0.10702380952380952,-0.044500000000000005,-0.325,0.9725,3.5050000000000003,1.2824536376604847,2.9238176760111276,0.6630000000000003,0.1170238095238095
matern,event_day_open,0.12,0.01,june_external,30,16,14,1,15,0,0.0625,0.18349999999999989,0.16,0.023499999999999917,0.0007833333333333305,0.032844414519581554,0.1798962672042502,0.04630001799855662,0.004354361241103193,0.0169186399313657,0.0014687499999999978,-0.05525,-0.105,0.9349999999999999,0.9765,0.024065540194572365,1.0257816785518374,0.7964999999999999,0.011468749999999993
