target_date,split,event_order_matern,event_order_raw,event_order_static,net_pnl_matern,net_pnl_raw,net_pnl_static,signal_gap_matern,signal_gap_raw,signal_gap_static,trade_matern,trade_raw,trade_static,static_minus_raw_net_pnl,matern_minus_static_net_pnl,matern_minus_raw_net_pnl,static_changes_trade_decision,matern_changes_trade_decision_vs_static,static_changes_selected_event,matern_changes_selected_event_vs_static
2026-03-22,development,9,8,11,0.0,-0.44,-0.0715,0.09074198961375532,0.5700000000000001,0.136504798894767,False,True,True,0.3685,0.0715,0.44,False,True,True,True
2026-03-23,development,7,9,11,0.0,-0.41000000000000003,0.0,0.027663189969149904,0.6,0.06691442949860138,False,True,False,0.41000000000000003,0.0,0.41000000000000003,True,False,True,True
2026-03-24,development,8,8,7,0.0,-0.155,0.0,0.09102906895794141,0.855,0.0563685484736068,False,True,False,0.155,0.0,0.155,True,False,True,True
2026-03-26,development,11,8,11,0.9565,-0.131,0.9565,0.1215642327597275,0.879,0.2068552460142103,True,True,True,1.0875,0.0,1.0875,False,False,True,False
2026-03-27,development,8,8,8,0.9725,0.9725,0.9725,0.2190062260278569,0.9825,0.1769128754108576,True,True,True,0.0,0.0,0.0,False,False,False,False
2026-03-28,development,8,8,11,0.0,-0.105,-0.17500000000000002,0.07869181845922549,0.905,0.12221094097339799,False,True,True,-0.07000000000000002,0.17500000000000002,0.105,False,True,True,True
2026-03-29,development,8,7,8,-0.125,0.875,-0.125,0.17697585896716028,0.885,0.1621523959005346,True,True,True,-1.0,0.0,-1.0,False,False,True,False
2026-04-02,development,6,6,6,-0.038,-0.038,-0.038,0.1667693353054276,0.972,0.1779583236891148,True,True,True,0.0,0.0,0.0,False,False,False,False
2026-04-03,development,10,7,10,0.0,-0.19,0.0,0.060251006972333994,0.8200000000000001,0.0844258529760187,False,True,False,0.19,0.0,0.19,True,False,True,False
2026-04-04,development,5,5,5,-0.043000000000000003,-0.043000000000000003,-0.043000000000000003,0.1578459512801971,0.967,0.1729583236891148,True,True,True,0.0,0.0,0.0,False,False,False,False
2026-04-05,development,6,6,6,-0.025,-0.025,-0.025,0.165456711028848,0.985,0.15567774484528568,True,True,True,0.0,0.0,0.0,False,False,False,False
