mean_shift_c,split,signal_model,decision_rule,threshold,transaction_cost,selected_event_switch_fraction,trade_decision_switch_fraction,support_dates,trade_count,no_trade_dates,winning_trades,losing_trades,flat_trades,hit_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_daily_net_pnl,standard_error_daily_net_pnl,daily_pnl_standard_deviation,downside_deviation,mean_to_volatility_ratio,mean_to_downside_ratio,mean_trade_net_pnl,median_trade_net_pnl,minimum_trade_net_pnl,maximum_trade_net_pnl,total_entry_cash,return_on_entry_cash,profit_factor,maximum_drawdown,break_even_cost_per_trade
-1.0,development,matern_shifted_mean,event_day_open,0.12,0.01,0.5079365079365079,0.3968253968253968,63,55,8,2,53,0,0.03636363636363636,-0.22949999999999987,0.55,-0.7794999999999999,-0.01237301587301587,0.0182472738119591,0.14483324583403606,0.04528866847306831,-0.08542939020502288,-0.27320334843524263,-0.014172727272727274,-0.032,-0.125,0.9725,2.7795,-0.2804461234034898,0.6515422440768888,1.6780000000000002,-0.004172727272727271
-1.0,june_external,matern_shifted_mean,event_day_open,0.12,0.01,0.36666666666666664,0.36666666666666664,30,27,3,1,26,0,0.037037037037037035,0.004499999999999976,0.27,-0.2655,-0.00885,0.03283935253187315,0.17986854155571316,0.04702933481704087,-0.04920260054067747,-0.18818042046372388,-0.009833333333333336,-0.0425,-0.08399999999999999,0.9349999999999999,1.2655,-0.20979849861714736,0.7788421491045397,0.992,0.0001666666666666658
-0.5,development,matern_shifted_mean,event_day_open,0.12,0.01,0.2857142857142857,0.36507936507936506,63,53,10,3,50,0,0.05660377358490566,0.2669999999999999,0.53,-0.2630000000000002,-0.004174603174603177,0.023326590420075982,0.18514907155974825,0.0534318658266234,-0.022547254163551224,-0.07812946656493334,-0.004962264150943393,-0.044500000000000005,-0.131,0.9725,3.2630000000000003,-0.08060067422617229,0.8986707763436718,1.8464999999999998,0.005037735849056602
-0.5,june_external,matern_shifted_mean,event_day_open,0.12,0.01,0.2,0.23333333333333334,30,21,9,1,20,0,0.047619047619047616,0.040999999999999884,0.21,-0.16900000000000004,-0.005633333333333335,0.03295951830265872,0.18052671658870564,0.04893328792005158,-0.031204984169560725,-0.11512272264510846,-0.008047619047619057,-0.0545,-0.105,0.9349999999999999,1.169,-0.14456800684345597,0.8469202898550724,0.914,0.0019523809523809468
-0.25,development,matern_shifted_mean,event_day_open,0.12,0.01,0.1746031746031746,0.2698412698412698,63,45,18,3,42,0,0.06666666666666667,0.6755,0.45,0.22549999999999998,0.003579365079365079,0.023285044959911516,0.1848193146926515,0.047915724628420954,0.01936683449626164,0.07470126158213201,0.0050111111111111155,-0.038,-0.13,0.9725,2.7744999999999997,0.08127590556857091,1.1062426383981157,1.0305000000000002,0.01501111111111111
-0.25,june_external,matern_shifted_mean,event_day_open,0.12,0.01,0.13333333333333333,0.1,30,17,13,1,16,0,0.058823529411764705,0.2514999999999999,0.17,0.0814999999999999,0.0027166666666666637,0.03267994115110746,0.178995409464029,0.04287102751276204,0.015177297980999933,0.0633683591058776,0.004794117647058815,-0.0545,-0.105,0.9349999999999999,0.9185,0.08873162765378324,1.0954891622729934,0.7384999999999999,0.014794117647058817
-0.1,development,matern_shifted_mean,event_day_open,0.12,0.01,0.09523809523809523,0.1111111111111111,63,41,22,4,37,0,0.0975609756097561,1.548,0.41000000000000003,1.1380000000000001,0.018063492063492066,0.026875129626292828,0.2133147283313852,0.05073765390525584,0.08468000407093487,0.356017487470403,0.027756097560975607,-0.044500000000000005,-0.185,0.9725,2.862,0.3976240391334731,1.5551219512195118,1.2800000000000002,0.03775609756097561
-0.1,june_external,matern_shifted_mean,event_day_open,0.12,0.01,0.03333333333333333,0.0,30,16,14,1,15,0,0.0625,0.18349999999999989,0.16,0.023499999999999917,0.0007833333333333305,0.032844414519581554,0.1798962672042502,0.04630001799855662,0.004354361241103193,0.0169186399313657,0.0014687499999999978,-0.05525,-0.105,0.9349999999999999,0.9765,0.024065540194572365,1.0257816785518374,0.7964999999999999,0.011468749999999993
0.0,development,matern_shifted_mean,event_day_open,0.12,0.01,0.0,0.0,63,42,21,8,34,0,0.19047619047619047,4.914999999999999,0.42,4.494999999999999,0.07134920634920634,0.03905251468983363,0.30996972582298954,0.06593434083683027,0.23018120934155623,1.0821251178619713,0.10702380952380952,-0.044500000000000005,-0.325,0.9725,3.5050000000000003,1.2824536376604847,2.9238176760111276,0.6630000000000003,0.1170238095238095
0.0,june_external,matern_shifted_mean,event_day_open,0.12,0.01,0.0,0.0,30,16,14,1,15,0,0.0625,0.18349999999999989,0.16,0.023499999999999917,0.0007833333333333305,0.032844414519581554,0.1798962672042502,0.04630001799855662,0.004354361241103193,0.0169186399313657,0.0014687499999999978,-0.05525,-0.105,0.9349999999999999,0.9765,0.024065540194572365,1.0257816785518374,0.7964999999999999,0.011468749999999993
