split,omitted_target_date,omitted_event_order,omitted_outcome,omitted_net_pnl,remaining_total_net_pnl,sign_preserved
development,2026-03-26,11,1.0,0.9565,3.5385,True
development,2026-03-27,8,1.0,0.9725,3.5225,True
development,2026-03-29,8,0.0,-0.125,4.62,True
development,2026-04-02,6,0.0,-0.038,4.533,True
development,2026-04-04,5,0.0,-0.043000000000000003,4.538,True
development,2026-04-05,6,0.0,-0.025,4.5200000000000005,True
development,2026-04-07,11,0.0,-0.185,4.68,True
development,2026-04-08,7,0.0,-0.055,4.55,True
development,2026-04-09,9,0.0,-0.09,4.585,True
development,2026-04-10,8,0.0,-0.065,4.5600000000000005,True
development,2026-04-11,8,1.0,0.869,3.6260000000000003,True
development,2026-04-14,8,0.0,-0.061,4.556,True
development,2026-04-15,8,0.0,-0.044500000000000005,4.5395,True
development,2026-04-16,8,0.0,-0.125,4.62,True
development,2026-04-17,7,0.0,-0.059500000000000004,4.5545,True
development,2026-04-18,11,0.0,-0.031,4.526,True
development,2026-04-22,7,0.0,-0.0225,4.5175,True
development,2026-04-23,5,0.0,-0.012,4.507,True
development,2026-04-24,5,0.0,-0.09,4.585,True
development,2026-04-25,9,0.0,-0.045000000000000005,4.54,True
development,2026-04-26,7,0.0,-0.060000000000000005,4.555,True
development,2026-04-27,7,0.0,-0.032,4.527,True
development,2026-05-01,6,0.0,-0.0375,4.5325,True
development,2026-05-02,6,0.0,-0.02,4.515,True
development,2026-05-03,11,0.0,-0.023,4.518,True
development,2026-05-04,11,1.0,0.485,4.01,True
development,2026-05-05,6,1.0,0.88,3.615,True
development,2026-05-06,5,0.0,-0.049,4.5440000000000005,True
development,2026-05-07,8,1.0,0.938,3.5570000000000004,True
development,2026-05-08,11,0.0,-0.027500000000000004,4.5225,True
development,2026-05-09,8,0.0,-0.0175,4.5125,True
development,2026-05-10,7,0.0,-0.09,4.585,True
development,2026-05-12,11,1.0,0.84,3.6550000000000002,True
development,2026-05-13,9,0.0,-0.08,4.575,True
development,2026-05-15,11,0.0,-0.325,4.82,True
development,2026-05-16,7,1.0,0.8905,3.6045000000000003,True
development,2026-05-21,7,0.0,-0.11499999999999999,4.61,True
development,2026-05-23,7,0.0,-0.0765,4.5715,True
development,2026-05-25,8,0.0,-0.06999999999999999,4.565,True
development,2026-05-26,8,0.0,-0.044500000000000005,4.5395,True
development,2026-05-30,11,0.0,-0.08,4.575,True
development,2026-05-31,8,0.0,-0.0725,4.5675,True
june_external,2026-06-01,7,0.0,-0.04,0.06349999999999997,True
june_external,2026-06-03,9,0.0,-0.075,0.09849999999999996,True
june_external,2026-06-06,3,1.0,0.9349999999999999,-0.9115,False
june_external,2026-06-07,4,0.0,-0.019,0.04249999999999997,True
june_external,2026-06-08,5,0.0,-0.105,0.12849999999999995,True
june_external,2026-06-09,9,0.0,-0.08399999999999999,0.10749999999999996,True
june_external,2026-06-14,6,0.0,-0.105,0.12849999999999995,True
june_external,2026-06-16,4,0.0,-0.063,0.08649999999999997,True
june_external,2026-06-20,6,0.0,-0.0545,0.07799999999999996,True
june_external,2026-06-21,5,0.0,-0.027999999999999997,0.05149999999999996,True
june_external,2026-06-22,6,0.0,-0.05,0.07349999999999997,True
june_external,2026-06-23,6,0.0,-0.0395,0.06299999999999997,True
june_external,2026-06-24,6,0.0,-0.068,0.09149999999999997,True
june_external,2026-06-25,8,0.0,-0.0495,0.07299999999999997,True
june_external,2026-06-28,5,0.0,-0.075,0.09849999999999996,True
june_external,2026-06-30,4,0.0,-0.056,0.07949999999999996,True
