strategy_id,model,decision_rule,rule_filter,side_mode,top_k,sizing_rule,ranking_signal,edge_threshold,stability_filter,execution_track,complexity_score,dates,total_net_pnl,mean_daily_net_pnl,daily_pnl_sd,sharpe,opportunity_annualised_sharpe,probabilistic_sharpe_vs_zero,maximum_drawdown,expected_shortfall_5pct,positive_date_fraction,active_dates,position_count,mean_positions_per_active_date,total_entry_cash,return_on_entry_cash,profit_factor_date_level,gross_pnl_before_cost,break_even_cost_per_position,threshold_distance,top_k_distance
S040541,matern,24h_prior,none,short_only,1,one_share,edge,0.2,robust_0.10c,includes_synthetic_short_yes,1,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,inf,5.659999999999999,0.40428571428571425,0.0,0
S041081,matern,24h_prior,none,short_only,2,one_share,edge,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,4.875,0.05025773195876289,0.14414144372445098,0.3486695474955728,6.6613223516828945,0.9999991893952922,0.3400000000000001,-0.004047619047619048,0.13402061855670103,14,15,1.0714285714285714,9.125,0.5342465753424658,15.338235294117645,5.025,0.335,0.0,1
S041621,matern,24h_prior,none,short_only,3,one_share,edge,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,4.875,0.05025773195876289,0.14414144372445098,0.3486695474955728,6.6613223516828945,0.9999991893952922,0.3400000000000001,-0.004047619047619048,0.13402061855670103,14,15,1.0714285714285714,9.125,0.5342465753424658,15.338235294117645,5.025,0.335,0.0,2
S042161,matern,24h_prior,none,short_only,5,one_share,edge,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,4.875,0.05025773195876289,0.14414144372445098,0.3486695474955728,6.6613223516828945,0.9999991893952922,0.3400000000000001,-0.004047619047619048,0.13402061855670103,14,15,1.0714285714285714,9.125,0.5342465753424658,15.338235294117645,5.025,0.335,0.0,4
S042701,matern,24h_prior,none,short_only,11,one_share,edge,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,4.875,0.05025773195876289,0.14414144372445098,0.3486695474955728,6.6613223516828945,0.9999991893952922,0.3400000000000001,-0.004047619047619048,0.13402061855670103,14,15,1.0714285714285714,9.125,0.5342465753424658,15.338235294117645,5.025,0.335,0.0,10
S040538,matern,24h_prior,none,short_only,1,one_share,edge,0.18,robust_0.10c,includes_synthetic_short_yes,1,97,2.775,0.02860824742268041,0.24456034346953748,0.11697827626842479,2.2348668301125123,0.8600163323089688,0.895,-0.676,0.1958762886597938,26,26,1.0,16.225,0.1710323574730354,1.6119073869900773,3.035,0.11673076923076924,0.020000000000000018,0
S041078,matern,24h_prior,none,short_only,2,one_share,edge,0.18,robust_0.10c,includes_synthetic_short_yes,2,97,1.4549999999999994,0.014999999999999994,0.24302777619029478,0.06172133998483673,1.1791845447071416,0.7215240963801591,1.0550000000000002,-0.676,0.17525773195876287,26,28,1.0769230769230769,17.545,0.08292960957537755,1.2852941176470587,1.7349999999999994,0.061964285714285694,0.020000000000000018,1
S041618,matern,24h_prior,none,short_only,3,one_share,edge,0.18,robust_0.10c,includes_synthetic_short_yes,2,97,1.4549999999999994,0.014999999999999994,0.24302777619029478,0.06172133998483673,1.1791845447071416,0.7215240963801591,1.0550000000000002,-0.676,0.17525773195876287,26,28,1.0769230769230769,17.545,0.08292960957537755,1.2852941176470587,1.7349999999999994,0.061964285714285694,0.020000000000000018,2
S042158,matern,24h_prior,none,short_only,5,one_share,edge,0.18,robust_0.10c,includes_synthetic_short_yes,2,97,1.4549999999999994,0.014999999999999994,0.24302777619029478,0.06172133998483673,1.1791845447071416,0.7215240963801591,1.0550000000000002,-0.676,0.17525773195876287,26,28,1.0769230769230769,17.545,0.08292960957537755,1.2852941176470587,1.7349999999999994,0.061964285714285694,0.020000000000000018,4
S042698,matern,24h_prior,none,short_only,11,one_share,edge,0.18,robust_0.10c,includes_synthetic_short_yes,2,97,1.4549999999999994,0.014999999999999994,0.24302777619029478,0.06172133998483673,1.1791845447071416,0.7215240963801591,1.0550000000000002,-0.676,0.17525773195876287,26,28,1.0769230769230769,17.545,0.08292960957537755,1.2852941176470587,1.7349999999999994,0.061964285714285694,0.020000000000000018,10
S040544,matern,24h_prior,none,short_only,1,one_share,edge,0.25,robust_0.10c,includes_synthetic_short_yes,1,97,2.075,0.021391752577319588,0.09259494639524418,0.23102505493127323,4.413727477109251,0.9999921456133325,0.0,0.0,0.05154639175257732,5,5,1.0,2.925,0.7094017094017095,inf,2.125,0.425,0.04999999999999999,0
S041084,matern,24h_prior,none,short_only,2,one_share,edge,0.25,robust_0.10c,includes_synthetic_short_yes,2,97,2.075,0.021391752577319588,0.09259494639524418,0.23102505493127323,4.413727477109251,0.9999921456133325,0.0,0.0,0.05154639175257732,5,5,1.0,2.925,0.7094017094017095,inf,2.125,0.425,0.04999999999999999,1
S041624,matern,24h_prior,none,short_only,3,one_share,edge,0.25,robust_0.10c,includes_synthetic_short_yes,2,97,2.075,0.021391752577319588,0.09259494639524418,0.23102505493127323,4.413727477109251,0.9999921456133325,0.0,0.0,0.05154639175257732,5,5,1.0,2.925,0.7094017094017095,inf,2.125,0.425,0.04999999999999999,2
S042164,matern,24h_prior,none,short_only,5,one_share,edge,0.25,robust_0.10c,includes_synthetic_short_yes,2,97,2.075,0.021391752577319588,0.09259494639524418,0.23102505493127323,4.413727477109251,0.9999921456133325,0.0,0.0,0.05154639175257732,5,5,1.0,2.925,0.7094017094017095,inf,2.125,0.425,0.04999999999999999,4
S042704,matern,24h_prior,none,short_only,11,one_share,edge,0.25,robust_0.10c,includes_synthetic_short_yes,2,97,2.075,0.021391752577319588,0.09259494639524418,0.23102505493127323,4.413727477109251,0.9999921456133325,0.0,0.0,0.05154639175257732,5,5,1.0,2.925,0.7094017094017095,inf,2.125,0.425,0.04999999999999999,10
S040535,matern,24h_prior,none,short_only,1,one_share,edge,0.15,robust_0.10c,includes_synthetic_short_yes,1,97,3.815,0.03932989690721649,0.2994731735916106,0.13133028389664841,2.509061550850558,0.8862537296229487,2.1350000000000007,-0.6791666666666667,0.29896907216494845,40,40,1.0,25.185,0.15147905499305142,1.5380818053596612,4.215,0.105375,0.05000000000000002,0
S041075,matern,24h_prior,none,short_only,2,one_share,edge,0.15,robust_0.10c,includes_synthetic_short_yes,2,97,1.5099999999999996,0.015567010309278345,0.3019630878109833,0.05155269282125855,0.9849128134255898,0.6909625022112191,2.8449999999999998,-0.6719999999999999,0.24742268041237114,40,48,1.2,30.490000000000002,0.04952443424073465,1.1853898096992022,1.9899999999999995,0.041458333333333326,0.05000000000000002,1
S041615,matern,24h_prior,none,short_only,3,one_share,edge,0.15,robust_0.10c,includes_synthetic_short_yes,2,97,1.5099999999999996,0.015567010309278345,0.3019630878109833,0.05155269282125855,0.9849128134255898,0.6909625022112191,2.8449999999999998,-0.6719999999999999,0.24742268041237114,40,48,1.2,30.490000000000002,0.04952443424073465,1.1853898096992022,1.9899999999999995,0.041458333333333326,0.05000000000000002,2
S042155,matern,24h_prior,none,short_only,5,one_share,edge,0.15,robust_0.10c,includes_synthetic_short_yes,2,97,1.5099999999999996,0.015567010309278345,0.3019630878109833,0.05155269282125855,0.9849128134255898,0.6909625022112191,2.8449999999999998,-0.6719999999999999,0.24742268041237114,40,48,1.2,30.490000000000002,0.04952443424073465,1.1853898096992022,1.9899999999999995,0.041458333333333326,0.05000000000000002,4
S042695,matern,24h_prior,none,short_only,11,one_share,edge,0.15,robust_0.10c,includes_synthetic_short_yes,2,97,1.5099999999999996,0.015567010309278345,0.3019630878109833,0.05155269282125855,0.9849128134255898,0.6909625022112191,2.8449999999999998,-0.6719999999999999,0.24742268041237114,40,48,1.2,30.490000000000002,0.04952443424073465,1.1853898096992022,1.9899999999999995,0.041458333333333326,0.05000000000000002,10
S040532,matern,24h_prior,none,short_only,1,one_share,edge,0.12,robust_0.10c,includes_synthetic_short_yes,1,97,7.455,0.07685567010309279,0.3434220553758257,0.22379363497485735,4.2755713928280725,0.9739729570275731,2.764999999999999,-0.673125,0.4742268041237113,60,60,1.0,38.545,0.19341029964976,1.8260387811634344,8.055,0.13425,0.08000000000000002,0
S041072,matern,24h_prior,none,short_only,2,one_share,edge,0.12,robust_0.10c,includes_synthetic_short_yes,2,97,5.19,0.05350515463917526,0.3523116850328029,0.15186880512973483,2.9014494480534516,0.9241826342107811,2.7150000000000007,-0.662,0.3917525773195876,60,80,1.3333333333333333,52.81,0.09827684150729028,1.5038834951456308,5.99,0.074875,0.08000000000000002,1
S041612,matern,24h_prior,none,short_only,3,one_share,edge,0.12,robust_0.10c,includes_synthetic_short_yes,2,97,4.79,0.049381443298969076,0.35407174541618236,0.13946733660130162,2.6645197244927985,0.9077756250772386,2.7150000000000007,-0.662,0.38144329896907214,60,82,1.3666666666666667,54.21000000000001,0.08836008116583655,1.4579349904397707,5.61,0.06841463414634147,0.08000000000000002,2
S042152,matern,24h_prior,none,short_only,5,one_share,edge,0.12,robust_0.10c,includes_synthetic_short_yes,2,97,4.79,0.049381443298969076,0.35407174541618236,0.13946733660130162,2.6645197244927985,0.9077756250772386,2.7150000000000007,-0.662,0.38144329896907214,60,82,1.3666666666666667,54.21000000000001,0.08836008116583655,1.4579349904397707,5.61,0.06841463414634147,0.08000000000000002,4
S042692,matern,24h_prior,none,short_only,11,one_share,edge,0.12,robust_0.10c,includes_synthetic_short_yes,2,97,4.79,0.049381443298969076,0.35407174541618236,0.13946733660130162,2.6645197244927985,0.9077756250772386,2.7150000000000007,-0.662,0.38144329896907214,60,82,1.3666666666666667,54.21000000000001,0.08836008116583655,1.4579349904397707,5.61,0.06841463414634147,0.08000000000000002,10
S040529,matern,24h_prior,none,short_only,1,one_share,edge,0.1,robust_0.10c,includes_synthetic_short_yes,1,97,7.4449999999999985,0.07675257731958761,0.37032786799132006,0.20725574269065425,3.9596154043748943,0.9654151224650783,2.889999999999999,-0.6849999999999999,0.5463917525773195,70,70,1.0,45.555,0.16342882230271097,1.6780510018214936,8.144999999999998,0.11635714285714283,0.1,0
S041069,matern,24h_prior,none,short_only,2,one_share,edge,0.1,robust_0.10c,includes_synthetic_short_yes,2,97,5.044999999999999,0.05201030927835051,0.3943736197769129,0.1318808020368386,2.5195791851509908,0.8964191950158773,3.089999999999999,-0.656,0.4329896907216495,70,101,1.4428571428571428,67.955,0.07424030608490911,1.386738213875048,6.054999999999999,0.05995049504950494,0.1,1
S041609,matern,24h_prior,none,short_only,3,one_share,edge,0.1,robust_0.10c,includes_synthetic_short_yes,2,97,4.645,0.04788659793814432,0.39593101977829476,0.12094682039552968,2.3106857592028405,0.8776113567018298,3.0899999999999994,-0.656,0.422680412371134,70,103,1.4714285714285715,69.355,0.0669742628505515,1.3517606967057934,5.675,0.055097087378640774,0.1,2
S042149,matern,24h_prior,none,short_only,5,one_share,edge,0.1,robust_0.10c,includes_synthetic_short_yes,2,97,4.645,0.04788659793814432,0.39593101977829476,0.12094682039552968,2.3106857592028405,0.8776113567018298,3.0899999999999994,-0.656,0.422680412371134,70,103,1.4714285714285715,69.355,0.0669742628505515,1.3517606967057934,5.675,0.055097087378640774,0.1,4
S042689,matern,24h_prior,none,short_only,11,one_share,edge,0.1,robust_0.10c,includes_synthetic_short_yes,2,97,4.645,0.04788659793814432,0.39593101977829476,0.12094682039552968,2.3106857592028405,0.8776113567018298,3.0899999999999994,-0.656,0.422680412371134,70,103,1.4714285714285715,69.355,0.0669742628505515,1.3517606967057934,5.675,0.055097087378640774,0.1,10
