strategy_id,model,decision_rule,rule_filter,side_mode,top_k,sizing_rule,ranking_signal,edge_threshold,stability_filter,execution_track,complexity_score,dates,total_net_pnl,mean_daily_net_pnl,daily_pnl_sd,sharpe,opportunity_annualised_sharpe,probabilistic_sharpe_vs_zero,maximum_drawdown,expected_shortfall_5pct,positive_date_fraction,active_dates,position_count,mean_positions_per_active_date,total_entry_cash,return_on_entry_cash,profit_factor_date_level,gross_pnl_before_cost,break_even_cost_per_position,deflated_sharpe_probability,expected_maximum_sharpe_under_trials
S040541,matern,24h_prior,none,short_only,1,one_share,edge,0.2,robust_0.10c,includes_synthetic_short_yes,1,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040586,matern,24h_prior,none,short_only,1,one_share,roi,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040631,matern,24h_prior,none,short_only,1,one_share,logit_gap,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040676,matern,24h_prior,none,short_only,1,equal_budget,edge,0.2,robust_0.10c,includes_synthetic_short_yes,1,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040721,matern,24h_prior,none,short_only,1,equal_budget,roi,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040766,matern,24h_prior,none,short_only,1,equal_budget,logit_gap,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040811,matern,24h_prior,none,short_only,1,edge_weighted,edge,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040856,matern,24h_prior,none,short_only,1,edge_weighted,roi,0.2,robust_0.10c,includes_synthetic_short_yes,3,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040901,matern,24h_prior,none,short_only,1,edge_weighted,logit_gap,0.2,robust_0.10c,includes_synthetic_short_yes,3,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,,5.659999999999999,0.40428571428571425,0.005008551443359746,0.5551176451244564
S040946,matern,24h_prior,none,short_only,1,quarter_kelly,edge,0.2,robust_0.10c,includes_synthetic_short_yes,2,97,0.8944609700838213,0.009221247114266199,0.02314262556203319,0.3984529365325854,7.612432663772848,0.9999999999973934,0.0,0.0,0.14432989690721648,14,14,1.0,1.396601251874637,0.6404555121823067,,1.0344609700838214,0.07389006929170153,0.0033356596333009437,0.5551176451244564
S040991,matern,24h_prior,none,short_only,1,quarter_kelly,roi,0.2,robust_0.10c,includes_synthetic_short_yes,3,97,0.8944609700838213,0.009221247114266199,0.02314262556203319,0.3984529365325854,7.612432663772848,0.9999999999973934,0.0,0.0,0.14432989690721648,14,14,1.0,1.396601251874637,0.6404555121823067,,1.0344609700838214,0.07389006929170153,0.0033356596333009437,0.5551176451244564
S041036,matern,24h_prior,none,short_only,1,quarter_kelly,logit_gap,0.2,robust_0.10c,includes_synthetic_short_yes,3,97,0.8944609700838213,0.009221247114266199,0.02314262556203319,0.3984529365325854,7.612432663772848,0.9999999999973934,0.0,0.0,0.14432989690721648,14,14,1.0,1.396601251874637,0.6404555121823067,,1.0344609700838214,0.07389006929170153,0.0033356596333009437,0.5551176451244564
S041351,matern,24h_prior,none,short_only,2,edge_weighted,edge,0.2,robust_0.10c,includes_synthetic_short_yes,3,97,5.080150087779458,0.052372681317314,0.13979517819364373,0.37463868206360856,7.15746197097131,0.9999999995910633,0.13484991222054243,-0.0016053560978636007,0.13402061855670103,14,15,1.0714285714285714,8.456850004619971,0.6007142239727766,38.672624357893866,5.2301500877794584,0.34867667251863055,0.0015453203529612108,0.5551176451244564
S041396,matern,24h_prior,none,short_only,2,edge_weighted,roi,0.2,robust_0.10c,includes_synthetic_short_yes,4,97,5.080150087779458,0.052372681317314,0.13979517819364373,0.37463868206360856,7.15746197097131,0.9999999995910633,0.13484991222054243,-0.0016053560978636007,0.13402061855670103,14,15,1.0714285714285714,8.456850004619971,0.6007142239727766,38.672624357893866,5.2301500877794584,0.34867667251863055,0.0015453203529612108,0.5551176451244564
S041441,matern,24h_prior,none,short_only,2,edge_weighted,logit_gap,0.2,robust_0.10c,includes_synthetic_short_yes,4,97,5.080150087779458,0.052372681317314,0.13979517819364373,0.37463868206360856,7.15746197097131,0.9999999995910633,0.13484991222054243,-0.0016053560978636007,0.13402061855670103,14,15,1.0714285714285714,8.456850004619971,0.6007142239727766,38.672624357893866,5.2301500877794584,0.34867667251863055,0.0015453203529612108,0.5551176451244564
S041891,matern,24h_prior,none,short_only,3,edge_weighted,edge,0.2,robust_0.10c,includes_synthetic_short_yes,3,97,5.080150087779458,0.052372681317314,0.13979517819364373,0.37463868206360856,7.15746197097131,0.9999999995910633,0.13484991222054243,-0.0016053560978636007,0.13402061855670103,14,15,1.0714285714285714,8.456850004619971,0.6007142239727766,38.672624357893866,5.2301500877794584,0.34867667251863055,0.0015453203529612108,0.5551176451244564
S041936,matern,24h_prior,none,short_only,3,edge_weighted,roi,0.2,robust_0.10c,includes_synthetic_short_yes,4,97,5.080150087779458,0.052372681317314,0.13979517819364373,0.37463868206360856,7.15746197097131,0.9999999995910633,0.13484991222054243,-0.0016053560978636007,0.13402061855670103,14,15,1.0714285714285714,8.456850004619971,0.6007142239727766,38.672624357893866,5.2301500877794584,0.34867667251863055,0.0015453203529612108,0.5551176451244564
