candidate_role,strategy_id,model,decision_rule,rule_filter,side_mode,top_k,sizing_rule,ranking_signal,edge_threshold,stability_filter,execution_track,complexity_score,dates,total_net_pnl,mean_daily_net_pnl,daily_pnl_sd,sharpe,opportunity_annualised_sharpe,probabilistic_sharpe_vs_zero,maximum_drawdown,expected_shortfall_5pct,positive_date_fraction,active_dates,position_count,mean_positions_per_active_date,total_entry_cash,return_on_entry_cash,profit_factor_date_level
full_sample_oracle_best_sharpe,S040541,matern,24h_prior,none,short_only,1,one_share,edge,0.2,robust_0.10c,includes_synthetic_short_yes,1,97,5.52,0.056907216494845356,0.1407891510434891,0.4042017163472133,7.722262947917668,0.9999999999973505,0.0,0.0,0.14432989690721648,14,14,1.0,8.48,0.6509433962264151,inf
best_observed_price_long_only,S063204,matern,event_day_open,none,long_only,3,one_share,edge,0.08,robust_0.25c,observed_yes_long_only,2,97,9.128,0.09410309278350515,0.3440068278312245,0.2735500727609793,5.226166801992741,0.9997035353260973,1.1840000000000002,-0.2455,0.17525773195876287,67,109,1.626865671641791,7.872,1.1595528455284554,2.917445646465707
future_candidate_after_full_exploration,S051784,matern,12h_prior,none,long_short,1,quarter_kelly,roi,0.15,none,includes_synthetic_short_yes,3,97,0.4084524653030922,0.004210850157763837,0.03490540878101133,0.1206360362138075,2.304748235747966,0.8705186700090228,0.36208031610360014,-0.0841115766651282,0.26804123711340205,55,55,1.0,2.817254880480871,0.14498243241427072,1.4920573165645066
