strategy_id,model,decision_rule,rule_filter,side_mode,top_k,sizing_rule,ranking_signal,edge_threshold,stability_filter,execution_track,complexity_score
S000001,raw,24h_prior,none,long_only,1,one_share,edge,0.01,none,observed_yes_long_only,0
S000002,raw,24h_prior,none,long_only,1,one_share,edge,0.02,none,observed_yes_long_only,0
S000003,raw,24h_prior,none,long_only,1,one_share,edge,0.03,none,observed_yes_long_only,0
S000004,raw,24h_prior,none,long_only,1,one_share,edge,0.04,none,observed_yes_long_only,0
S000005,raw,24h_prior,none,long_only,1,one_share,edge,0.05,none,observed_yes_long_only,0
S000006,raw,24h_prior,none,long_only,1,one_share,edge,0.06,none,observed_yes_long_only,0
S000007,raw,24h_prior,none,long_only,1,one_share,edge,0.07,none,observed_yes_long_only,0
S000008,raw,24h_prior,none,long_only,1,one_share,edge,0.08,none,observed_yes_long_only,0
S000009,raw,24h_prior,none,long_only,1,one_share,edge,0.09,none,observed_yes_long_only,0
S000010,raw,24h_prior,none,long_only,1,one_share,edge,0.1,none,observed_yes_long_only,0
S000011,raw,24h_prior,none,long_only,1,one_share,edge,0.12,none,observed_yes_long_only,0
S000012,raw,24h_prior,none,long_only,1,one_share,edge,0.15,none,observed_yes_long_only,0
S000013,raw,24h_prior,none,long_only,1,one_share,edge,0.18,none,observed_yes_long_only,0
S000014,raw,24h_prior,none,long_only,1,one_share,edge,0.2,none,observed_yes_long_only,0
S000015,raw,24h_prior,none,long_only,1,one_share,edge,0.25,none,observed_yes_long_only,0
S000016,raw,24h_prior,none,long_only,1,one_share,roi,0.01,none,observed_yes_long_only,1
S000017,raw,24h_prior,none,long_only,1,one_share,roi,0.02,none,observed_yes_long_only,1
S000018,raw,24h_prior,none,long_only,1,one_share,roi,0.03,none,observed_yes_long_only,1
S000019,raw,24h_prior,none,long_only,1,one_share,roi,0.04,none,observed_yes_long_only,1
S000020,raw,24h_prior,none,long_only,1,one_share,roi,0.05,none,observed_yes_long_only,1
S000021,raw,24h_prior,none,long_only,1,one_share,roi,0.06,none,observed_yes_long_only,1
S000022,raw,24h_prior,none,long_only,1,one_share,roi,0.07,none,observed_yes_long_only,1
S000023,raw,24h_prior,none,long_only,1,one_share,roi,0.08,none,observed_yes_long_only,1
S000024,raw,24h_prior,none,long_only,1,one_share,roi,0.09,none,observed_yes_long_only,1
S000025,raw,24h_prior,none,long_only,1,one_share,roi,0.1,none,observed_yes_long_only,1
S000026,raw,24h_prior,none,long_only,1,one_share,roi,0.12,none,observed_yes_long_only,1
S000027,raw,24h_prior,none,long_only,1,one_share,roi,0.15,none,observed_yes_long_only,1
S000028,raw,24h_prior,none,long_only,1,one_share,roi,0.18,none,observed_yes_long_only,1
S000029,raw,24h_prior,none,long_only,1,one_share,roi,0.2,none,observed_yes_long_only,1
S000030,raw,24h_prior,none,long_only,1,one_share,roi,0.25,none,observed_yes_long_only,1
S000031,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.01,none,observed_yes_long_only,1
S000032,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.02,none,observed_yes_long_only,1
S000033,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.03,none,observed_yes_long_only,1
S000034,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.04,none,observed_yes_long_only,1
S000035,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.05,none,observed_yes_long_only,1
S000036,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.06,none,observed_yes_long_only,1
S000037,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.07,none,observed_yes_long_only,1
S000038,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.08,none,observed_yes_long_only,1
S000039,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.09,none,observed_yes_long_only,1
S000040,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.1,none,observed_yes_long_only,1
S000041,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.12,none,observed_yes_long_only,1
S000042,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.15,none,observed_yes_long_only,1
S000043,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.18,none,observed_yes_long_only,1
S000044,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.2,none,observed_yes_long_only,1
S000045,raw,24h_prior,none,long_only,1,one_share,logit_gap,0.25,none,observed_yes_long_only,1
S000046,raw,24h_prior,none,long_only,1,equal_budget,edge,0.01,none,observed_yes_long_only,0
S000047,raw,24h_prior,none,long_only,1,equal_budget,edge,0.02,none,observed_yes_long_only,0
S000048,raw,24h_prior,none,long_only,1,equal_budget,edge,0.03,none,observed_yes_long_only,0
S000049,raw,24h_prior,none,long_only,1,equal_budget,edge,0.04,none,observed_yes_long_only,0
S000050,raw,24h_prior,none,long_only,1,equal_budget,edge,0.05,none,observed_yes_long_only,0
S000051,raw,24h_prior,none,long_only,1,equal_budget,edge,0.06,none,observed_yes_long_only,0
S000052,raw,24h_prior,none,long_only,1,equal_budget,edge,0.07,none,observed_yes_long_only,0
S000053,raw,24h_prior,none,long_only,1,equal_budget,edge,0.08,none,observed_yes_long_only,0
S000054,raw,24h_prior,none,long_only,1,equal_budget,edge,0.09,none,observed_yes_long_only,0
S000055,raw,24h_prior,none,long_only,1,equal_budget,edge,0.1,none,observed_yes_long_only,0
S000056,raw,24h_prior,none,long_only,1,equal_budget,edge,0.12,none,observed_yes_long_only,0
S000057,raw,24h_prior,none,long_only,1,equal_budget,edge,0.15,none,observed_yes_long_only,0
S000058,raw,24h_prior,none,long_only,1,equal_budget,edge,0.18,none,observed_yes_long_only,0
S000059,raw,24h_prior,none,long_only,1,equal_budget,edge,0.2,none,observed_yes_long_only,0
S000060,raw,24h_prior,none,long_only,1,equal_budget,edge,0.25,none,observed_yes_long_only,0
S000061,raw,24h_prior,none,long_only,1,equal_budget,roi,0.01,none,observed_yes_long_only,1
S000062,raw,24h_prior,none,long_only,1,equal_budget,roi,0.02,none,observed_yes_long_only,1
S000063,raw,24h_prior,none,long_only,1,equal_budget,roi,0.03,none,observed_yes_long_only,1
S000064,raw,24h_prior,none,long_only,1,equal_budget,roi,0.04,none,observed_yes_long_only,1
S000065,raw,24h_prior,none,long_only,1,equal_budget,roi,0.05,none,observed_yes_long_only,1
S000066,raw,24h_prior,none,long_only,1,equal_budget,roi,0.06,none,observed_yes_long_only,1
S000067,raw,24h_prior,none,long_only,1,equal_budget,roi,0.07,none,observed_yes_long_only,1
S000068,raw,24h_prior,none,long_only,1,equal_budget,roi,0.08,none,observed_yes_long_only,1
S000069,raw,24h_prior,none,long_only,1,equal_budget,roi,0.09,none,observed_yes_long_only,1
S000070,raw,24h_prior,none,long_only,1,equal_budget,roi,0.1,none,observed_yes_long_only,1
S000071,raw,24h_prior,none,long_only,1,equal_budget,roi,0.12,none,observed_yes_long_only,1
S000072,raw,24h_prior,none,long_only,1,equal_budget,roi,0.15,none,observed_yes_long_only,1
S000073,raw,24h_prior,none,long_only,1,equal_budget,roi,0.18,none,observed_yes_long_only,1
S000074,raw,24h_prior,none,long_only,1,equal_budget,roi,0.2,none,observed_yes_long_only,1
S000075,raw,24h_prior,none,long_only,1,equal_budget,roi,0.25,none,observed_yes_long_only,1
S000076,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.01,none,observed_yes_long_only,1
S000077,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.02,none,observed_yes_long_only,1
S000078,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.03,none,observed_yes_long_only,1
S000079,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.04,none,observed_yes_long_only,1
S000080,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.05,none,observed_yes_long_only,1
S000081,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.06,none,observed_yes_long_only,1
S000082,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.07,none,observed_yes_long_only,1
S000083,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.08,none,observed_yes_long_only,1
S000084,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.09,none,observed_yes_long_only,1
S000085,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.1,none,observed_yes_long_only,1
S000086,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.12,none,observed_yes_long_only,1
S000087,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.15,none,observed_yes_long_only,1
S000088,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.18,none,observed_yes_long_only,1
S000089,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.2,none,observed_yes_long_only,1
S000090,raw,24h_prior,none,long_only,1,equal_budget,logit_gap,0.25,none,observed_yes_long_only,1
