candidate_role,strategy_id,selection_status,sharpe,total_net_pnl,execution_track
full_sample_oracle_best_sharpe,S040541,post_hoc_in_sample_only,0.4042017163472133,5.52,includes_synthetic_short_yes
best_observed_price_long_only,S063204,post_hoc_in_sample_only,0.2735500727609793,9.128,observed_yes_long_only
primary_nested_walkforward_selector,,pre_registered_selector,0.1973995089698211,3.6310158781707287,changes_by_outer_fold
best_post_hoc_outer_selector,,post_hoc_selector_comparison,0.1973995089698211,3.6310158781707287,changes_by_outer_fold
future_candidate_after_full_exploration,S051784,requires_new_external_validation,0.1206360362138075,0.4084524653030922,includes_synthetic_short_yes
